,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_yy,,,,-28.86,,-18.57,-12.16,-20.39,-6.41,-6.49,-6.70,5.02,-3.75,4.70,-2.09,-5.67,-2.94,-9.76,19.30,14.94,11.67,9.79,-13.87,-14.56,-15.84,-17.22,-15.98,-9.82,-2.13,4.52
CPCurrent_sy,,,,-0.43,,-1.53,-3.46,-2.36,-28.27,-40.49,-28.07,-19.29,2.30,7.19,0.93,-21.04,-8.95,-11.86,14.75,1.16,3.13,-4.12,-20.55,-14.24,-16.62,-7.12,-7.05,-4.39,7.29,2.87
CPCurrent_qq,,,-7.35,1.22,-10.86,-2.59,-0.06,-8.27,4.80,-2.67,-0.28,3.26,-3.95,5.87,-6.75,-0.52,-1.17,-1.58,23.28,-4.15,-3.99,-3.24,-3.29,-4.91,-5.43,-4.83,-1.84,2.06,2.64,1.64
CPCurrent_sq,,,-15.86,19.04,-16.21,17.33,-17.51,20.40,-38.44,-2.67,-0.28,35.09,-21.97,1.98,-6.11,5.69,-10.03,-1.29,22.24,-6.83,-8.27,-8.23,1.31,0.57,-10.82,2.22,1.39,3.44,0.07,-1.98
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,,,702.50,,150.12,1277.89,-5.96,-14.87,-7.29,-29.62,-21.46,-7.02,9.66,5.54,37.88,19.47,-38.09,-74.99,-135.07,-190.03,-259.77,-528.00,-89.81,57.86,85.16,195.42,288.00,514.84,1496.37
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-130.24,999.60,-0.17,-7.89,42.39,-28.18,-9.63,0.31,8.10,-19.86,7.00,18.30,4.05,4.69,-7.29,-38.70,-57.97,-246.83,-138.00,-8.79,-12.59,34.88,47.17,61.69,824.03,28.29,16.58,28.95
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,-87.54,,-60.02,,6.34,17.47,7.87,42.08,27.32,7.55,-8.81,-5.25,-27.47,-16.29,61.53,299.88,,,,,,,,,,,
CZCurrent_sy,,,,46.79,,55.90,,-39.53,-17.36,-25.08,-46.60,-15.95,9.53,8.30,4.35,11.27,26.84,40.15,24.28,,,,,,,,,,,
CZCurrent_qq,,,,,0.17,8.56,-29.77,39.24,10.65,-0.31,-7.50,24.78,-6.54,-15.47,-3.89,-4.48,7.86,63.11,137.94,,,,,,,,,-22.05,-14.23,-22.45
CZCurrent_sq,,,,,-42.84,17.64,43.03,-37.13,-21.88,6.65,1.94,-1.03,1.80,5.45,-1.78,5.54,16.04,16.52,-12.91,,,,,,,,,-7.99,1.70,-17.40
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,,,23.12,,-7.75,-48.83,15.99,-2.77,9.12,61.14,-10.85,14.70,22.39,43.66,32.23,14.20,-25.36,-66.98,-108.42,-149.35,-184.82,-295.31,-352.90,63.52,104.61,132.80,212.98,407.27,2959.91
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,21.80,-23.94,7.03,-6.96,-32.43,72.40,-10.29,4.42,-0.22,-4.61,15.42,11.42,17.12,-12.21,-0.32,-27.17,-48.19,-122.38,-484.32,-25.17,-19.31,48.10,52.93,115.82,748.65,78.76,28.02,57.55
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,-18.78,,8.40,95.42,-13.79,2.85,-8.36,-37.94,12.16,-12.82,-18.30,-30.39,-24.37,-12.43,33.97,202.82,,,,,,,,,,,-96.73
CZOCurrent_sy,,,,-17.17,,61.29,67.90,4.25,-2.85,-38.70,-16.25,6.56,-5.82,12.06,-7.08,7.40,7.84,17.78,11.99,,,,,,,,,,,-45.30
CZOCurrent_qq,,,-17.90,31.48,-6.57,7.48,48.00,-42.00,11.47,-4.23,0.22,4.83,-13.36,-10.25,-14.62,13.91,0.32,37.31,92.99,,,,,,,,-88.21,-44.06,-21.89,-36.53
CZOCurrent_sq,,,-17.65,25.71,4.96,48.44,-14.27,-21.95,-2.19,-6.33,17.11,-0.68,-13.55,11.46,-2.89,14.79,-13.20,21.73,-7.66,,,,,,,,-7.53,-29.24,-2.52,-14.24
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,,,5.05,,29.50,25.09,13.75,-1.70,17.79,12.22,12.56,6.77,10.79,8.34,6.41,40.48,11.84,-11.65,-8.54,-10.68,-16.68,1.69,-1.17,-4.58,-6.76,-6.64,-19.55,-14.97,-11.18
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,11.93,5.05,9.02,1.02,8.12,-4.47,-5.78,21.05,3.00,-4.18,-10.63,25.60,0.73,-5.89,17.99,,-20.43,-2.58,15.23,-6.72,-2.90,-5.31,11.25,-8.86,-2.77,-18.41,17.58,-4.79
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,,,-25.26,,5.46,9.86,-9.46,-8.01,10.13,4.70,18.24,2.75,16.02,6.08,0.35,36.37,0.91,5.41,5.15,-0.24,-8.52,-12.43,-15.57,-19.69,-22.84,-21.56,-27.45,-16.81,-7.13
EVPCurrent_sy,,,,-15.69,,5.46,1.35,11.23,-14.74,-11.33,-7.60,-10.89,2.75,-1.75,-13.05,-18.64,4.43,-3.18,24.16,-0.01,-4.41,-15.60,-14.90,-0.04,-5.75,2.10,-10.53,-6.95,3.58,1.49
EVPCurrent_qq,,,3.72,6.32,-2.81,-1.60,8.04,-12.37,-1.26,17.80,2.71,-1.03,-14.19,33.00,-6.08,-6.38,16.61,-1.58,-1.90,-6.61,10.63,-9.74,-6.10,-9.96,5.24,-13.29,-4.54,-16.72,20.69,-3.20
EVPCurrent_sq,,,-4.16,0.05,-2.91,13.27,-7.89,9.81,-25.58,17.80,-4.02,5.91,-14.19,12.63,-15.06,-0.90,10.14,4.43,8.93,-20.19,5.30,-7.79,9.82,-6.25,-0.72,-0.11,-3.77,-2.50,10.51,-2.12
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,,,-14.68,,40.39,144.45,-1.93,1.11,7.94,-30.36,26.25,-6.91,-9.48,-24.59,-19.52,23.02,49.84,167.54,-1186.36,-280.98,-198.23,-152.06,78.18,-161.54,2121.11,384.60,171.21,127.67,-97.10
EVEBITCurrent_sy,,,,-35.44,,29.38,80.82,27.06,7.07,-45.78,-11.96,27.65,24.76,48.32,-0.22,-14.00,14.61,30.12,46.70,-8.33,-17.97,-32.03,-36.36,-27.33,23.53,31.71,18.63,10.05,-39.44,-46.89
EVEBITCurrent_qq,,,-8.11,38.12,1.86,8.58,60.01,-44.59,5.02,15.93,3.24,0.45,-22.57,12.73,-14.00,7.20,18.37,37.30,53.56,-535.29,80.28,25.48,18.61,-82.44,-136.35,675.90,-88.54,-54.35,-8.16,-39.57
EVEBITCurrent_sq,,,-37.78,23.73,8.04,55.55,-13.05,-13.05,-8.95,-21.23,41.18,26.06,-11.01,-6.35,-5.02,8.65,18.60,6.32,7.08,-32.11,6.13,-11.91,0.25,-22.47,80.42,-6.07,-9.70,-28.08,-0.72,-17.62
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,,,-14.68,,38.39,107.71,-14.36,-16.75,-14.09,-33.03,10.95,-12.71,-10.31,-25.67,-16.89,24.84,35.54,99.49,415.58,-907.91,-466.63,-297.31,978.86,161.19,150.29,148.84,-97.87,-78.81,-68.05
EVEBITDACurrent_sy,,,,-31.15,,51.85,109.83,10.00,-9.71,-38.77,-28.73,15.00,35.02,19.05,-11.57,-10.63,1.69,24.00,0.95,0.64,-6.92,-20.05,6.30,-20.66,17.75,52.88,-1.84,7.26,-26.74,-52.72
EVEBITDACurrent_qq,,,-9.41,38.12,1.86,8.58,35.96,-43.05,-0.98,12.06,5.99,-5.66,-22.10,15.15,-12.17,5.49,17.01,25.02,29.27,172.63,-283.35,43.26,30.43,1590.70,-89.60,-53.37,-32.44,-35.01,3.48,-29.67
EVEBITDACurrent_sq,,,-15.73,11.52,3.52,56.07,16.45,-41.53,-15.02,5.83,35.54,-5.66,-0.23,-6.69,0.68,-4.66,13.53,13.78,-18.03,-4.95,5.00,-2.27,8.98,-29.06,55.84,26.88,-30.02,-22.48,6.44,-18.11
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
