,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
TSF,330,290,290,610,620,580,640,660,,,,720,720,670,,590,540,500,,510,490,470,540,570,550,480,560,610,570,500,550,640,570,540,580,640,570,440,480,480,470,470,510,530,490,480
ZKO,1610,1700,1400,710,700,750,770,790,,,,1060,1040,1070,,1080,1080,1050,,1020,990,1010,990,970,950,990,940,900,910,950,910,950,950,1170,1190,1350,1140,1040,1010,1030,940,990,1040,1130,1110,1120
OSF,530,470,730,1150,1130,1120,1020,1010,,,,1010,1010,1000,,990,980,970,,990,1010,990,1010,1010,1020,1010,1030,1030,1040,1040,1040,1000,1020,920,940,1020,970,820,860,850,910,870,830,910,900,880
NetDebt,69750000000,85440000000,100321000000,38361000000,73494000000,114556000000,126842000000,137959000000,,,,118602000000,122576000000,148100000000,,167408000000,199402000000,225686000000,,219442000000,245891000000,268040000000,233148000000,207919000000,219197000000,265532000000,225114000000,174162000000,201342000000,241004000000,205025000000,180607000000,210986000000,299449000000,284798000000,259853000000,291523000000,471317000000,428624000000,419989000000,464134000000,500836000000,545543000000,585869000000,672359000000,731444000000
NetDebtEBITDA,7160,15960,6150,620,1060,1530,1810,2570,,,,-11680,-7640,-7000,,-30840,-106230,50100,,11720,10000,8200,7440,7160,8340,9710,6710,3470,3740,4860,4390,4400,5560,5440,5050,4280,4050,5800,4610,3960,4010,4670,5060,5050,5550,5780
DebtFin,-3699000000,-3061000000,-6686000000,-95682000000,-55040000000,-29732000000,-5886000000,37691000000,,,,62105000000,63665000000,56220000000,,51945000000,57075000000,55932000000,,48041000000,57310000000,62491000000,73934000000,70487000000,73458000000,71798000000,60724000000,55766000000,53517000000,52210000000,58394000000,62394000000,53643000000,100670000000,121916000000,130010000000,96160000000,72797000000,103684000000,87236000000,57279000000,76710000000,138670000000,161377000000,153800000000,168264000000
DebtFinEBITDA,-380,-570,-410,-1540,-790,-400,-80,700,,,,-6120,-3970,-2660,,-9570,-30410,12420,,2570,2330,1910,2360,2430,2800,2630,1810,1110,990,1050,1250,1520,1410,1830,2160,2140,1340,900,1120,820,500,720,1290,1390,1270,1330
SP1,330,280,520,1630,1620,1480,1330,1280,,,,950,970,930,,920,910,920,,970,1020,980,1020,1040,1070,1020,1100,1150,1150,1090,1140,1050,1080,790,790,750,850,790,850,820,970,880,800,810,800,780
SP2,690,590,620,1910,1870,1710,1550,1550,,,,1290,1280,1300,,1220,1200,1210,,1230,1280,1280,1390,1380,1400,1320,1500,1520,1500,1410,1450,1370,1430,1190,1210,1090,1180,1180,1230,1170,1410,1340,1300,1310,1280,1270
CAR,80,40,70,870,470,210,50,70,,,,120,10,70,,70,30,30,,50,20,40,30,50,30,20,110,180,140,110,130,140,170,90,70,70,170,160,110,130,170,160,110,110,140,110
QR,260,290,290,1120,1020,790,670,700,,,,540,430,530,,390,340,380,,360,360,380,360,350,340,440,490,520,520,500,550,560,550,500,490,480,540,710,710,720,810,810,750,710,690,680
CR,780,720,760,1740,1740,1560,1610,1680,,,,1580,1560,1460,,1270,1200,1180,,1190,1210,1190,1330,1370,1350,1220,1420,1540,1450,1290,1380,1480,1400,1190,1240,1140,1210,1230,1300,1280,1380,1350,1380,1280,1220,1200
PP,80,40,70,880,580,370,180,70,,,,210,50,90,,70,30,30,,50,20,40,30,50,30,20,110,180,140,110,130,140,170,90,70,70,170,160,110,130,170,160,110,110,140,110
RCLR,180,260,230,280,480,440,510,630,,,,350,390,450,,330,300,350,,320,350,350,350,320,320,430,390,360,400,390,410,420,380,430,430,400,390,570,610,580,630,640,640,590,550,560
KP,-150,-200,-170,290,290,240,220,230,,,,160,160,150,,110,90,90,,100,110,100,150,160,160,120,190,210,190,150,170,170,170,90,100,50,90,120,140,130,190,170,170,130,110,110
PKKO,3890,-120,-100,270,280,250,230,260,,,,330,290,270,,150,110,100,,90,90,90,120,120,130,100,160,160,150,120,140,140,150,90,90,50,90,130,130,100,130,120,120,90,80,80
RN,18300,10010,11870,11360,9980,8800,8080,5930,4590,3660,2540,5800,5550,5150,6110,6590,6920,7100,8310,8580,8450,8420,8960,9000,8900,8440,8280,8520,8650,8930,8750,8080,7950,7890,7710,7730,7610,7040,6510,6330,6070,5990,6010,6050,6190,6200
CRN,20000,36000,31000,32000,37000,41000,45000,62000,80000,100000,143000,63000,66000,71000,60000,55000,53000,51000,44000,43000,43000,43000,41000,41000,41000,43000,44000,43000,42000,41000,42000,45000,46000,46000,47000,47000,48000,52000,56000,58000,60000,61000,61000,60000,59000,59000
CPZ,109000,140000,132000,95000,94000,102000,105000,121000,153000,175000,227000,181000,178000,177000,149000,144000,151000,156000,134000,131000,127000,127000,119000,118000,122000,120000,118000,113000,105000,105000,106000,111000,114000,112000,113000,114000,116000,110000,107000,104000,100000,98000,97000,96000,98000,101000
RZ,,5800,5520,5570,5150,4240,3660,2870,2150,1770,1390,1740,1800,1960,2250,2430,2470,2480,2870,2930,3010,2960,3060,2970,2760,2830,2870,3030,3310,3320,3420,3320,3290,3540,3610,3830,4000,4690,5030,5350,5700,5730,5690,5700,5730,5600
CRZ,,63000,66000,66000,71000,86000,100000,127000,170000,206000,262000,210000,203000,186000,163000,150000,148000,147000,127000,125000,121000,123000,119000,123000,132000,129000,127000,121000,110000,110000,107000,110000,111000,103000,101000,95000,91000,78000,73000,68000,64000,64000,64000,64000,64000,65000
RMO,4290,3640,3650,3020,2660,2300,2090,1830,1480,1270,960,1280,1310,1360,1610,1810,1880,1930,2260,2350,2410,2400,2500,2440,2300,2320,2310,2370,2490,2460,2460,2370,2320,2420,2460,2570,2630,2750,2750,2780,2800,2790,2780,2810,2860,2850
RMT,4740,3720,4330,5110,4860,4410,3870,3040,2300,1770,1300,1020,1040,1140,1360,1690,2029,2390,2800,3180,3580,3810,3950,3860,3580,3620,3690,3830,4080,4050,4019,3620,3470,3270,3010,2760,2640,3170,3500,4050,4690,4760,4740,4760,4620,4520
RM,2250,1840,1980,1900,1720,1510,1360,1140,900,740,550,570,580,620,740,870,980,1070,1250,1350,1440,1470,1530,1490,1400,1410,1420,1460,1550,1530,1520,1430,1390,1390,1350,1330,1320,1470,1540,1650,1750,1760,1750,1770,1760,1750
COP,,99000,97000,98000,108000,127000,145000,189000,250000,306000,405000,273000,269000,257000,223000,205000,201000,198000,171000,168000,164000,166000,160000,164000,173000,172000,171000,164000,152000,151000,149000,155000,157000,149000,148000,142000,139000,130000,129000,126000,124000,125000,125000,124000,123000,124000
CSP,,-41000,-35000,3000,14000,25000,40000,68000,97000,131000,178000,92000,91000,80000,74000,61000,50000,42000,37000,37000,37000,39000,41000,46000,51000,52000,53000,51000,47000,46000,43000,44000,43000,37000,35000,28000,23000,20000,22000,22000,24000,27000,28000,28000,25000,23000
