,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_yy,,,,,-83.32,,,,352.33,437.84,159.78,,24.86,-54.23,36.14,,-62.80,0.69,-57.21,,9.47,53.72,-2.27,,-9.63,-52.95,-37.77,-39.75,-55.03,-54.43,-28.03,-46.34,-49.24,-43.32,-5.46,28.69,26.82,53.68,8.01,-7.44,1.11,-8.69,38.03,-21.59,17.97,7.65,41.71
CWKGrahamCurrent_sy,,,,,-67.84,,,,352.33,437.84,159.78,,-35.58,-54.23,36.14,,-57.51,-40.75,-73.11,,85.72,168.05,197.31,,97.16,-28.41,-4.86,-7.40,-56.21,-34.75,-34.18,-34.45,17.55,-74.65,-64.63,-59.23,-74.22,53.68,8.01,-7.44,1.11,-8.69,38.03,-21.59,11.09,0.40,-7.42
CWKGrahamCurrent_qq,,,,,,6.82,31.09,,,27.01,-36.68,,,-53.44,88.34,,,26.03,-19.96,,,76.98,-49.11,-27.95,39.26,-7.86,-32.70,-30.24,3.95,-6.64,6.30,-47.98,-1.68,4.25,77.33,-29.20,-3.11,26.32,24.63,-39.32,5.85,14.08,88.40,-65.53,59.24,4.10,148.01
CWKGrahamCurrent_sq,,,,,,6.82,31.09,,,27.01,-36.68,,,-9.76,88.34,,,25.82,-14.51,,,81.59,-5.18,-36.64,80.71,-34.07,26.02,-38.33,-14.55,-1.74,27.12,-38.58,53.24,-78.81,77.33,-29.20,-3.11,26.32,24.63,-39.32,5.85,14.08,88.40,-65.53,49.96,3.10,73.73
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,31.93,33.33,,23.68,,,44.91,66.59,53.41,37.76,13.07,5.29,1.43,4.82,8.92,11.71,-3.97,1.91,11.03,14.04,40.74,40.55,42.28,38.40,35.04,30.70,24.51,27.84,29.87,29.19,24.82,23.15,23.01,19.59,19.95,17.01,13.46,12.08,4.92,7.32,8.86,12.52,18.76,17.21,16.63,15.34
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,-6.93,12.09,11.49,24.59,7.00,3.22,0.11,2.27,-0.37,-0.56,3.46,6.26,2.18,-14.52,9.79,15.78,4.95,5.49,9.64,17.21,2.09,2.93,6.11,11.66,4.82,4.57,5.56,7.88,3.42,4.45,2.62,8.21,0.88,1.28,1.37,1.30,3.19,2.74,4.78,6.91,1.84,2.23,3.62
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-24.20,-25.00,,-19.14,,,-30.99,-39.98,-34.82,-27.41,-11.56,-5.02,-1.41,-4.59,-8.19,-10.49,4.13,-1.88,-9.94,-12.31,-28.95,-28.85,-29.72,-27.74,-25.95,-23.49,-19.69,-21.77,-23.00,-22.58,-19.88,-18.81,-18.70,-16.37,-16.61,-14.55,-11.85,-10.78,-4.72,-6.78,-8.16,-11.14,-15.76,-14.69,-14.24,-13.33
CPCurrent_sy,,-32.00,50.72,,-13.10,,,-30.99,-39.98,-34.82,-27.41,-11.56,30.84,-1.41,-4.59,-8.19,-35.02,45.25,44.80,47.45,-12.31,-55.79,-53.48,-55.71,-21.12,-8.28,-10.45,-5.70,-5.17,-16.98,-20.64,-22.29,44.61,-12.94,-8.92,3.83,-2.69,32.30,28.03,15.92,-7.80,-12.49,-10.81,-9.93,-38.58,-28.06,-27.43
CPCurrent_qq,,,,,7.45,-10.78,-10.31,-19.73,-6.54,-3.12,-0.11,-2.21,0.37,0.56,-3.34,-5.90,-2.14,16.99,-8.92,-13.62,-4.72,-5.21,-8.79,-14.68,-2.04,-2.86,-5.76,-10.45,-4.58,-4.38,-5.25,-7.33,-3.29,-4.26,-2.53,-7.59,-0.91,-1.24,-1.34,-1.32,-3.05,-2.70,-4.54,-6.45,-1.81,-2.19,-3.53
CPCurrent_sq,,,,,7.45,-10.78,-10.31,-19.73,-6.54,-3.12,-0.11,-2.21,38.26,-27.00,-3.34,-5.90,-2.14,63.18,-3.63,-4.18,-41.80,-17.73,1.40,-8.77,3.66,-4.35,-1.00,-3.93,4.24,-16.26,-5.36,-5.94,93.99,-49.59,-0.99,7.23,81.81,-31.46,-4.18,-2.91,44.61,-34.96,-2.33,-1.95,-1.40,-23.81,-1.48
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,168.52,193.24,,-44.68,,,-63.49,-497.94,-492.86,-364.39,-463.20,113.24,129.02,122.68,161.47,198.42,-15.10,65.67,-80.18,-42.10,-149.13,-90.67,42.94,18.25,510.85,1372.54,514.50,384.10,116.27,170.65,162.63,136.35,112.36,81.60,-8.01,-1.06,5.53,-5.00,-10.19,-15.46,-18.62,-3.53,49.96,33.97,34.53,9.79
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,-70.91,34.69,31.32,-29.04,-417.05,-32.97,11.62,2.52,111.56,191.35,-30.92,164.20,-43.88,-17.11,34.80,-68.40,63.96,-170.33,125.61,384.07,35.64,144.35,-8.22,102.00,6.86,9.16,14.86,96.02,-3.83,-1.92,-1.78,-0.70,3.43,4.61,-11.57,-6.13,-2.64,0.70,4.82,45.93,-13.02,1.11,-14.46
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-62.76,-65.90,,80.75,,,173.83,,,,,,,,,-66.50,17.77,-39.63,404.48,72.73,,972.26,-30.03,-15.44,,-93.21,-83.73,-79.35,-53.76,-63.05,-61.92,-57.69,-52.91,-44.93,8.70,1.07,-5.24,5.26,11.35,18.29,22.88,3.67,-33.32,-25.36,-25.67,-8.92
CZCurrent_sy,,140.28,163.03,,61.30,,,24.47,,,,,,,,,-43.82,-35.98,-55.25,4.96,7.17,,7.38,33.51,52.70,,26.61,-34.12,-34.85,-47.94,-52.55,-34.10,-40.33,-52.91,-49.83,-44.61,-32.94,-5.24,5.26,-2.03,26.71,22.88,3.67,-27.98,-38.82,-25.67,-16.07
CZCurrent_qq,,,,,243.71,-25.76,-23.85,40.92,,,,,,-65.70,44.74,-62.14,78.20,20.60,-25.80,216.37,-38.98,,,-79.36,-26.26,-59.09,8.97,-50.50,-6.43,-8.39,-12.94,-48.98,3.98,1.96,1.81,0.71,-3.32,-4.40,13.09,6.53,2.71,-0.69,-4.59,-31.48,14.97,-1.10,16.90
CZCurrent_sq,,,,,29.52,29.36,-52.58,56.67,,,,,,10.97,37.11,-50.81,-24.94,26.46,-4.17,15.38,-23.35,,,43.45,-12.34,-3.97,4.85,-25.36,-13.31,-23.26,-4.44,3.66,-21.51,-39.44,1.81,14.46,-4.98,-14.42,13.09,6.53,22.90,-17.01,-4.59,-25.99,4.39,0.84,7.72
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,293.30,112.90,,-43.51,,,-66.22,-459.13,-470.17,-343.46,-432.25,89.33,111.66,102.05,144.64,519.67,146.97,2125.70,-62.57,-27.09,-112.42,-67.85,48.03,5.77,1679.45,309.29,402.62,305.05,106.97,159.72,150.21,143.16,119.56,92.23,-4.17,0.42,7.01,-5.37,-10.64,-12.08,-13.73,3.21,57.69,37.07,35.69,10.35
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-72.06,25.84,29.83,-25.99,-397.02,-29.71,14.61,-1.00,90.46,241.84,-84.96,2093.85,-10.34,-16.53,35.56,-63.10,74.63,-114.22,450.96,69.87,24.77,112.34,-9.05,108.60,0.55,8.50,14.12,100.96,-2.28,-2.03,-0.08,0.19,2.39,4.40,-11.65,-5.39,0.74,2.45,5.70,44.55,-12.43,1.42,-14.04
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-74.57,-53.03,,77.03,,,196.05,,,,,,,,,,-59.52,-95.50,167.17,37.16,,211.05,-32.46,-5.44,,-75.57,-80.10,-75.31,-51.68,-61.50,-60.03,-58.87,-54.45,-47.98,4.35,-0.42,-6.55,5.68,11.90,13.74,15.91,-3.11,-36.58,-27.04,-26.30,-9.38
CZOCurrent_sy,,-68.90,199.29,,-25.11,,,-20.07,,,,,,,,,,68.17,22.72,-25.13,-39.69,,-31.70,59.41,51.51,,-25.59,-55.85,-45.98,-38.55,-40.91,-23.17,-2.27,-32.32,-18.91,-22.50,-38.52,-43.83,-33.95,-21.62,4.38,15.91,-3.11,-23.67,-37.89,-26.30,-9.38
CZOCurrent_qq,,,,,257.90,-20.53,-22.99,35.16,,,,,,,563.89,-95.44,11.52,19.81,-26.23,171.06,-42.75,,,-41.14,-19.84,-52.90,9.96,-52.06,-0.55,-7.83,-12.37,-50.24,2.34,2.07,0.08,-0.18,-2.34,-4.22,13.18,5.70,-0.74,-2.39,-5.39,-30.82,14.19,-1.40,16.34
