,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4
QuoteCurrent,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
ShareAmountCurrent,6707198000,6707198000,6707198000,6707198000,6707198000,6707198000,6707198000,6707198000,6707198000,6707198000,6707198000
WKCurrent,160210,176580,173550,169450,0,170410,63190,63980,64239,67090,70690
CWKCurrent,840,760,780,800,,790,2140,2110,2100,2009,1910
WKGrahamCurrent,78870,37820,30350,26100,0,7400,-116720,-135570,-134420,-130539,-152060
CWKGrahamCurrent,1710,3570,4450,5170,,18230,,,,,
PCurrent,13660,23370,23330,25260,25080,25820,32710,35060,44510,51980,60630
CPCurrent,9880,5780,5790,5340,5380,5230,4130,3850,3030,2600,2230
ZCurrent,3430,5850,5320,5550,5090,6280,4110,440,-430,1970,4670
CZCurrent,39360,23090,25370,24310,26510,21500,32830,306360,,68370,28910
ZOCurrent,-420,1040,1450,2410,2800,3730,4770,3190,7070,7790,11210
CZOCurrent,,130380,93010,55910,48210,36200,28280,42280,19100,17330,12050
EVCurrent,113050,143210,144380,142660,135000,143040,156450,275560,271210,278410,305910
EVPCurrent,8280,6130,6190,5650,5380,5540,4780,7860,6090,5360,5050
EVEBITCurrent,-270020,138310,99470,59080,48210,38360,32770,86300,38380,35740,27300
EVEBITDACurrent,30980,22760,21660,18750,16680,16800,13790,24280,17470,17190,15320
DTAR,100,130,140,140,,140,710,720,710,720,740
CG,120,160,160,160,,160,2400,2520,2550,2590,2910
LDER,80,110,100,100,,90,470,2280,2250,2300,2570
PZAT,5250,5980,6990,7120,,8520,5440,1210,1200,1180,1170
PELDR,2130,1410,1340,1310,,1140,520,1050,1050,1110,1130
TSF,970,960,950,940,,950,430,930,910,910,910
ZKO,190,420,470,520,,780,4310,6270,5570,4010,3830
OSF,380,540,570,610,,820,1510,2009,1790,1350,1210
NetDebt,-19588000000,18711000000,20870000000,22089000000,,27176000000,237378000000,251323000000,248986000000,259946000000,313045000000
NetDebtEBITDA,-3200,1930,1970,1810,,1970,13030,13880,10200,10350,9930
DebtFin,-36862000000,12680000000,14882000000,12307000000,,13040000000,34448000000,224241000000,214202000000,222312000000,269736000000
DebtFinEBITDA,-6020,1300,1410,1010,,940,1890,12390,8780,8850,8560
SP1,1970,1280,1210,1190,,1050,350,320,320,340,320
SP2,2130,1410,1340,1310,,1140,520,1050,1050,1110,1130
CAR,5310,490,170,240,,180,20,160,270,250,250
QR,16990,7670,5680,4690,,3090,280,1520,1350,2020,2050
CR,17060,7740,5790,4770,,3180,290,1640,1530,2210,2200
PP,5320,1820,1410,1250,,940,30,240,290,320,310
RCLR,11520,5720,4160,3280,,2029,230,1190,990,1630,1630
KP,510,280,240,220,,120,-400,40,40,100,110
PKKO,-22600,-10820,-9350,-7910,,-4900,13220,-1230,-1210,-2830,-3350
RN,210,340,460,610,610,780,1190,1880,2340,1620,1520
CRN,1763000,1079000,795000,599000,594000,467000,307000,194000,156000,225000,240000
CPZ,153000,138000,143000,141000,140000,149000,1362000,163000,157000,138000,147000
RZ,,,170,-230,400,,,,,,
CRZ,,,2171000,-1593000,915000,,,,,,
RMO,140,280,350,440,440,540,930,1360,1510,1200,1130
RMT,170,200,180,180,180,170,180,180,220,260,270
RM,80,120,120,130,130,130,150,160,190,210,220
COP,,,2966000,-994000,1509000,,,,,,
CSP,,,2823000,-1135000,1369000,,,,,,
