,2014/Q4,2015/Q4,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,
ShareAmountCurrent,6000000000,6000000000,6000000000,6000000000,6600000000,6600000000,6600000000,6600000000,6600000000,6600000000,6600000000
ShareAmountCurrent_yy,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,
WKCurrent,,,,,,,,,,,
WKCurrent_yy,,94.83,,,219.16,,185.80,201.35,34.25,57.20,53.52
WKCurrent_sy,,,,,,,,,,,
WKCurrent_qq,,,,10.52,141.15,3.87,3.23,16.54,7.43,21.63,0.82
WKCurrent_sq,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,
CWKCurrent_yy,,-48.67,,,-68.67,,-65.01,-66.82,-25.52,-36.39,-34.86
CWKCurrent_sy,,8.22,,,-5.65,,-3.38,-2.13,-5.43,1.56,11.12
CWKCurrent_qq,,,,-9.52,-58.53,-3.73,-3.13,-14.19,-6.92,-17.78,-0.81
CWKCurrent_sq,,,,-1.06,6.86,-10.95,2.62,0.22,3.26,-4.36,12.28
WKGrahamCurrent,,,,,,,,,,,
WKGrahamCurrent_yy,,107.53,,,197.67,,166.58,184.89,37.81,26.31,27.51
WKGrahamCurrent_sy,,,,,,,,,,,
WKGrahamCurrent_qq,,,,9.02,131.92,1.15,4.24,16.51,12.18,-7.29,5.23
WKGrahamCurrent_sq,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,
CWKGrahamCurrent_yy,,-51.82,,,-66.41,,-62.49,-64.90,-27.43,-20.83,-21.57
CWKGrahamCurrent_sy,,37.82,,,-8.84,,-18.85,7.45,1.67,-20.17,6.12
CWKGrahamCurrent_qq,,,,-8.27,-56.88,-1.13,-4.07,-14.17,-10.86,7.86,-4.97
CWKGrahamCurrent_sq,,,,-4.24,-6.48,6.03,-14.54,26.81,-11.51,-16.74,13.59
PCurrent,,,,,,,,,,,
PCurrent_yy,,75.43,,,9.85,,18.67,85.20,171.72,190.70,254.29
PCurrent_sy,,,,,,,,,,,
