,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600
ShareAmountCurrent,1000000000,1000000000,1470000000,1470000000,1470000000,1470000000,1470000000,1470000000,1470000000,1470000000,1470000000,1470000000,1470000000,1470000000,1470000000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1480757000,1314870000,1314870000,1314870000
WKCurrent,3150,4140,10010,10490,10690,10910,11080,11300,11200,11120,0,11390,11450,11500,0,10600,10690,10640,0,10390,9720,9910,9000,8800,8510,8080,8150,8050,7980,7610,8029,8210,8270,8240,8260,8560,8070,8340,8160,8730,9020,7150,8970,10770,11020,7980
CWKCurrent,4640,3520,1460,1390,1370,1340,1320,1290,1300,1310,,1280,1270,1270,,1380,1370,1370,,1410,1500,1470,1620,1660,1720,1810,1790,1810,1830,1920,1820,1780,1770,1770,1770,1710,1810,1750,1790,1670,1620,2040,1630,1360,1320,1830
WKGrahamCurrent,2170,1830,8090,8270,8090,7880,7780,7700,7280,6000,0,6540,6410,6330,0,5790,5910,6150,0,6280,5830,6180,5600,5010,4620,4110,4400,4019,4190,4010,4380,5350,5440,6140,6320,6760,6260,6570,6410,7200,7450,5560,7450,8670,8970,6030
CWKGrahamCurrent,6730,7960,1810,1770,1800,1850,1880,1900,2000,2430,,2230,2280,2310,,2520,2470,2370,,2320,2500,2360,2610,2910,3160,3550,3320,3630,3490,3640,3330,2730,2680,2380,2310,2160,2330,2220,2280,2029,1960,2630,1960,1680,1630,2420
PCurrent,13330,14860,10720,11470,11850,11780,11840,12420,12450,12790,12490,13700,14280,13920,14210,12750,12240,12840,13490,13490,13600,13690,13420,13670,13970,13190,13610,13910,14230,15360,15780,17210,17350,17620,17360,16620,16640,17120,17340,17460,18550,19440,19830,22940,22350,21180
CPCurrent,1090,980,1360,1270,1230,1240,1230,1180,1170,1140,1170,1070,1020,1050,1030,1140,1190,1140,1080,1080,1070,1070,1090,1070,1050,1110,1070,1050,1030,950,930,850,840,830,840,880,880,850,840,840,790,750,740,640,650,690
ZCurrent,1200,1360,1140,1170,1090,1130,1000,760,480,150,-300,-30,150,230,470,-730,-740,-700,-710,-270,-650,-450,-1010,-740,-720,-1510,-860,-140,170,470,830,330,240,1140,460,990,1230,1120,1280,1150,1230,1060,2300,1530,1390,1290
CZCurrent,12210,10730,12820,12480,13430,12960,14640,19210,30620,95390,,,97550,64260,30880,,,,,,,,,,,,,,83470,30970,17610,44760,61420,12830,31610,14780,11890,13070,11450,12700,11840,13800,6340,9560,10510,11330
ZOCurrent,1480,1640,1360,1350,1220,1170,930,640,280,10,-430,20,240,250,540,-920,-1000,-910,-1150,-460,-920,-1020,-1130,-1200,-1100,-1780,-1290,-600,-20,380,830,1240,1370,2200,1710,1520,1310,1260,1160,1280,1640,1810,1950,950,770,590
CZOCurrent,9880,8920,10720,10830,11960,12460,15730,22640,51470,1650920,,766500,61500,59120,27030,,,,,,,,,,,,,,,38540,17560,11810,10630,6630,8540,9600,11120,11540,12580,11380,8880,8070,7480,15370,18990,24930
EVCurrent,13460,13660,7380,7570,9140,9890,8700,8550,10110,10850,14600,8860,10390,10480,14600,8990,10890,9650,14600,9760,11360,10190,10770,10920,11780,13420,11930,12160,12460,12700,12340,11620,11070,10670,10170,10550,10160,10250,10180,9870,9140,8650,8440,10280,10340,9840
EVPCurrent,1010,920,690,660,770,840,730,690,810,850,1170,650,730,750,1030,710,890,750,1080,720,840,740,800,800,840,1020,880,870,880,830,780,680,640,610,590,630,610,600,590,570,490,450,430,450,460,460
EVEBITCurrent,9100,8350,5420,5620,7480,8440,9370,13250,35650,1226620,-33590,464930,43770,42440,27030,-9820,-10930,-10640,-12660,-21390,-12290,-10040,-9530,-9130,-10680,-7540,-9240,-20150,-683450,33510,14850,9400,8060,4850,5950,6940,7730,8100,8780,7700,5560,4780,4320,10820,13450,16800
EVEBITDACurrent,7330,6660,4480,4500,5740,6220,6180,7830,12810,19120,83510,12300,11260,11090,11800,-48080,-67170,-1190840,-72300,15220,45820,43100,51800,77020,50400,-30050,271820,17250,9770,7670,6100,4940,4580,3330,3800,4310,4630,5000,5340,5020,4030,3600,3380,6730,7750,8690
DTAR,340,460,180,110,120,140,120,110,130,150,,180,130,130,,190,180,180,,190,190,180,190,250,260,260,250,250,260,240,230,240,220,200,180,220,230,280,230,220,250,400,240,290,190,470
CG,510,840,230,130,130,170,130,130,150,180,,220,150,150,,230,220,230,,240,240,220,250,340,350,350,340,340,350,310,310,320,280,250,220,280,300,380,300,280,330,680,310,410,230,880
LDER,80,70,20,20,20,20,20,30,20,20,,30,20,10,,60,30,80,,110,60,60,80,120,140,140,120,110,110,100,90,80,70,70,60,60,60,60,50,40,40,50,40,40,30,50
PZAT,3390,5060,4970,4750,4970,5440,4880,3720,5300,4450,,2840,5980,6190,,1790,3740,1280,,810,1480,1540,1270,900,970,960,1040,1090,1120,1210,1510,1690,2120,1890,2180,2029,2090,2380,2310,2590,2650,2840,2730,2690,2940,2810
PELDR,3520,1920,5310,4830,4190,3660,3420,3180,2900,2240,,2320,2260,2220,,2230,2330,2440,,2610,2610,2680,2750,2710,2530,2580,2680,2410,2520,2570,2640,3340,3360,4440,4760,5310,5350,5660,5540,6320,6460,6770,7310,6310,6430,6900
TSF,720,580,830,900,900,870,900,910,890,860,,840,870,870,,840,830,860,,870,840,850,840,820,830,850,850,830,820,840,840,820,830,860,870,820,820,770,810,810,780,620,800,740,850,560
ZKO,420,650,220,140,150,190,160,160,180,250,,270,210,210,,300,280,280,,290,290,260,290,370,390,410,380,400,400,370,360,330,300,250,220,260,280,320,280,250,280,470,270,340,220,540
OSF,1360,1170,1140,650,610,670,530,490,520,540,,610,460,450,,630,610,640,,670,670,650,680,820,820,840,850,800,840,790,790,930,890,970,940,1250,1310,1590,1330,1390,1600,2100,1760,1820,1260,2320
NetDebt,397000000,2452000000,-7373000000,-8445000000,-7883000000,-6755000000,-6538000000,-6814000000,-6311000000,-4959000000,,-4843000000,-5650000000,-5496000000,,-5076000000,-4986000000,-4736000000,,-4507000000,-3948000000,-4081000000,-3676000000,-1488000000,-571000000,-316000000,-575000000,-111000000,508000000,309000000,-144000000,-939000000,-2177000000,-3164000000,-4291000000,-2778000000,-3336000000,-2200000000,-3646000000,-3599000000,-3989000000,-1886000000,-5386000000,-4020000000,-6403000000,-1107000000
NetDebtEBITDA,220,1200,-3040,-3410,-3370,-2890,-3160,-4250,-5440,-5950,,-4580,-4160,-3960,,18320,20780,394670,,-4740,-10760,-11660,-11940,-7090,-1650,480,-8850,-110,270,130,-50,-270,-610,-670,-1080,-770,-1030,-720,-1290,-1240,-1190,-530,-1460,-2000,-3650,-740
DebtFin,-1143000000,-945000000,-10613000000,-10332000000,-8031000000,-6922000000,-8679000000,-8898000000,-6594000000,-5516000000,,-8444000000,-6188000000,-6055000000,,-8301000000,-5499000000,-7329000000,,-7161000000,-4803000000,-6533000000,-5665000000,-5444000000,-4181000000,-1754000000,-3951000000,-3606000000,-3166000000,-2818000000,-3342000000,-4418000000,-5224000000,-5819000000,-6555000000,-6002000000,-6582000000,-6440000000,-6539000000,-7003000000,-8087000000,-8808000000,-9128000000,-5683000000,-5598000000,-6261000000
DebtFinEBITDA,-620,-460,-4380,-4170,-3430,-2960,-4190,-5540,-5680,-6610,,-7980,-4560,-4360,,29970,22910,610750,,-7540,-13090,-18670,-18390,-25920,-12080,2650,-60780,-3450,-1680,-1150,-1110,-1270,-1460,-1230,-1650,-1660,-2029,-2120,-2320,-2400,-2410,-2480,-2470,-2830,-3190,-4210
SP1,3220,1790,5210,4720,4110,3590,3350,3080,2810,2150,,2240,2180,2130,,2100,2160,2270,,2330,2330,2480,2370,2180,2090,2070,2200,1980,2100,2120,2210,2850,2960,3900,4200,4730,4700,4910,4780,5500,5640,4500,6450,5440,5790,4310
