,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_sy,,2.42,-2.87,,,,-12.47,9.28,2.24,6.91,-8.20,-24.75,-24.50,-24.38,0.06,-1.65,1.69,5.52,-7.19,0.43,8.18,6.29,3.37,0.94,-1.45,-1.94,-6.96,-10.61,-14.15,-18.14,-7.35,-15.60,-14.82
CPCurrent_qq,,,,-4.10,1.12,29.16,-38.10,-1.63,-3.15,-20.61,-9.32,-1.47,-1.98,59.32,69.47,15.17,123.57,-42.06,-67.38,-57.81,-15.49,-24.74,-4.40,0.38,-3.64,10.90,9.87,-5.16,-1.92,-19.63,3.26,-0.31,-5.37
CPCurrent_sq,,,,1.94,-2.23,-5.29,-7.27,27.27,-8.53,-0.96,-20.38,4.33,-8.23,-0.80,5.35,2.54,-5.11,2.93,-7.34,10.97,2.22,1.13,-9.89,8.36,-0.21,0.64,-14.50,4.11,-4.16,-4.05,-3.23,-5.16,-3.27
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-49.79,113.00,,,,-184.53,-189.51,-230.25,-74.74,192.77,151.44,152.13,379.17,-4.13,225.58,18.71,85.22,219.14,-87.57,58.45,1059.15,91.45,1644.83,101.45,-131.92,-59.83,-74.97,-65.53,354.06,101.75,224.21,186.72
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,67.99,-7.28,-78.06,-347.37,-77.87,-34.93,104.26,808.33,-1.38,36.74,-60.88,81.74,234.93,-50.14,-38.97,213.15,-86.96,535.63,346.47,-48.28,18.87,-26.61,-170.74,165.10,-25.93,1.05,421.35,-48.30,19.03,-10.63
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,,,,291.70,,,,-78.97,3.93,-69.31,-15.61,-46.05,-68.65,706.26,-36.89,-91.37,-47.75,-94.28,-50.37,,149.04,298.96,189.92,,-50.45,-69.12,-65.12
