,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent,9910,8960,6920,7610,7260,5820,5430,4240,3560,3330,1580,1830,1310,1250,890,1120,1490,960,910,1690,1810,2130,2510,3170,2740,2360,2300,2970,3520,4320,5900,5250,4490,2810,3100,4059,3500,4790,2680,1420,1970,1770,2160,2140,2460,1220,1400,780,1440,890,650,-9270
DTAR,620,590,550,630,630,680,660,650,610,670,440,480,440,440,360,390,360,390,320,370,360,450,350,460,420,500,430,510,490,540,460,520,580,580,570,610,600,630,600,570,600,570,510,550,510,540,480,520,540,520,480,570
CG,1650,1480,1230,1730,1790,2200,1980,1820,1560,2040,780,910,800,800,570,650,560,640,470,590,570,810,530,840,740,1000,740,1060,960,1170,860,1070,1380,1380,1340,1540,1500,1700,1490,1310,1520,1320,1060,1210,1060,1150,920,1090,1170,1070,910,1310
LDER,70,60,80,70,80,60,60,50,50,60,30,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,60,60,60,70,60,60,60,60,60,60,60,60,60,60,60,50,60,80,130,130,130,130,90,100,100,50
PZAT,6640,7670,5220,6330,4660,6730,7040,7850,7690,5990,5360,4840,4520,5130,6010,6810,7500,7450,7510,7460,7810,9960,9590,9660,9270,7910,4220,4500,4500,4230,4330,4840,4970,4560,4610,4340,4470,4280,4240,4140,4230,4350,3520,2810,1640,1570,1610,1660,2230,2040,2060,5270
PELDR,1670,2050,2009,1950,2250,2310,2410,2230,2330,2590,3380,2750,2730,2550,2550,2520,2470,2610,2820,2140,2070,1980,2020,1990,2350,2350,2150,2020,2020,2020,2009,2220,2220,2080,2230,2220,2330,2530,2600,2650,2900,2910,2830,3000,3000,3080,3000,2900,3040,3090,2540,1530
TSF,400,420,480,390,380,330,350,370,410,350,580,550,580,580,660,620,660,630,700,650,660,570,670,560,590,520,610,520,540,490,570,510,440,440,450,420,420,390,430,460,420,450,520,490,550,520,590,540,500,530,580,460
ZKO,850,790,740,820,790,830,820,830,780,810,550,630,590,610,520,550,520,540,440,560,560,660,550,660,590,660,620,730,710,750,690,720,780,780,750,780,760,780,750,720,750,720,670,700,660,680,630,690,700,670,630,810
OSF,1170,1260,1240,1270,1430,1410,1370,1330,1390,1520,1510,1370,1310,1260,1110,1180,1080,1190,1080,1050,1010,1130,980,1170,1230,1360,1150,1190,1170,1210,1120,1220,1290,1270,1340,1360,1430,1510,1520,1480,1530,1480,1410,1450,1430,1480,1360,1370,1380,1420,1350,1170
NetDebt,98033000000,93530000000,76680000000,100013000000,127359000000,163811000000,158387000000,144543000000,137536000000,203675000000,65592000000,118183000000,96835000000,94125000000,15737000000,58862000000,73307000000,76558000000,21505000000,115168000000,122675000000,211474000000,143359000000,227944000000,204069000000,291155000000,220628000000,285456000000,267290000000,327234000000,247099000000,315365000000,351359000000,367928000000,318275000000,426563000000,438888000000,511306000000,416191000000,369141000000,507687000000,404950000000,302652000000,386361000000,359122000000,350674000000,291459000000,287567000000,379831000000,344553000000,247015000000,280557000000
