,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650
ShareAmountCurrent,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000,31250000000
WKCurrent,290,2670,4940,14810,15040,15080,0,22590,21200,23000,22730,22540,23560,23880,23310,22610,16700,16149,15090,12570,7530,8590,6480,4730,3540,3590,2690,820,580,600,90,1560,1500,1300
CWKCurrent,2270,240,130,40,40,40,,30,30,30,30,30,30,30,30,30,40,40,40,50,90,80,100,140,180,180,240,790,1120,1080,7410,420,430,500
WKGrahamCurrent,290,-12320,-10190,-4640,-3760,-3280,0,-2610,-2090,-3320,-4710,-4160,-4880,-5510,-4320,-4220,-4370,-4240,-4690,-7310,-8880,-8760,-9680,-15000,-14630,-16120,-15680,-16890,-16140,-15190,-15140,-14770,-14820,-15950
CWKGrahamCurrent,2270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,20,36110,26290,32500,34120,33710,35270,39800,38910,39660,38760,37670,38760,40900,44050,45420,46970,45390,42820,39570,34720,31950,28400,26120,24550,22990,21800,20780,20470,20260,19150,18740,18070,18030
CPCurrent,27260,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,10,20,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40
ZCurrent,0,830,1070,2760,2980,2130,2470,2029,1570,1880,1630,1670,1560,1630,1590,1440,-1890,-2780,-4540,-9800,-10990,-9210,-10070,-9930,-7420,-8710,-8160,-5490,-2990,-3130,-1370,-1020,-850,-1570
CZCurrent,1890240,780,610,240,220,300,260,320,420,350,400,390,420,400,410,450,,,,,,,,,,,,,,,,,,
ZOCurrent,0,2320,2920,4410,4540,3620,3560,2970,2400,2720,2630,2820,2770,2820,2650,2550,2460,2290,1710,-90,-460,-1000,-2360,-3670,-3530,-3900,-2950,-780,-290,-430,-30,80,-410,-310
CZOCurrent,1890240,280,220,150,140,180,180,220,270,240,250,230,230,230,250,260,260,280,380,,,,,,,,,,,,,8280,,
EVCurrent,-2240,13380,11990,5980,5220,5200,650,6570,5720,7960,10320,10210,11550,13500,13240,12690,13590,13640,13370,13130,13810,13450,14740,15180,14660,15740,14830,14980,13930,13070,12570,12010,11920,12760
EVPCurrent,-93750,370,460,180,150,150,20,170,150,200,270,270,300,330,300,280,290,300,310,330,400,420,520,580,600,680,680,720,680,640,660,640,660,710
EVEBITCurrent,-6500100,5770,4110,1360,1150,1440,180,2210,2380,2920,3920,3620,4170,4800,4990,4980,5530,5950,7800,-146510,-29770,-13470,-6260,-4140,-4150,-4040,-5030,-19260,-48660,-30210,-492210,153080,-29070,-41210
EVEBITDACurrent,-6500100,3710,3050,1060,900,1070,140,1510,1500,1870,2390,2230,2490,2870,2910,2880,3150,3320,3880,10230,17130,39230,-14110,-7390,-7420,-6520,-10270,22120,12970,14460,10910,8220,11970,11910
DTAR,920,830,730,540,510,510,,490,440,460,480,450,450,480,490,480,540,550,570,610,720,700,750,810,840,860,890,960,970,970,990,920,920,940
CG,11820,7220,3560,1240,1090,1070,,1010,830,900,960,850,860,970,980,950,1220,1250,1340,1580,2660,2450,3130,4350,5650,6300,8189,27830,38610,36410,238760,12610,13310,16810
LDER,,2780,2350,720,670,610,,460,430,630,570,450,420,400,360,310,190,270,170,260,360,330,410,580,620,700,1120,4650,6490,5160,33820,2110,2200,1980
PZAT,,2009,1360,1490,1520,1630,,2110,2250,1590,1880,2420,2690,2830,3070,3590,6120,4410,7020,5670,5640,5630,5670,6870,7780,7410,5810,4400,4220,4800,4800,4730,4700,6360
PELDR,,620,990,1260,1290,1270,,1270,1260,1380,1260,1190,1140,1110,1120,1070,920,980,880,780,620,650,560,370,310,310,310,260,260,230,200,290,290,220
TSF,,440,680,750,780,760,,710,770,840,790,770,750,700,680,660,530,560,500,480,370,380,340,290,240,230,230,190,190,160,140,230,220,170
ZKO,920,2760,2380,1340,1300,1250,,1130,1130,1190,1280,1280,1320,1310,1230,1250,1270,1270,1300,1590,1800,1710,1920,3710,3720,3490,3470,3830,3620,3260,3610,4010,3850,3680
OSF,,460,700,980,1000,990,,980,1000,1010,1020,1050,1060,1040,1020,1020,990,980,970,990,810,840,760,880,720,630,500,180,120,120,20,380,350,280
NetDebt,4411000000,141341000000,127162000000,107199000000,97847000000,100101000000,,108453000000,99847000000,119883000000,138913000000,121906000000,133333000000,153043000000,149881000000,147995000000,139345000000,139292000000,139281000000,134827000000,143025000000,146605000000,147729000000,149702000000,145579000000,158509000000,158461000000,160498000000,164431000000,160516000000,150728000000,146077000000,147614000000,156206000000
NetDebtEBITDA,1470330,5230,4260,2410,2160,2620,,3510,3490,3840,4230,3480,3840,4500,4450,4460,4300,4510,5400,14340,23210,57400,-19180,-9930,-10060,-9300,-15150,33550,20660,24030,18040,13340,19970,20350
DebtFin,-25171000000,95334000000,86259000000,42079000000,35628000000,35656000000,,41911000000,38040000000,53585000000,73442000000,73103000000,81533000000,92767000000,93302000000,90703000000,96978000000,97595000000,95222000000,91489000000,100612000000,95357000000,103886000000,106564000000,102605000000,106533000000,102776000000,101242000000,98358000000,91807000000,86412000000,85140000000,83658000000,86786000000
DebtFinEBITDA,-8390330,3530,2890,950,790,930,,1360,1330,1720,2240,2090,2350,2730,2770,2730,2990,3160,3690,9730,16320,37340,-13490,-7070,-7090,-6250,-9820,21160,12360,13750,10340,7780,11320,11310
SP1,,160,290,730,770,790,,870,880,840,800,820,800,790,820,820,780,780,750,620,450,490,400,240,190,180,150,50,30,40,10,90,90,70
SP2,,620,990,1260,1290,1270,,1270,1260,1380,1260,1190,1140,1110,1120,1070,920,980,880,780,620,650,560,370,310,310,310,260,260,230,200,290,290,220
CAR,850,40,150,620,610,490,,610,500,700,390,350,230,140,180,120,100,100,90,90,80,70,10,10,10,10,10,10,10,10,10,10,10,10
QR,1080,400,830,1340,1490,1260,,1200,1380,1940,1340,1230,1070,820,860,850,710,750,680,590,520,520,480,210,210,210,230,210,220,260,230,220,220,220
CR,1080,590,1240,1790,2000,1850,,1630,1830,2770,1930,1680,1480,1300,1280,1190,930,1000,880,760,640,670,600,310,300,320,330,310,330,360,320,300,310,310
PP,850,40,150,620,610,490,,610,500,700,390,350,230,140,180,120,100,100,90,90,80,70,10,10,10,10,10,10,10,10,10,10,10,10
RCLR,230,360,680,720,880,770,,590,880,1240,940,870,840,680,690,730,610,640,600,510,440,450,460,200,200,200,220,200,220,240,230,210,210,220
KP,80,-210,60,180,200,190,,170,180,250,180,140,110,90,90,60,-30,0,-60,-120,-220,-200,-260,-480,-520,-520,-510,-550,-540,-530,-580,-540,-530,-570
PKKO,12210,-210,90,310,300,270,,270,250,390,300,240,190,140,130,80,-30,0,-60,-130,-230,-230,-310,-590,-640,-740,-730,-800,-780,-780,-840,-810,-840,-970
