,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_qq,,,,-8.45,1.49,-0.59,-8.11,-8.67,-4.22,-4.22,8.43,6.71,0.17,0.99,-5.07,2.07,7.94,10.33,6.67,2.66,-2.72,-4.79,10.21,3.93,4.64,4.20,-9.97,30.47,-3.15,-1.38,-0.80,-1.81,-1.54
CPCurrent_sq,,,,127.99,-30.71,-4.92,-14.46,-8.32,-1.11,-3.50,7.53,-12.04,92.25,-0.02,-7.51,-14.99,-3.08,-5.76,-15.02,7.40,26.47,10.19,-14.61,-3.73,-8.30,4.50,-6.79,22.79,34.64,-17.84,-15.37,-4.95,98.30
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,158.39,19.47,,,,7.08,11.50,18.53,14.66,36.73,4.80,-7.62,-8.74,-54.49,-52.20,-62.44,-76.79,-55.01,-49.16,-11.83,78.85,14.43,-86.39,-188.80,-206.95,-182.75,-134.22,132.77,134.35,44.50,-977.63,-136.73
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,6.79,-2.81,0.39,2.78,11.19,3.32,-2.90,22.56,-14.77,-8.92,-4.07,-38.88,-10.50,-28.44,-40.72,18.50,1.14,24.11,20.25,-24.19,-87.97,-910.00,-44.83,41.34,95.03,875.80,51.80,-194.77,3.44,73.56
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-61.30,-16.30,,,,-6.60,-10.29,-15.62,-12.79,-26.89,-4.60,8.24,9.58,119.77,109.23,166.24,330.87,122.26,96.67,13.41,-44.09,-12.61,635.00,,,,,,,,,
CZCurrent_sy,,-31.17,-3.09,,,,0.58,-33.12,-45.57,1.68,-37.72,33.63,86.82,-49.07,11.30,-38.43,-5.75,124.19,31.87,-24.40,-4.05,-32.08,-9.53,52.56,,,,,,,,,
CZCurrent_qq,,,,-6.37,2.89,-0.38,-2.68,-10.07,-3.22,2.96,-18.41,17.35,9.80,4.24,63.62,11.72,39.72,68.70,-15.60,-1.14,-19.43,-16.83,31.92,731.45,,,,,,-34.13,,,
