,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent,13900,12590,12640,13200,-1720,13070,12120,10670,10740,10280,10520,11230,10360,9910,10960,11790,12080,13000,12590,12350,11420,12020,13050,14400,15590,15230,15350,17720,16230,15240,16290,15640,18810,20700,23940,27020,26850,39640,31210,27900,21420,19640,16770,16120,19310,16670,16840,16690,15720,16230,17670,16059
EVEBITDACurrent,8780,8119,8029,8480,-1870,8300,7850,7180,7110,6980,7170,7600,7130,6820,7340,7690,7730,8250,8220,8290,7890,8370,8920,9730,10210,10100,10210,11300,10540,10050,10540,10280,11450,12120,13140,13850,13600,15820,13890,13660,12010,11770,11280,10840,12270,11410,11520,11490,10910,11210,11840,11090
DTAR,470,500,480,610,530,610,600,690,600,680,670,790,710,720,710,760,750,740,690,780,770,750,730,900,880,840,850,930,860,840,850,930,910,890,880,910,860,870,870,880,860,810,840,930,940,900,880,930,880,920,920,950
CG,900,980,930,1540,1110,1580,1500,2230,1500,2100,2050,3700,2450,2570,2490,3190,3030,2850,2250,3470,3390,2920,2750,9050,7160,5440,5640,13320,6250,5370,5540,13120,9570,7850,7370,10230,6150,6760,6790,12210,10560,6370,5330,13630,15500,8940,7330,14290,7410,11330,11470,17300
LDER,300,390,380,650,390,560,530,320,270,290,360,1350,920,1080,1110,430,330,420,340,920,1020,760,770,3430,2950,2330,2450,4880,2620,550,580,1320,1080,2350,3160,3870,2560,1930,2390,3220,3010,230,190,390,3620,3200,2720,5010,1930,3730,3450,4710
PZAT,4270,3460,3370,2400,3440,3030,2980,5860,5660,6800,5080,1890,2120,1940,1810,5280,6870,4750,5530,2640,2490,2910,2830,1570,1570,1570,1480,1480,1490,6010,5910,5380,5180,1600,1350,1410,1470,1990,1580,1840,1800,15530,15330,15150,1990,1510,1490,1300,1930,1590,1710,1570
PELDR,1000,980,1050,990,1010,850,900,650,780,610,690,850,910,910,960,580,540,660,670,740,750,740,760,770,800,830,870,740,850,420,410,290,340,770,830,770,840,640,740,600,640,270,320,190,530,720,770,780,670,680,640,640
TSF,690,700,720,650,660,610,610,410,510,420,450,500,560,580,600,340,330,370,410,430,460,450,470,440,480,520,520,410,500,240,240,160,200,380,500,430,500,380,440,310,330,160,190,100,280,420,450,390,350,380,360,310
ZKO,1710,1760,1650,1770,1660,2120,1880,1890,1740,2150,1880,1920,1840,1980,1900,1830,1950,1670,1800,1830,2009,1910,1930,2100,2240,2240,2120,2080,2070,2020,2080,2100,2150,1740,2180,2070,2130,2130,2120,2730,2920,3150,2020,1840,1970,2160,2080,1890,1860,2120,2070,1830
OSF,1250,1230,1210,1060,1150,1160,1100,930,1070,1010,960,700,870,870,870,750,790,780,900,710,740,800,830,370,450,560,530,260,490,540,540,270,350,400,440,330,500,460,460,390,470,690,550,250,230,370,430,250,420,300,300,210
