,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4
QuoteCurrent,960,960,960,960,960,960,960,960,960,960,960,960,960,960
ShareAmountCurrent,12000000000,12000000000,12000000000,12000000000,12000000000,13000000000,13000000000,13000000000,13000000000,13000000000,13000000000,13000000000,13000000000,13000000000
WKCurrent,4260,7100,8220,11640,12410,13470,14470,15690,18400,20910,23500,24580,26440,25280
CWKCurrent,230,140,120,80,80,70,70,60,50,50,40,40,40,40
WKGrahamCurrent,450,2580,4130,7460,8590,7120,5930,6540,8109,9220,10670,12330,13380,12950
CWKGrahamCurrent,2130,370,230,130,110,130,160,150,120,100,90,80,70,70
PCurrent,6510,12090,15840,17960,19910,18950,19880,20410,21030,22700,23300,23390,23080,22460
CPCurrent,150,80,60,50,50,50,50,50,50,40,40,40,40,40
ZCurrent,1370,3020,3870,4500,5060,5030,5310,5370,5480,5520,5540,5070,4460,3440
CZCurrent,700,320,250,210,190,190,180,180,180,170,170,190,220,280
ZOCurrent,1620,3540,4700,5370,6050,5940,6270,6370,6480,6520,6440,5870,5060,3930
CZOCurrent,590,270,200,180,160,160,150,150,150,150,150,160,190,240
EVCurrent,1350,770,-1560,-1030,-4140,-2860,-1090,-1260,-1680,-3350,-4230,-5570,-5830,-5460
EVPCurrent,210,60,-100,-60,-210,-150,-50,-60,-80,-150,-180,-240,-250,-240
EVEBITCurrent,830,220,-330,-190,-680,-480,-170,-200,-260,-510,-660,-950,-1150,-1390
EVEBITDACurrent,700,200,-310,-180,-630,-440,-160,-180,-240,-460,-590,-900,-1110,-1120
DTAR,320,290,300,280,290,160,230,190,170,110,130,90,120,80
CG,480,400,440,390,400,190,300,230,210,120,150,100,130,90
LDER,,,,,,,,,,,,,,
PZAT,,,,,,,,,,,,,,
PELDR,,,,,,,,,,,,,,
TSF,,,,,,,,,,,,,,
ZKO,820,520,460,380,370,260,420,350,320,220,250,170,200,150
OSF,920,820,930,1050,1190,550,710,610,570,390,460,340,410,310
NetDebt,4146000000,3668000000,-959000000,2873000000,-3876000000,-4170000000,2942000000,242000000,-577000000,-5418000000,-5224000000,-12538000000,-10294000000,-12490000000
NetDebtEBITDA,710,340,-60,180,-210,-210,140,10,-30,-250,-230,-650,-640,-840
DebtFin,1185000000,-516000000,-7401000000,-5508000000,-14505000000,-11983000000,-6384000000,-6925000000,-8215000000,-13150000000,-16486000000,-20227000000,-20839000000,-19583000000
DebtFinEBITDA,200,-50,-490,-340,-770,-590,-300,-320,-370,-600,-720,-1050,-1290,-1320
SP1,1120,1570,2009,2780,3250,2120,1690,1710,1790,1790,1830,2009,2029,2050
SP2,1120,1570,2009,2780,3250,2120,1690,1710,1790,1790,1830,2009,2029,2050
CAR,300,520,1090,770,1270,1530,780,980,1050,1700,1460,2620,1970,2750
QR,540,1000,1510,1920,1980,2830,1580,1890,2050,3440,2870,4430,3310,4880
CR,1220,1910,2150,2650,2740,3850,2390,2830,3110,4630,4000,5950,4880,6550
PP,330,520,1090,770,1280,1530,780,980,1050,1700,1460,2620,1970,2750
RCLR,210,470,420,1150,710,1300,800,910,1000,1750,,1800,1340,2130
KP,70,260,350,460,500,450,320,340,360,390,390,460,450,470
PKKO,120,350,430,680,710,630,500,540,650,680,760,830,880,870
RN,15010,9020,10500,5290,5900,5150,5480,6210,6090,5970,6230,5520,5100,4750
CRN,24000,40000,35000,69000,62000,71000,67000,59000,60000,61000,59000,66000,72000,77000
CPZ,114000,86000,82000,85000,80000,71000,70000,66000,62000,58000,52000,49000,48000,49000
RZ,3050,2960,4400,4000,4090,4019,4000,3990,3890,4030,4160,4050,3740,3650
CRZ,120000,123000,83000,91000,89000,91000,91000,91000,94000,91000,88000,90000,98000,100000
RMO,2610,2230,2060,1780,1800,1750,1850,1930,2000,2029,1980,1770,1580,1450
RMT,1710,2670,3870,4220,4930,4210,3590,2970,2450,2250,2160,1980,1830,1750
RM,1030,1220,1340,1250,1320,1230,1220,1170,1100,1070,1030,930,850,790
COP,144000,163000,118000,160000,151000,162000,158000,150000,154000,152000,147000,156000,170000,177000
CSP,30000,77000,36000,75000,71000,91000,88000,84000,92000,94000,95000,107000,122000,128000
