,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580
ShareAmountCurrent,11089313000,11089313000,11089313000,11089313000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000
WKCurrent,2310,2850,6460,7010,0,9040,8940,9330,8940,9180,9220,8840,0,8770,8600,8189,0,8670,8680,8690,0,8720,8750,8780,8790,8920,8940,8840,8860,8950,8990,9000,9020,9150,9230,9260,9200,9420,9510,9220,9330,9300,9330,9360,9380,9410,9460,9670
CWKCurrent,1120,900,400,370,,290,290,280,290,280,280,290,,290,300,320,,300,300,300,,300,290,290,290,290,290,290,290,290,290,290,290,280,280,280,280,270,270,280,280,280,280,280,280,270,270,270
WKGrahamCurrent,1730,2060,2810,3310,0,5290,5120,5390,4990,5110,5030,4510,0,4430,4240,3830,0,3850,3820,3850,0,3940,3970,4010,4019,4200,4220,4090,4140,4210,4240,4510,4670,4850,4940,4870,4930,5040,5300,4940,5140,5130,5240,5290,5310,5310,5350,5670
CWKGrahamCurrent,1490,1250,920,780,,490,500,480,520,510,510,570,,580,610,670,,670,680,670,,650,650,640,640,610,610,630,620,610,610,570,550,530,520,530,520,510,490,520,500,500,490,490,490,490,480,450
PCurrent,36200,42440,27760,48500,36610,40100,42480,47050,47230,46470,45410,38160,37870,35560,35670,37100,37340,39040,38430,37900,39260,46250,48730,48770,50530,47440,46750,49920,50570,50370,52320,52470,52430,52390,52340,52140,51950,52780,50080,48380,46550,42990,42320,38410,35820,33490,29400,28390
CPCurrent,70,60,90,50,70,60,60,50,50,60,60,70,70,70,70,70,70,70,70,70,70,60,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,60,70,70,80,90,90
ZCurrent,270,630,450,940,490,620,670,510,290,300,220,-250,20,-280,-490,-630,-600,-480,-280,130,0,60,70,60,150,170,170,180,190,150,160,150,160,240,280,300,360,410,430,430,450,250,190,180,100,120,120,330
CZCurrent,9450,4070,5770,2750,5250,4190,3860,5010,8940,8710,11650,,145850,,,,,,,19140,1020940,46050,37570,39930,16900,14940,15190,14350,13830,16910,15850,16690,16100,10850,9200,8720,7100,6230,6040,5950,5710,10480,13560,14060,25890,22150,20930,7830
ZOCurrent,60,1310,340,830,330,50,-30,30,-150,740,960,120,410,-160,-540,-240,-420,-430,-250,-40,150,420,360,430,350,300,500,570,580,460,410,300,370,570,370,480,630,620,810,870,650,520,310,170,210,80,210,390
CZOCurrent,42200,1970,7560,3110,7810,57080,,94030,,3500,2700,21780,6310,,,,,,,,17250,6100,7190,6040,7310,8530,5120,4540,4440,5590,6360,8690,6940,4520,6950,5330,4080,4130,3180,2980,3960,5010,8220,15500,12220,34100,12500,6630
EVCurrent,1500,730,1320,1550,2580,3490,2020,1210,2470,2770,2470,2720,2580,3140,4840,4230,2580,3350,2960,3410,2580,3060,3390,2450,3470,2470,3300,3680,4260,4480,4180,2780,2100,3860,2940,2750,3260,-2740,3610,3830,2730,3260,3310,3890,4019,3110,3140,3620
EVPCurrent,40,20,50,30,70,90,50,30,50,60,50,70,70,90,140,110,70,90,80,90,70,70,70,50,70,50,70,70,80,90,80,50,40,70,60,50,60,-50,70,80,60,80,80,100,110,90,110,130
EVEBITCurrent,24500,560,3880,1870,7810,77230,-68260,44020,-16340,3760,2580,22920,6310,-19180,-8900,-17950,-6170,-7840,-11970,-77700,17250,7250,9450,5730,9830,8180,6550,6470,7330,9700,10300,9370,5650,6760,7930,5680,5150,-4380,4450,4420,4180,6320,10560,23370,19030,41110,15210,9320
EVEBITDACurrent,12760,530,3390,1700,6130,23780,23780,7670,-85860,3240,2300,12300,5010,-48340,-10730,-29200,-7690,-9360,-16590,172140,12200,6360,8189,5100,8520,6950,5910,5890,6710,8690,9110,7980,4960,6200,6920,5100,4730,-4019,4160,4170,3880,5780,9220,18450,15920,27300,12820,8470
DTAR,750,840,600,700,,530,450,480,430,450,410,400,,380,360,380,,490,390,340,,320,320,390,450,500,410,430,490,540,500,500,490,470,530,490,440,560,450,520,560,470,440,370,300,260,200,260
CG,2950,5230,1490,2370,,1110,810,940,740,820,690,660,,610,570,600,,950,640,510,,480,480,630,810,990,680,770,970,1200,990,1000,970,900,1120,980,780,1280,800,1060,1290,880,770,590,430,350,260,350
LDER,10,30,10,10,,0,10,40,20,20,20,20,,20,20,30,,30,40,30,,30,30,30,30,30,30,30,30,30,30,20,20,10,20,30,20,40,20,30,30,30,20,20,20,20,20,20
PZAT,14860,8380,12900,14230,,33380,31990,4560,9890,7980,8480,9530,,10200,10250,8039,,7040,6140,6310,,7520,7450,7220,7460,7460,6940,6100,6770,7630,6850,9300,8930,16780,9080,6360,8670,4900,8390,5670,7120,6250,10230,8940,10780,10340,9160,7750
PELDR,4080,3690,1790,1910,,2410,2340,2450,2300,2300,2250,2080,,2060,2020,1960,,1860,1980,1860,,1890,1920,1910,2009,1960,2040,1990,2080,2130,2029,2170,2220,2270,2440,2220,2310,2550,2650,2470,2480,2430,2530,2510,2450,2460,2400,2640
TSF,260,170,400,300,,480,560,530,580,560,600,620,,630,650,640,,530,630,690,,690,700,630,570,520,610,580,520,470,520,510,520,530,480,520,570,450,570,500,450,550,570,640,710,750,810,760
