,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CR,2180,1480,2770,2090,1880,6810,6600,6300,6160,6130,4880,3850,4170,3920,4370,4220,4140,3890,4470,4370,3910,3860,3950,3640,14300,1500,4460,4490,4070,3340,4270,3730,3400,3550,3680,3910,3890,3780,3810,3770,3900,3770,4130,3460,3480,3300
PP,290,240,1490,730,360,5500,5240,4780,5030,3390,3940,3330,3540,3320,3650,3390,3020,2960,3270,3220,2650,2550,2580,2990,11600,680,3920,3900,3430,2660,3710,2960,2740,2930,3040,3380,3280,3140,3040,3050,3320,3080,3480,2830,2920,2800
RCLR,1890,1240,1270,1080,980,1130,1140,1340,940,2620,720,390,420,440,540,510,640,670,580,630,540,520,510,600,2310,790,430,410,540,590,510,740,580,520,570,450,540,540,650,670,420,540,480,510,420,390
KP,460,290,570,470,420,810,800,780,780,780,720,670,700,690,710,660,660,630,660,650,630,620,630,620,810,310,650,650,620,580,620,590,540,520,550,570,590,630,630,640,650,660,670,630,620,620
PKKO,120,140,160,160,180,860,830,730,620,630,470,500,550,550,580,540,560,530,620,650,660,590,570,540,770,390,660,-2580,-2260,-200,-2170,700,640,560,570,610,680,650,680,730,760,740,740,670,610,590
RN,6920,3720,12150,8590,7780,7750,7780,7630,7950,5830,5680,5960,6380,13020,14240,14980,14110,13460,13810,12320,12500,13080,13010,13470,12590,6610,2160,2070,2060,-15260,12850,11790,11340,12230,12190,13420,14570,14340,13630,12160,12430,12380,13270,13890,13890,14730
CRN,53000,98000,30000,43000,47000,47000,47000,48000,46000,63000,64000,61000,57000,28000,26000,24000,26000,27000,26000,30000,29000,28000,28000,27000,29000,55000,169000,177000,177000,-24000,28000,31000,32000,30000,30000,27000,25000,25000,27000,30000,29000,29000,28000,26000,26000,25000
CPZ,28000,79000,24000,52000,51000,46000,44000,42000,40000,43000,45000,53000,55000,58000,58000,51000,49000,46000,44000,47000,48000,49000,51000,50000,41000,70000,215000,227000,241000,-48000,55000,52000,53000,50000,50000,51000,48000,48000,49000,50000,52000,52000,52000,54000,54000,55000
RZ,,,3969000,209630,198430,285260,10174000,10286000,2820290,2153080,1486180,1003570,850670,668440,413790,86090,67560,74310,49420,49300,39960,33500,33490,40400,55980,285330,136370,-15500,-17760,-209760,-18690,132110,177890,6772000,,,,,,,,,,,,
CRZ,,,0,2000,2000,1000,0,0,0,0,0,0,0,1000,1000,4000,5000,5000,7000,7000,9000,11000,11000,9000,7000,1000,3000,-24000,-21000,-2000,-20000,3000,2000,0,,,,,,,,,,,,
RMO,5990,3120,5570,3790,3810,2620,1990,1680,1400,1360,1360,1320,1400,1510,1560,1710,1800,1920,1990,1840,1820,1790,1780,1910,1860,2590,830,780,770,-1900,1670,1860,1900,1960,2050,1980,2020,1980,1950,1930,1850,1830,1790,1800,1840,1860
RMT,33260,31440,42950,31910,32900,30500,26890,23600,20430,18530,16950,15590,15810,16200,17390,16720,15350,13450,12070,10730,10260,9990,9680,10460,10690,23990,7650,6960,6480,-9450,7840,8340,8390,8090,8640,8620,9410,10350,10920,11660,11820,12770,13410,13830,13890,13790
RM,5080,2840,4930,3390,3410,2420,1850,1570,1310,1260,1260,1220,1290,1380,1430,1550,1610,1680,1710,1570,1550,1520,1500,1610,1590,2340,750,700,690,-1580,1380,1520,1520,1520,1570,1490,1540,1570,1600,1630,1600,1600,1580,1590,1620,1640
COP,,,,45000,49000,48000,,,,,,,,29000,27000,28000,31000,32000,33000,37000,38000,39000,39000,36000,36000,56000,172000,153000,156000,-26000,8000,34000,34000,,,,,,,,,,,,,
CSP,,,,-7000,-2000,2000,,,,,,,,-29000,-31000,-23000,-18000,-14000,-11000,-10000,-10000,-10000,-12000,-14000,-5000,-14000,-43000,-74000,-85000,22000,-47000,-18000,-19000,,,,,,,,,,,,,
