,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RCLR,1030,1370,100,,930,,440,,340,370,310,20,210,220,490,600,520,930,480,1080,660,710,4740,4770,4680,3890,3060,4059,910,1120,860,1140,660
KP,80,60,-500,-60,0,-30,50,-70,50,60,-30,-190,-60,-60,720,700,720,760,300,680,610,630,490,490,490,420,240,270,-10,10,-10,10,-40
PKKO,35190,-345450,12295720,1529500,-32520,639670,-443160,502080,-1209330,-455080,1423930,6306590,3189580,1937220,-22388700,-19518480,-20240730,-15263380,-1527350,-3975540,-3407460,-6990500,-1883330,-2074820,-2084820,-2246250,-472860,-590670,31500,-37250,52670,-43330,238000
RN,0,,680,850,520,2160,240,160,230,-3830,420,3160,3090,3320,4300,1260,1220,1060,40,-60,-290,-740,20,10,0,20,50,70,130,220,60,100,50
CRN,228490000,,538000,430000,707000,169000,1518000,2338000,1565000,-95000,868000,116000,118000,110000,85000,291000,299000,345000,9715000,-6184000,-1243000,-496000,21813000,29751000,10059674000,22143000,7587000,5480000,2830000,1655000,6371000,3595000,7099000
CPZ,221628000,104000,2752000,2414000,3142000,516000,1864000,3020000,3700000,-252000,2294000,504000,547000,540000,400000,827000,688000,563000,16284000,-9313000,-1768000,-763000,21120000,23010000,4724651000,4904000,1751000,1324000,844000,732000,3804000,3620000,7726000
RZ,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,4862000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,0,,310,390,310,1930,110,70,40,-730,110,660,730,870,410,130,100,80,0,-10,-50,-180,0,0,0,20,50,70,130,220,60,100,50
RMT,0,,20,30,20,120,10,10,0,-90,20,120,130,150,230,120,190,370,20,-40,-280,-1240,20,20,0,30,70,80,100,70,10,10,10
RM,0,110,50,40,20,120,10,10,0,-80,20,100,120,130,150,60,70,70,0,-10,-40,-150,0,0,0,10,30,40,60,50,10,10,0
COP,233352000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,11724000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
