,2008/Q4,2009/Q4,2010/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500
ShareAmountCurrent,104005000000,104005000000,104005000000,104005000000,144647140000,144647140000,16500000000,16500000000,18100000000,18100000000,18100000000,18100000000,18100000000,18100000000,18100000000,18123057000,18123057000,18123057000,18123057000
WKCurrent,210,260,300,30,190,380,3520,3910,5690,5800,5410,5570,6180,6110,5380,5690,6570,6730,6160
CWKCurrent,74370,59510,51600,455000,80970,41180,4400,3960,2730,2670,2860,2780,2510,2540,2880,2720,2360,2300,2510
WKGrahamCurrent,-190,-160,-390,-600,-250,-70,-530,-70,2170,2240,1780,1840,2230,2080,1060,1070,1620,1780,1070
CWKGrahamCurrent,,,,,,,,,7130,6920,8710,8440,6940,7460,14670,14480,9570,8720,14540
PCurrent,620,540,640,720,600,900,8630,8870,8380,8600,8790,8590,9410,9760,10130,10900,11860,12230,12740
CPCurrent,25180,28690,24230,21570,25760,17180,1800,1750,1850,1800,1760,1800,1650,1590,1530,1420,1310,1270,1220
ZCurrent,50,-100,40,-150,100,190,1630,1660,1500,1490,1410,1200,1120,940,770,930,1210,1440,1610
CZCurrent,292100,,400020,,155360,81040,9510,9320,10350,10400,11030,12930,13790,16480,20220,16590,12850,10800,9610
ZOCurrent,80,-80,70,-130,50,190,1860,1860,1710,1740,1670,1440,1390,1360,1360,1530,1920,1970,2070
CZOCurrent,196360,,213830,,296640,79800,8340,8310,9090,8910,9280,10780,11150,11370,11380,10110,8080,7880,7490
EVCurrent,15690,15760,16079,16020,15810,15710,18290,18730,15050,15570,16379,16600,15380,15620,17630,17830,16110,16430,18230
EVPCurrent,25490,29180,25140,22300,26270,17410,2120,2110,1800,1810,1870,1930,1640,1600,1740,1640,1360,1340,1430
EVEBITCurrent,198780,-201070,221850,-128039,302580,80890,9840,10050,8830,8950,9810,11540,11060,11460,12940,11630,8400,8350,8820
EVEBITDACurrent,144610,-377600,142260,-245700,191560,71100,8710,8900,7750,7800,8480,9760,9250,9560,10750,9780,7270,7170,7530
DTAR,740,610,740,970,760,640,580,560,450,430,440,360,390,380,380,410,320,270,410
CG,2820,1560,2820,30370,3100,1800,1360,1260,820,750,770,550,650,620,620,700,480,380,680
LDER,1830,660,1720,18510,2400,1120,1030,930,580,570,140,140,470,490,470,510,180,180,500
PZAT,470,1060,870,520,500,510,550,550,570,590,2660,2710,810,800,1040,1020,2680,2680,1090
PELDR,1500,1020,1180,1060,1470,1790,1770,1910,2560,2550,1710,1710,2310,2260,1840,1860,1570,1610,1820
TSF,740,650,710,620,830,760,860,860,870,890,640,740,890,920,910,890,800,860,890
ZKO,1460,1670,1880,2360,1750,1120,1120,1010,680,660,700,630,640,650,760,790,660,590,800
OSF,770,1030,810,130,750,940,980,1000,1110,1080,1040,930,1000,980,940,970,870,800,960
NetDebt,58519000000,40624000000,84692000000,90921000000,70592000000,61369000000,62195000000,71259000000,14107000000,17668000000,33536000000,38781000000,24687000000,24490000000,58166000000,69046000000,47715000000,43280000000,71363000000
NetDebtEBITDA,5190,-9360,7200,-13410,5910,1920,1800,2050,400,490,960,1260,820,830,1960,2090,1190,1040,1630
DebtFin,19944000000,27463000000,60471000000,54047000000,44862000000,30672000000,45966000000,53301000000,-8135000000,1254000000,16004000000,19909000000,-2133000000,2165000000,38513000000,42260000000,11109000000,16783000000,49554000000
DebtFinEBITDA,1770,-6330,5140,-7970,3760,960,1330,1540,-230,30,460,650,-70,70,1300,1280,280,400,1130
SP1,530,620,430,50,430,840,870,980,1620,1630,1490,1490,1570,1510,1240,1230,1330,1360,1210
SP2,1490,1020,1180,1060,1460,1780,1760,1900,2550,2550,1700,1700,2300,2250,1830,1850,1570,1600,1820
CAR,60,50,90,230,790,980,870,480,2800,3140,670,410,2420,2920,130,150,260,120,220
QR,820,380,650,750,1410,1430,1930,1700,3410,3750,1030,710,3420,3910,2040,1100,920,870,2130
CR,1940,1040,1370,1090,2550,2360,3610,3840,4920,6130,1750,2160,5730,6990,5730,4600,2480,3230,4810
PP,130,60,100,400,790,980,870,480,2800,3140,680,410,2420,2920,130,150,260,120,240
RCLR,680,300,560,360,620,450,1080,1230,570,570,330,280,960,940,1860,910,650,730,1850
KP,240,10,110,30,260,330,370,410,530,540,270,300,510,510,410,410,290,320,400
PKKO,1210,60,600,140,890,980,900,1000,1610,1590,720,780,1340,1250,850,870,570,600,820
RN,4360,7730,3500,4990,7260,6090,7020,7270,7750,8660,8900,10790,10940,10780,10380,10240,10670,10540,9700
CRN,84000,47000,104000,73000,50000,60000,52000,50000,47000,42000,41000,34000,33000,34000,35000,36000,34000,35000,38000
CPZ,123000,158000,188000,205000,81000,88000,64000,59000,50000,50000,73000,87000,76000,71000,45000,32000,35000,38000,39000
RZ,820,1270,1050,2340,1760,1620,1790,1740,1780,1690,1600,1400,1540,1600,1620,1650,1720,1670,1690
CRZ,445000,289000,346000,156000,207000,226000,204000,209000,206000,216000,228000,261000,238000,228000,225000,221000,212000,218000,216000
RMO,1530,2230,1420,1640,1770,1670,2009,1980,1830,1580,1480,1410,1590,1700,1890,2029,2370,2650,2630
RMT,1560,1280,920,1140,1350,2000,2180,2240,2330,2390,2450,2380,2530,2540,2530,2580,2650,2600,2600
RM,770,810,560,670,770,910,1050,1050,1030,950,920,890,980,1020,1080,1130,1250,1310,1310
COP,529000,336000,450000,229000,257000,286000,256000,259000,253000,258000,269000,295000,271000,262000,260000,257000,246000,253000,254000
CSP,406000,178000,262000,24000,176000,198000,192000,200000,203000,208000,196000,208000,195000,191000,215000,225000,211000,215000,215000
