,2008/Q4,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
KP,620,630,610,,780,780,800,810,810,810,780,820,820,820,810,800,810,810,810,810,810,800,810,820,810,810,820,830,760,740,750
PKKO,-14950,-16760,-15030,,-25920,-31480,-24930,-25850,-26400,-20860,-25800,-26480,-27730,-28000,-28550,-29330,-30320,-30190,-30560,-30770,-31330,-31190,-31980,-31890,-32520,-32090,-32860,-33210,-21710,-21530,-22270
RN,5560,5160,2750,2680,2500,2180,1790,1680,1400,1370,1450,1520,1560,1560,1540,1480,1420,1380,1360,1330,1320,1290,1330,1310,1330,1340,1320,1290,1420,1560,1780
CRN,66000,71000,133000,136000,146000,168000,204000,217000,261000,267000,252000,241000,235000,234000,237000,247000,258000,264000,269000,274000,277000,283000,274000,278000,275000,273000,277000,282000,257000,234000,205000
CPZ,26000,27000,36000,31000,28000,26000,23000,22000,22000,21000,24000,23000,22000,21000,19000,21000,24000,24000,24000,23000,23000,25000,25000,26000,26000,25000,25000,25000,26000,29000,31000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,2510,2490,2120,2070,1740,1580,1370,1290,1130,1080,1100,1130,1160,1150,1140,1120,1080,1070,1070,1060,1070,1050,1070,1060,1060,1060,1050,1030,1100,1170,1270
RMT,7440,8590,7310,7870,8230,8740,8280,7840,6830,6670,6910,7210,7470,7610,7590,7410,7230,7140,7160,7140,7180,7090,7340,7260,7320,7400,7380,7460,7800,8080,8420
RM,1880,1930,1640,1640,1440,1340,1170,1110,970,930,950,980,1000,1000,990,970,940,930,930,920,930,910,940,920,930,930,920,900,960,1020,1100
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
