,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,9760,9760,9760,9760,9760,9760,9760,9760,9760,9760,9760,9760,9760,9760,9760,9760
ShareAmountCurrent,8070180000,8070180000,8070180000,8070180000,8070180000,9070180000,9434346000,9434346000,9434346000,10164346000,10164346000,10164346000,10164346000,10164346000,10164346000,10164346000
WKCurrent,5210,2320,2700,4510,4110,5250,5240,5360,6600,5700,5840,6310,5900,3600,3610,3460
CWKCurrent,1870,4220,3620,2170,2380,1860,1860,1820,1480,1710,1670,1550,1650,2710,2700,2820
WKGrahamCurrent,-950,-2210,-2020,-910,-1650,-430,-730,-630,430,-530,-850,-380,-1280,-70,-1240,-1560
CWKGrahamCurrent,,,,,,,,,22560,,,,,,,
PCurrent,0,0,0,120,190,430,600,560,540,470,630,690,760,570,320,260
CPCurrent,,2187920,2187920,79720,51650,22490,16370,17440,17950,20760,15580,14050,12910,17220,30380,37630
ZCurrent,-610,210,-120,-190,-1960,-1980,-1590,-1840,-1930,-1690,-1790,-1840,-2060,-3950,-4080,-3700
CZCurrent,,45710,,,,,,,,,,,,,,
ZOCurrent,-530,220,280,140,-1450,-1510,-1530,-1710,-1870,-1850,-1980,-2080,-2290,-5100,-5280,-5240
CZOCurrent,,44850,35120,70010,,,,,,,,,,,,
EVCurrent,9570,10730,10780,9980,10720,9290,9950,9540,8320,9310,9840,9350,10150,9630,10170,10610
EVPCurrent,,2405390,2417170,81480,56750,21390,16680,17040,15300,19790,15720,13450,13420,16990,31660,40920
EVEBITCurrent,-17900,49310,38800,71560,-7380,-6160,-6510,-5570,-4450,-5020,-4970,-4490,-4430,-1890,-1930,-2029
EVEBITDACurrent,-17910,47090,37310,65660,-7480,-6290,-6740,-5830,-4670,-5290,-5220,-4710,-4630,-1930,-1970,-2080
DTAR,200,390,350,290,310,290,220,220,200,210,210,200,230,230,290,360
CG,280,1120,970,570,640,530,360,370,320,360,360,330,420,420,620,840
LDER,240,570,470,410,490,350,240,260,220,250,240,230,250,220,370,520
PZAT,,50,70,60,60,60,110,100,100,100,100,90,80,130,80,20
PELDR,980,580,580,900,830,1000,890,870,990,1170,1120,1130,1020,880,740,790
TSF,910,540,530,730,730,750,770,740,760,740,740,720,690,670,630,640
ZKO,2850,6750,4410,1560,2720,1180,1640,1470,830,1350,1690,1220,2080,1050,2240,2150
OSF,2240,2480,1720,990,1510,870,1180,1010,670,1270,1530,1110,1690,740,1190,1100
NetDebt,9527747000,19058000000,18984000000,12807000000,19212000000,11161000000,14888000000,11905000000,1505000000,11201000000,17445000000,12781000000,24701000000,11675000000,22428000000,29290000000
NetDebtEBITDA,-2210,10360,8140,10450,-1660,-830,-1070,-770,-90,-630,-910,-630,-1110,-230,-430,-560
DebtFin,-1543826000,7829000000,8253000000,1739000000,7776000000,-4307000000,1757000000,-2091000000,-13589000000,-4611000000,847000000,-4210000000,3942000000,-1299000000,4153000000,8661000000
DebtFinEBITDA,360,4260,3540,1420,-670,320,-130,140,810,260,-40,210,-180,30,-80,-170
SP1,780,370,390,640,560,740,710,690,810,940,900,910,810,700,530,510
SP2,980,580,570,900,830,990,880,870,990,1170,1120,1120,1010,860,730,770
CAR,1240,180,190,1410,380,1630,470,1210,3070,1470,560,1270,20,510,50,30
QR,2530,260,360,2220,1380,2330,1580,1980,3710,2070,1530,2110,580,1210,460,700
CR,2670,300,450,2390,1570,2470,1820,2250,4010,2370,1850,2600,1180,2020,1080,1200
PP,1440,180,190,1410,380,1630,470,1210,3070,1470,560,1270,20,510,50,30
RCLR,1140,100,190,840,1010,730,1160,820,680,600,970,940,660,840,520,410
KP,40,-130,-100,110,40,150,60,80,180,90,60,100,20,110,10,30
PKKO,-950300,86050,66700,-76190,-18680,-46480,-10090,-10040,-20660,-9320,-6060,-10980,-1810,-6790,-660,-1780
RN,,40,20,390,480,880,980,930,940,980,1330,1350,1310,900,550,470
CRN,,9977000,15107000,942000,758000,417000,371000,395000,389000,371000,275000,270000,278000,406000,668000,770000
CPZ,,103832000,106169000,3262000,1881000,692000,406000,435000,465000,458000,357000,335000,358000,489000,937000,1324000
RZ,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,
RMO,,10,10,140,210,330,420,400,300,300,390,410,540,410,240,210
RMT,,0,0,20,30,70,90,80,70,70,90,100,110,90,50,40
RM,,0,0,20,20,60,70,70,60,50,70,70,70,60,40,30
COP,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,
