,2004/Q4,2005/Q4,2006/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,3745000000,3745000000,3745000000,5494000000,5494000000,5494000000,5494000000,5494000000,5494000000,5494000000,8816009000,9168980000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12936509000,12897364000,12897364000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,32.82,-29.39,46.32,,,,,11.76,-100.00,,,29.60,,17.14,,95.38,114.87,96.30,,-73.29,-69.34,-64.74,-63.39,20.78,16.88,17.81,18.61,19.70,20.76,20.22,19.61,16.32,14.78,4.27,1.18,-1.08,-3.75,4.48,2.48,0.09,-2.27
