,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
ShareAmountCurrent,2121600000,2121600000,2121600000,2121600000,2121600000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000,4308200000
WKCurrent,1250,1200,1170,960,8550,4160,4260,4280,6450,6370,6320,6460,4700,4670,4300,4150,2940,2970,2370,2330,890,840,-300
CWKCurrent,1120,1170,1200,1450,160,340,330,330,220,220,220,220,300,300,330,340,480,470,590,600,1580,1670,
WKGrahamCurrent,-2170,-2230,-2120,-2170,-2170,-210,-460,-480,6130,6020,5970,6130,4480,4420,3870,3740,2380,2440,1790,1720,140,30,-300
CWKGrahamCurrent,,,,,,,,,230,230,230,230,310,320,360,370,590,570,780,820,10150,48190,
PCurrent,960,960,640,520,700,43310,80710,112330,2850,-40260,-77710,-109170,-2029,-1960,-2570,-2760,-2050,-1830,-1850,-1870,-1990,-2210,-1860
CPCurrent,1460,1460,2180,2720,2000,30,20,10,490,,,,,,,,,,,,,,
ZCurrent,200,90,30,-140,-80,0,40,90,2210,2100,2060,2180,-1720,-1280,-2009,-2320,-1760,-2080,-1930,-1820,-1990,-2060,-2600
CZCurrent,7000,16280,47070,,,315310,32940,15810,630,670,680,640,,,,,,,,,,,
ZOCurrent,170,150,120,-60,-10,20,80,140,2750,2630,2570,2710,-2160,-2090,-2700,-2890,-2140,-2000,-2100,-2160,-2310,-2460,-2060
CZOCurrent,8330,9550,11880,,,66150,16510,9900,510,530,540,520,,,,,,,,,,,
EVCurrent,3640,3020,2930,3690,3040,1900,1880,1790,1550,1640,1690,1660,1350,1750,1770,1800,1380,1860,1700,1780,1390,1880,1700
EVPCurrent,3790,3150,4560,7150,4340,40,20,20,540,,,,,,,,,,,,,,
EVEBITCurrent,21650,20610,24900,-60320,-457110,89890,22170,12650,560,620,660,610,-620,-830,-660,-620,-640,-930,-810,-830,-600,-760,-830
EVEBITDACurrent,13120,11810,12920,77220,30310,21800,11670,9490,560,620,660,620,-620,-830,-660,-620,-640,-930,-810,-830,-600,-760,-830
DTAR,670,680,690,730,250,290,170,180,120,120,130,140,110,110,110,150,180,210,220,210,380,410,5390
CG,2060,2100,2230,2680,330,410,200,220,130,140,150,160,120,120,120,180,220,260,280,270,620,680,-1230
LDER,1370,1510,1480,1820,200,260,110,110,130,130,140,150,80,80,70,110,120,130,110,220,190,230,-70
PZAT,1880,1730,1820,1710,1860,810,2009,1980,,,,,,,,,,,,,,,
PELDR,860,880,880,870,970,1250,1000,1000,22550,20970,20960,22190,22350,20210,10500,11240,5890,6350,4550,4650,1410,1270,-34970
