,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q4,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880
ShareAmountCurrent,8780951000,8780951000,8780951000,8780951000,8780951000,8780951000,8780951000,8780951000,9280951000,9280951000,9280951000,9280951000,9280951000,9280951000,9280951000,9280951000,9280951000,9280951000,9280951000,14889406000,14889406000,14889406000,14889406000,14889406000,22105626000,22105626000,22105626000,22105626000,22105626000,22105626000,22105626000,26516000000,26516000000,26752842000,26752842000,26752842000,26752842000,26752842000,30252842000,30252842000,30252842000,30666180000,30666180000,30666180000,30666180000,31099512000
WKCurrent,2900,3740,4140,4400,4790,5110,5430,6330,6930,6010,6790,6480,6230,-1710,-2820,-4290,-5360,-8830,-7120,-2790,-3410,-4290,-4610,-3260,-1610,-1950,-2100,-2390,-2480,-2530,-2490,-2060,-2060,-2009,-1900,-1890,-1820,-580,280,360,390,330,520,220,180,130
CWKCurrent,300,240,210,200,180,170,160,140,130,150,130,140,140,,,,,,,,,,,,,,,,,,,,,,,,,,3110,2440,2270,2650,1700,4010,4810,6900
WKGrahamCurrent,-2490,-2890,-2970,-5790,-5680,-6070,-6130,-5870,-5160,-6580,-7680,-8590,-8350,-12210,-13310,-14040,-14380,-15620,-13720,-7240,-7560,-7970,-8550,-7360,-4490,-4470,-4480,-4750,-4710,-4560,-4770,-3870,-3610,-3620,-3430,-3720,-3660,-3500,-2500,-2490,-2620,-2710,-2730,-3100,-3380,-3490
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,10860,13480,14310,15190,16890,17750,18840,19470,19000,20300,21330,22180,22710,23040,22720,21620,20520,18690,17640,10610,10480,10850,11050,11400,7730,7770,7770,7770,7760,7740,7700,6540,6570,6600,6640,6470,6450,6390,5810,5940,6210,6260,6800,6100,6030,5880
CPCurrent,80,70,60,60,50,50,50,50,50,40,40,40,40,40,40,40,40,50,50,80,80,80,80,80,110,110,110,110,110,110,110,130,130,130,130,140,140,140,150,150,140,140,130,140,150,150
ZCurrent,550,840,970,960,1140,1370,1460,1180,970,-30,-160,-310,-800,-7600,-8820,-10130,-10980,-7090,-7110,-4090,-4010,-2680,-2260,-2160,-1150,-860,-890,-880,-870,-680,-570,-350,-280,-140,-20,60,120,1290,1270,1320,1310,150,340,-300,-290,-360
CZCurrent,1610,1050,910,920,770,640,600,750,910,,,,,,,,,,,,,,,,,,,,,,,,,,,15680,7450,680,700,660,670,5780,2560,,,
ZOCurrent,1320,1700,1850,2110,2190,2480,2650,2360,2070,1090,1080,1010,630,-6460,-7290,-7760,-8630,-4420,-4800,-3340,-3300,-1880,-1530,-1310,-610,-450,-480,-510,-470,-170,-100,90,140,110,180,180,200,710,580,680,670,180,430,-170,-160,-220
CZOCurrent,670,520,470,420,400,360,330,370,430,810,820,870,1400,,,,,,,,,,,,,,,,,,,9270,6150,8100,4900,4980,4430,1240,1520,1300,1310,4830,2060,,,
EVCurrent,3030,3660,-170,5390,-30,6540,290,7420,-60,7950,-60,9040,80,10190,450,14090,15060,15110,13520,7100,7190,7330,7780,6600,4550,4670,4600,4760,4790,4790,4970,4190,4300,4200,4270,4320,4330,4260,3270,3230,3260,3320,3390,3310,3500,3470
EVPCurrent,280,270,-10,360,0,370,20,380,0,390,0,410,0,440,20,650,730,810,770,670,690,680,700,580,590,600,590,610,620,620,640,640,650,640,640,670,670,670,560,540,530,530,500,540,580,590
EVEBITCurrent,2300,2150,-90,2560,-20,2640,110,3140,-30,7280,-60,8960,130,-1580,-60,-1820,-1750,-3420,-2820,-2130,-2180,-3900,-5100,-5030,-7460,-10380,-9570,-9250,-10130,-28970,-47640,44110,30000,38640,23770,24450,21800,6020,5660,4780,4870,18230,7960,-19480,-21420,-15740
EVEBITDACurrent,1530,1360,-60,1660,-10,1770,70,2009,-20,3210,-20,3460,30,-2180,-80,-2370,-2270,-5830,-4390,-3000,-2840,-6910,-9950,-12460,-52510,112630,253740,-293220,236710,15650,14720,9280,8830,9300,8109,8390,8130,4130,3740,3290,3270,6300,4190,18340,20350,36140
DTAR,540,530,540,640,620,600,590,580,520,600,620,630,640,1070,1200,1290,1390,1870,1640,1430,1560,1780,1880,1500,1360,1520,1620,1700,1750,1830,1800,1760,1760,1740,1810,1770,1740,1160,930,910,900,920,880,950,960,970
CG,1360,1250,1180,1910,1780,1620,1490,1470,1130,1620,1700,1820,1920,-8580,-5530,-4110,-3260,-2040,-2490,-3210,-2640,-2150,-2090,-2910,-3550,-2820,-2550,-2330,-2220,-2130,-2240,-2250,-2230,-2290,-2240,-2290,-2350,-7340,12380,9880,9260,11110,7160,18550,23260,34240
