,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,15900340000,15900340000,15900340000,15900340000,16900340000,16900340000,16900340000,16900340000,16900340000,16900340000,16900340000,16900340000,16900340000,16900340000,16928236000,16959095000,16959095000,16959095000,16959095000,17110682000,17291773000,17291773000,17398348000,17398348000,17515746000,17515746000,18744216000,18744216000,18744216000,18744216000,18744216000,18807900000,18807900000,18807900000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,31.00,30.31,,,,72.05,63.10,29.05,29.14,33.28,34.08,39.34,39.58,30.64,34.67,39.59,37.51,40.57,37.83,25.97,30.27,30.67,31.63,29.12,28.44,46.46,43.16,45.13,44.98,18.01,20.29,18.81,13.84
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,12.10,35.36,6.34,6.62,6.27,7.10,6.42,10.04,6.91,11.30,6.61,2.99,10.21,15.36,5.02,5.28,8.06,5.44,8.60,5.60,8.86,3.43,8.03,20.42,6.40,4.86,7.91,-1.98,8.45,3.57,3.40
