,2016/Q4,2017/Q4
QuoteCurrent,3540,3540
ShareAmountCurrent,101000000,41652852000
WKCurrent,3437620,8790
CWKCurrent,0,400
WKGrahamCurrent,2304100,4490
CWKGrahamCurrent,0,790
PCurrent,2172290,4460
CPCurrent,0,790
ZCurrent,451850,920
CZCurrent,10,3860
ZOCurrent,431580,870
CZOCurrent,10,4050
EVCurrent,-182620,6010
EVPCurrent,-80,1350
EVEBITCurrent,-420,6870
EVEBITDACurrent,-410,6630
DTAR,500,590
CG,1000,1440
LDER,500,830
PZAT,50,20
PELDR,5160,4580
TSF,750,750
ZKO,600,740
OSF,1810,1510
NetDebt,153100000000,299028000000
NetDebtEBITDA,3380,7920
DebtFin,-18802000000,102819000000
DebtFinEBITDA,-410,2720
SP1,3030,2040
SP2,4560,3730
CAR,1130,1020
QR,970,400
CR,3380,3180
PP,1130,1020
RCLR,240,60
KP,590,550
PKKO,2240,3350
RN,5360,3970
CRN,68000,92000
CPZ,284000,469000
RZ,530,330
CRZ,685000,1099000
RMO,380,300
RMT,1920,1370
RM,320,240
COP,753000,1191000
CSP,469000,722000
