,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
QuoteCurrent,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040
ShareAmountCurrent,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,12300000000,14181861000,15381861000,15381861000,15381861000,15381861000,15381861000,15381861000,15381861000,15381861000,15381861000,15381861000,15381861000,15381861000,15381861000
WKCurrent,750,810,1690,1700,1740,1930,2000,2009,1980,2020,2020,2020,2090,2280,2350,2360,2350,3060,2760,3310,2830,3210,3310,0,0,0,3680,3700,3660,4050,4110,4150
CWKCurrent,5360,5000,2390,2380,2320,2090,2020,2009,2040,2000,2000,2000,1930,1780,1720,1710,1720,1320,1460,1220,1430,1260,1220,,,,1100,1090,1100,1000,980,970
WKGrahamCurrent,-180,-190,-350,-740,-810,-730,-820,-930,-1140,-1020,-950,-940,-830,-710,-800,-880,-990,-320,-440,30,-200,110,30,0,0,0,-520,-560,-690,-650,-560,-550
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,159340,,37190,159750,,,,,,,,,
PCurrent,8160,8150,10610,11590,12800,14190,14810,15550,15720,15670,15700,15520,15880,16620,16990,17190,17570,18460,16780,16720,18260,19840,20290,20690,20970,20660,21510,22740,23950,26440,27920,29140
CPCurrent,500,500,380,350,320,280,270,260,260,260,260,260,250,240,240,240,230,220,240,240,220,200,200,200,190,200,190,180,170,150,140,140
ZCurrent,200,230,340,350,360,350,370,340,260,120,40,50,110,260,340,340,340,420,430,420,440,600,590,580,570,570,540,540,540,560,550,560
CZCurrent,20130,17870,11900,11410,11250,11410,10790,11950,15340,34430,90350,88350,35470,15690,12050,11830,11810,9530,9410,9590,9140,6700,6890,6990,7060,7100,7540,7510,7470,7170,7340,7230
ZOCurrent,300,310,470,500,530,540,590,560,470,300,210,200,280,450,510,520,520,610,620,600,620,830,800,790,780,770,740,760,770,810,790,800
CZOCurrent,13690,13070,8540,8050,7670,7460,6830,7190,8570,13540,19470,19770,14400,9020,7850,7790,7810,6610,6490,6720,6510,4870,5050,5100,5150,5250,5420,5340,5220,5000,5090,5030
EVCurrent,4030,4980,5550,6020,6090,5950,5120,6390,6700,6620,5250,5210,6390,5120,5200,5260,5330,5270,4860,4900,5020,6200,6420,4040,4040,4040,7410,6740,7370,7490,8039,7920
EVPCurrent,490,610,520,520,480,420,350,410,430,420,330,340,400,310,310,310,300,290,290,290,280,310,320,200,190,200,340,300,310,280,290,270
EVEBITCurrent,13660,16090,11740,12000,11560,10990,8660,11380,14210,22190,25300,25490,22760,11440,10100,10140,10300,8630,7810,8160,8090,7480,8029,5100,5150,5250,9940,8910,9520,9270,10130,9870
EVEBITDACurrent,10250,12490,8940,9260,9030,6550,5780,6860,7270,10880,10170,10280,11220,7050,6600,6590,6520,5710,5380,5630,5780,5790,6220,4000,4000,4090,7670,6850,7290,7030,7530,7270
DTAR,780,780,740,750,770,770,770,770,780,770,750,760,770,770,740,760,770,740,720,690,730,710,690,,,,720,730,750,760,730,750
CG,3620,3590,2910,3070,3430,3260,3270,3390,3450,3390,3070,3220,3280,3290,2890,3100,3300,2870,2590,2190,2710,2500,2190,,,,2560,2710,3040,3160,2750,3000
LDER,660,540,470,640,630,600,2550,620,730,700,630,2460,600,530,540,560,590,440,410,310,380,340,310,,,,450,440,450,470,440,430
