,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
ShareAmountCurrent,855105000,855105000,855105000,855105000,873563000,873563000,873563000,873563000,873563000,873563000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000,9609193000
WKCurrent,45070,47010,47440,45110,0,46970,47380,48180,0,35740,8119,8150,0,7480,7240,6980,0,6480,6200,6270,0,5530,5680,5800,0,6320,6650,6650,6970,7010,7160,6910,7010,7000,7190,7030,7180,7190,7360,7150,7460,7560,7780,7570,7710,7690,7800,7580,7790,7800,8029,7850
CWKCurrent,160,150,150,160,,150,150,150,,200,860,860,,940,970,1000,,1080,1130,1120,,1270,1230,1210,,1110,1050,1050,1000,1000,980,1010,1000,1000,970,1000,970,970,950,980,940,930,900,920,910,910,900,920,900,900,870,890
WKGrahamCurrent,-2140,1610,2150,-1690,0,400,-640,-2740,0,-7380,3580,3520,0,2680,2380,2280,0,2170,2100,2170,0,1960,2090,2250,0,2800,3160,3140,3100,3060,3200,2780,2800,2760,3030,2830,3010,2950,3100,2940,3180,3160,3440,3280,3490,3550,3700,3540,3830,3780,4090,3850
CWKGrahamCurrent,,4350,3250,,,17570,,,,,1950,1990,,2610,2940,3070,,3220,3330,3230,,3570,3350,3120,,2500,2220,2230,2260,2290,2190,2520,2500,2540,2310,2480,2330,2370,2260,2380,2200,2220,2040,2130,2009,1970,1890,1970,1830,1850,1710,1820
PCurrent,119320,107140,110410,112230,110680,108630,108600,105810,106070,102860,9140,8890,8800,8610,8160,7580,6930,6790,7050,7810,8370,9280,10110,10750,11310,11770,11880,12210,12420,12000,11880,11220,10830,10960,10840,11080,11400,11380,11610,11810,11990,11990,12240,12340,12060,11910,11890,12070,12470,12840,13240,13370
CPCurrent,60,70,60,60,60,60,60,70,70,70,770,790,800,810,860,920,1010,1030,990,900,840,750,690,650,620,590,590,570,560,580,590,620,650,640,650,630,610,620,600,590,580,580,570,570,580,590,590,580,560,550,530,520
ZCurrent,7480,4970,3790,600,3860,3870,3980,4430,2850,-9530,-790,-950,-1320,-850,-1150,-1400,-1480,-1160,-1250,-860,-700,-830,-430,-380,110,720,890,1020,1090,960,810,670,450,380,450,420,480,550,510,590,750,800,850,940,760,640,530,480,540,600,720,720
CZCurrent,940,1410,1850,11620,1820,1810,1760,1580,2460,,,,,,,,,,,,,,,,61320,9760,7860,6840,6410,7310,8660,10520,15420,18430,15540,16480,14660,12660,13620,11870,9300,8800,8220,7470,9170,10890,13330,14440,12910,11720,9760,9680
