,2007/Q4,2008/Q4,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
ShareAmountCurrent,254856000,254856000,254856000,254856000,254856000,254856000,254856000,254856000,254856000,254856000,254856000,254856000,254856000,254856000,7679448000,7679448000,7679448000,7679448000,7679448000,7679448000,7679448000,7679448000,7679448000,7679447000,7679447000,8434247000,8434247000,8434247000,9943847000,9943847000,9943847000,9943847000,9943847000,9943847000,9943847000,14878093000,14878093000,14878093000
WKCurrent,13450,17080,16059,16470,14480,14930,14180,8860,6270,5830,9560,10920,8300,0,13010,6270,6050,6210,6340,6910,6830,6710,6630,7360,7250,7140,7570,5520,7470,5190,5570,5580,5640,4290,5900,-6770,-7280,-7460
CWKCurrent,10,0,10,0,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,20,10,,,
WKGrahamCurrent,-2980,9970,-13030,10300,-19080,-23840,-26040,3950,-24430,6730,6110,330,4360,0,1070,-2440,-2070,-2270,-2150,-1600,-1630,-1680,-2130,-1120,-1000,-23040,-25440,-27240,-21530,-23460,-22630,-22000,-22640,-23990,-21860,-19780,-19730,-19780
CWKGrahamCurrent,,10,,10,,,,20,,10,10,240,20,,70,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,56020,69510,58310,53350,52230,59210,66780,64550,64800,55880,61700,82670,80320,236800,10300,19840,25740,23430,24520,18450,16530,16730,15680,18150,17100,14720,18540,17730,15250,14790,11760,11300,11130,10300,8240,2670,1150,790
CPCurrent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,10,0,0,10,10,10,10,10,10,10,30,70,100
ZCurrent,5740,3720,4670,1390,-530,30,-1880,-2080,-2670,-550,210,2070,4650,-12890,-360,150,-70,540,620,630,780,540,310,460,440,440,960,-120,-10,380,420,770,680,-990,-1790,-12280,-12340,-11660
CZCurrent,10,20,20,60,,2910,,,,,380,40,20,,,540,,150,130,130,100,150,260,170,180,180,80,,,210,190,100,120,,,,,
ZOCurrent,7320,4590,4590,1690,1690,1690,1690,-3240,-3240,-3240,-3240,3570,3570,-5720,-10,900,730,1220,1340,1100,1340,990,680,1060,940,960,1500,120,350,1020,1320,1920,1760,-180,-1290,-11730,-11880,-11200
CZOCurrent,10,20,20,50,50,50,50,,,,,20,20,,,90,110,70,60,70,60,80,120,80,90,80,50,650,230,80,60,40,50,,,,,
EVCurrent,-300,-2460,80,-2020,80,80,80,-430,80,80,80,-1450,80,80,80,-2700,2250,2470,3430,3230,3420,3440,4120,2590,4840,10690,11670,7020,11900,12650,11370,11010,11160,11670,11320,8730,8870,8460
EVPCurrent,-10,-40,0,-40,0,0,0,-10,0,0,0,-20,0,0,10,-140,90,110,140,170,210,210,260,140,280,730,630,400,780,860,970,970,1000,1130,1370,3270,7700,10660
EVEBITCurrent,-40,-540,20,-1190,50,50,50,130,-20,-20,-20,-410,20,-10,-12800,-3020,3070,2029,2550,2940,2550,3470,6080,2460,5160,11090,7760,56650,33740,12460,8600,5740,6350,-64519,-8770,-740,-750,-760
EVEBITDACurrent,-30,-330,10,-630,30,30,30,160,-30,-30,-30,-320,20,-20,2980,-2300,2080,1500,1870,2380,2160,2850,4670,2040,4200,8850,6140,6860,8340,5660,4250,3580,3870,11140,96000,-810,-800,-810
DTAR,740,650,450,690,570,610,650,770,800,670,680,820,610,,310,710,640,560,590,580,590,510,530,600,590,820,830,880,770,850,840,840,840,880,840,1460,1480,1500
CG,2860,1840,810,2250,1320,1600,1840,3290,3890,4390,3770,4610,3000,,500,2450,1820,1290,1410,1390,1470,1050,1150,1480,1440,4760,5310,7860,4010,6010,5440,5510,5590,7600,5260,-3290,-3050,-2970
LDER,1160,800,,1040,,,,600,,,,460,,,50,540,260,310,490,270,270,410,530,370,370,2530,3250,3740,2280,3300,2970,3020,2970,2930,2500,-1440,-1330,-1280
PZAT,30,30,,30,,,,100,,,,200,,,,120,230,180,100,180,180,110,80,90,80,1020,760,860,870,940,960,940,930,1180,1040,960,960,960
PELDR,1770,4320,,5440,,,,2880,,,,1810,,,1020,1110,940,960,1120,1040,1050,1140,1170,1200,1220,820,960,820,850,800,800,820,810,640,770,240,190,170
TSF,560,630,,630,,,,370,,,,260,,,650,450,450,570,620,530,510,690,710,550,560,610,670,530,630,610,610,610,600,450,560,200,160,140
ZKO,1080,760,,780,,,,880,,790,860,990,850,,860,1190,1230,1390,1320,1200,1190,1310,1390,1110,1110,3110,2720,2690,3550,4019,3950,3520,3530,3780,3380,8920,9070,9360
OSF,890,1820,,2090,,,,1590,,820,740,1020,620,,840,860,920,1020,980,970,960,1050,1050,970,970,720,610,450,890,720,770,700,700,580,720,-4750,-5250,-5620
NetDebt,9696000000,7346000000,3322000000,8898000000,4862000000,6076000000,6636000000,7295000000,6225000000,6530000000,9178000000,12439000000,5702000000,,50273000000,75386000000,82973000000,61459000000,67918000000,70620000000,75588000000,53339000000,55967000000,71141000000,69757000000,279910000000,335074000000,304145000000,294940000000,309667000000,300356000000,293953000000,313272000000,320731000000,305270000000,330334000000,329551000000,328287000000
