,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
CWKGrahamCurrent_sq,,,,,5.27,12.01,,,-8.43,7.51,,,15.52,-12.63,14.53,39.46,-25.75,56.23,0.21,-12.54,-12.33,-2.08,-30.26,28.62,-10.94,15.79,20.61,10.81,-11.02,14.40,-4.24,-6.48,6.03,-14.54,26.81,-11.51,-16.74,13.59,-14.59
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,,,-30.93,,-49.47,-47.08,-2.84,6.98,7.90,4.09,0.78,1.10,5.93,1.30,0.13,-2.42,-6.25,-2.94,1.72,2.46,5.18,6.13,6.49,6.64,4.94,5.63,-2.74,1.66,5.15,3.50,17.12,14.83,12.64,11.14,0.04,-1.32,-1.35,3.23
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,0.77,-44.17,-8.03,-2.34,5.53,2.51,1.26,-1.50,1.81,-0.76,1.58,3.21,-2.64,-1.91,-1.00,-0.85,0.80,2.80,-0.29,1.79,1.71,3.16,-0.15,0.17,2.38,-5.02,4.38,3.60,0.78,7.48,2.34,1.62,-0.57,-3.25,0.95,1.58,4.05
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,,,44.78,,97.90,88.99,2.93,-6.52,-7.32,-3.93,-0.77,-1.08,-5.60,-1.28,-0.13,2.48,6.67,3.03,-1.69,-2.40,-4.92,-5.77,-6.10,-6.23,-4.71,-5.33,2.82,-1.64,-4.90,-3.39,-14.62,-12.91,-11.22,-10.02,-0.04,1.33,1.37,-3.13
CPCurrent_sy,,,,28.13,,15.12,20.48,-17.76,-23.78,-3.72,-8.79,16.04,37.81,-1.86,30.76,16.59,-9.65,-7.91,-10.62,-19.32,-22.87,-14.56,-30.30,-11.59,-21.15,-7.08,19.20,60.65,44.69,51.90,33.91,-14.62,7.96,-4.48,-18.29,-8.22,-14.70,-7.33,142.46
CPCurrent_qq,,,-0.77,79.12,8.74,2.40,-5.24,-2.45,-1.24,1.52,-1.78,0.76,-1.55,-3.11,2.72,1.94,1.02,0.85,-0.79,-2.73,0.29,-1.76,-1.68,-3.06,0.15,-0.16,-2.32,5.28,-4.20,-3.47,-0.77,-6.96,-2.28,-1.59,0.57,3.36,-0.93,-1.56,-3.89
CPCurrent_sq,,,-7.57,29.48,11.23,-13.53,-3.26,-11.62,3.09,9.23,-8.36,12.44,22.43,-22.21,22.11,0.26,-5.12,-20.72,18.52,-9.50,-9.30,-12.17,-3.32,14.78,-19.11,3.51,24.03,54.69,-27.14,8.67,9.33,-1.37,-7.87,-3.85,-6.48,10.79,-14.37,4.45,144.68
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,,,26.84,,-39.22,-25.05,7.43,21.71,29.28,5.58,23.28,14.29,13.26,8.15,-9.38,-19.20,-25.67,-26.90,-27.56,-21.39,-10.25,-3.17,8.59,14.20,15.71,23.04,11.65,8.60,3.49,-8.19,18.10,22.47,28.18,33.93,6.18,4.37,-1.58,10.73
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-0.32,-33.24,-3.77,-5.09,22.92,-4.31,9.03,0.81,0.38,11.73,1.08,-0.09,-4.15,-6.38,-9.87,-8.10,-5.73,-7.23,-2.19,4.93,1.70,4.04,2.86,6.32,8.14,-5.60,0.05,1.32,-4.06,21.44,3.75,6.04,0.24,-3.72,1.98,,12.77
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,-21.16,,64.51,33.43,-6.91,-17.83,-22.64,-5.29,-18.89,-12.51,-11.72,-7.53,10.35,23.77,34.55,36.79,38.05,27.22,11.42,3.29,-7.91,-12.44,-13.58,-18.73,-10.43,-7.91,-3.37,8.93,-15.33,-18.35,-21.98,-25.34,-5.82,-4.18,1.60,-9.70
CZCurrent_sy,,,,61.65,,1.76,-33.35,-22.78,-24.16,-19.03,27.80,16.81,-2.56,43.90,38.88,-1.33,11.96,-45.67,-46.70,-37.16,-21.07,-1.11,-3.72,34.17,-1.40,-5.57,-9.17,-2.97,5.75,28.04,26.12,-20.42,-20.52,-11.77,23.03,-0.97,4.24,-26.25,-40.33
CZCurrent_qq,,,0.32,49.80,3.91,5.36,-18.64,4.51,-8.28,-0.81,-0.39,-10.50,-1.07,0.09,4.33,6.82,10.96,8.81,6.07,7.80,2.26,-4.71,-1.67,-3.89,-2.77,-5.95,-7.53,5.93,-0.05,-1.31,4.24,-17.66,-3.62,-5.70,-0.24,3.87,-1.94,,-11.33
CZCurrent_sq,,,-0.08,1.76,6.04,-5.62,-34.56,17.91,4.14,0.76,3.29,7.77,-13.12,48.80,-0.31,-23.43,-1.42,-27.80,-2.20,-9.72,23.82,-9.54,-4.79,25.82,-9.01,-13.37,-8.42,34.41,-0.83,4.89,-9.79,-15.19,-0.96,16.44,25.78,-31.74,4.25,,1.77
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,,,-32.97,,-57.17,-48.14,-13.69,4.74,6.15,-2.39,5.64,4.91,14.75,5.08,-4.21,-10.73,-19.23,-18.48,-19.92,-19.65,-11.16,-2.24,9.77,19.46,23.76,23.98,14.85,11.12,2.58,-6.60,6.93,11.16,19.82,26.58,16.00,11.29,3.88,10.99
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,-7.14,-41.89,-15.18,-6.43,12.44,-3.29,2.95,-5.18,3.40,4.67,2.23,3.72,-5.32,-4.58,-4.74,-6.15,-4.45,-6.26,-4.41,3.76,5.14,5.26,4.03,7.50,5.33,-2.50,0.65,-0.77,-4.10,11.63,4.63,6.97,1.31,2.31,0.38,-0.15,8.25
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,49.18,,133.46,92.82,15.87,-4.52,-5.79,2.45,-5.34,-4.68,-12.85,-4.83,4.39,12.03,23.80,22.67,24.88,24.44,12.56,2.30,-8.90,-16.29,-19.20,-19.35,-12.93,-10.01,-2.51,7.07,-6.49,-10.04,-16.55,-21.00,-13.79,-10.14,-3.74,-9.91
CZOCurrent_sy,,,,40.22,,30.11,0.60,-7.85,-32.12,-14.01,30.92,-15.20,-4.68,36.20,5.94,15.02,34.53,-38.14,-24.04,-46.61,-30.76,-8.00,-30.67,59.58,6.11,-13.92,2.83,-9.01,17.69,20.81,40.08,2.45,-22.75,-4.55,-5.26,0.71,13.50,-1.41,-22.29
CZOCurrent_qq,,,7.69,72.07,17.89,6.87,-11.06,3.40,-2.86,5.45,-3.28,-4.46,-2.19,-3.58,5.62,4.79,4.97,6.55,4.66,6.68,4.60,-3.62,-4.89,-5.00,-3.87,-6.98,-5.06,2.56,-0.65,0.78,4.28,-10.43,-4.42,-6.52,-1.29,-2.26,-0.38,0.15,-7.61
CZOCurrent_sq,,,-7.10,29.74,1.89,5.95,-28.17,18.84,-24.95,34.23,9.35,-23.02,-15.64,91.80,-14.94,-16.42,-1.33,-11.81,4.44,-41.25,27.95,17.18,-21.29,35.22,-14.93,-4.94,-5.97,19.66,10.03,-2.41,9.02,-12.49,-17.03,20.58,8.21,-6.97,-6.50,4.74,-14.71
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,,,-51.22,,-16.14,,2.72,1.00,2.25,,-4.68,-5.62,-1.77,-9.99,5.71,9.90,14.79,2.71,5.59,7.88,1.64,6.46,-0.11,1.67,-0.05,-3.31,-1.90,-0.43,-2.09,0.82,-3.38,-3.07,-2.76,-2.21,0.55,-6.26,2.19,-3.92
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-15.08,0.69,-1.93,19.25,-12.76,-1.00,-0.72,16.62,-16.84,-1.98,3.33,6.86,-2.33,1.91,7.92,-4.39,0.41,4.11,1.68,0.15,-5.78,5.97,-0.04,-3.12,-4.40,7.55,-1.71,-0.24,-8.38,7.89,-1.40,0.33,-5.80,0.59,7.49,-5.67
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,,,-29.38,,65.96,88.99,5.73,-5.58,-5.24,-3.93,-5.41,-6.64,-7.26,-11.15,5.58,12.63,22.44,5.82,3.80,5.29,-3.36,0.32,-6.19,-4.66,-4.76,-8.47,0.87,-2.06,-6.89,-2.59,-17.51,-15.59,-13.67,-12.00,0.51,-5.00,3.59,-6.93
EVPCurrent_sy,,,,22.44,,-5.11,20.48,0.76,9.43,-1.26,-8.79,10.03,15.80,-1.14,8.79,35.17,-1.28,14.39,5.48,-19.91,-7.54,-10.88,-21.04,-11.92,-24.48,-0.98,35.21,68.24,62.57,43.16,12.27,-9.64,-8.30,-9.24,-12.81,-14.35,-5.16,-7.04,115.96
EVPCurrent_qq,,,-0.77,52.12,9.48,0.42,13.00,-14.90,-2.23,0.79,14.56,-16.21,-3.50,0.12,9.75,-0.43,2.94,8.84,-5.14,-2.33,4.42,-0.11,-1.52,-8.67,6.12,-0.21,-5.37,0.65,3.04,-5.13,-1.00,-14.76,5.44,-2.97,0.91,-2.64,-0.34,5.80,-9.34
EVPCurrent_sq,,,-12.69,1.36,2.22,4.90,10.85,-15.24,11.01,-5.34,2.40,2.25,16.84,-19.18,12.68,27.04,-14.67,-6.35,3.91,-3.55,-1.49,-9.74,-7.94,7.60,-15.53,18.35,25.72,33.88,-18.38,4.22,-1.42,7.75,-17.17,3.16,-5.30,5.85,-8.28,1.11,120.00
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,,,-27.23,,95.78,92.82,19.03,-3.57,-3.67,2.45,-9.77,-10.04,-14.39,-14.34,10.35,23.12,42.11,25.99,31.87,34.25,14.40,8.91,-9.00,-14.88,-19.24,-22.02,-14.58,-10.40,-4.55,7.95,-9.65,-12.80,-18.85,-22.74,-13.32,-15.77,-1.63,-13.44
EVEBITCurrent_sy,,,,-31.82,,40.20,18.52,52.00,17.35,-1.60,73.05,28.81,0.71,80.03,-16.73,25.55,41.97,-38.13,-20.72,-38.70,-30.01,-11.12,9.80,49.48,8.50,7.22,-9.69,-13.43,21.14,15.54,24.05,-17.38,-21.78,-21.67,11.04,10.63,-0.85,-7.60,-20.14
EVEBITCurrent_qq,,,7.69,46.13,18.70,4.81,6.06,-9.79,-3.83,4.70,12.80,-20.55,-4.12,-0.37,12.87,2.35,6.97,15.00,0.07,7.12,8.90,-2.00,-4.74,-10.49,1.86,-7.02,-8.01,-1.95,6.85,-0.95,4.03,-17.93,3.12,-7.82,-0.96,-7.93,0.21,7.65,-12.85
EVEBITCurrent_sq,,,-11.74,-19.79,42.44,39.04,-25.38,2.86,9.98,16.58,31.22,-23.44,-14.01,108.40,-39.30,15.43,-2.77,-9.18,-22.22,-10.75,11.03,15.32,-3.92,21.49,-19.40,13.96,-19.07,16.46,12.79,8.69,-13.11,-22.43,6.78,8.85,23.17,-22.72,-4.31,1.44,6.46
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,,,-27.90,,88.02,88.69,14.12,-6.34,-6.25,-1.46,-12.26,-12.48,-15.85,-16.53,6.12,16.36,31.09,15.22,19.44,19.87,2.12,-3.33,-19.14,-23.04,-24.67,-25.23,-18.54,-14.55,-11.55,-3.27,-14.31,-14.91,-17.23,-18.69,-11.20,-15.52,-4.74,-14.07
EVEBITDACurrent_sy,,,,-19.51,,78.88,9.94,-23.35,11.06,-21.99,7.21,54.57,24.91,37.22,66.72,14.09,3.32,-47.25,-38.39,-33.04,-17.05,11.28,-14.16,-6.35,-14.88,-5.65,2.33,17.96,6.49,21.69,26.37,-17.91,-13.57,20.04,1.60,-1.70,-1.90,-21.52,-10.27
