,2014/Q4,2015/Q4,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,
ShareAmountCurrent,98040000000,98040000000,98040000000,98040000000,98040000000,98040000000,98040000000,98040000000,98040000000
ShareAmountCurrent_yy,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,
WKCurrent,,,,,,,,,
WKCurrent_yy,,29.79,28.42,,,,32.34,34.52,34.22
WKCurrent_sy,,,,,,,,,
WKCurrent_qq,,,,4.46,7.58,8.27,8.76,6.18,7.34
WKCurrent_sq,,,,,,,,,
CWKCurrent,,,,,,,,,
CWKCurrent_yy,,-22.95,-22.13,,,,-24.43,-25.66,-25.49
CWKCurrent_sy,,-9.67,-4.11,,,,-3.68,-0.84,27.71
CWKCurrent_qq,,,,-4.27,-7.05,-7.64,-8.05,-5.83,-6.84
CWKCurrent_sq,,,,-9.57,11.37,-8.14,4.11,-6.90,43.44
WKGrahamCurrent,,,,,,,,,
WKGrahamCurrent_yy,,-19.29,-25.08,,,,-16.78,-18.78,-19.19
WKGrahamCurrent_sy,,,,,,,,,
WKGrahamCurrent_qq,,,,-1.70,-7.29,-3.72,-3.19,-3.45,-7.66
WKGrahamCurrent_sq,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,
PCurrent,,,,,,,,,
PCurrent_yy,,22.85,30.12,,,,34.02,36.91,35.08
PCurrent_sy,,,,,,,,,
PCurrent_qq,,,,6.02,7.89,7.87,8.61,8.31,6.45
PCurrent_sq,,,,,,,,,
CPCurrent,,,,,,,,,
CPCurrent_yy,,-18.60,-23.15,,,,-25.39,-26.96,-25.97
CPCurrent_sy,,1.16,-14.24,,,,-4.39,7.29,2.87
CPCurrent_qq,,,,-5.68,-7.31,-7.30,-7.93,-7.67,-6.05
CPCurrent_sq,,,,-10.82,2.22,1.39,3.44,0.07,-1.98
ZCurrent,,,,,,,,,
