,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RCLR,730,440,390,620,910,930,,1310,1460,1250,1430,1380,1390,1360,1480,1320,1470,1310,1560,950,1260,1020,1330,1170,1350,1040,1510,1620,1710,1920,1340,1360,1540,1480
KP,190,-80,-140,320,330,240,,310,330,260,300,320,300,260,300,330,360,300,350,220,290,190,250,260,300,210,250,290,320,490,250,240,270,270
PKKO,300,-150,-200,710,750,520,,700,750,620,650,710,650,540,630,850,940,770,830,670,730,450,510,570,660,520,540,690,810,1610,860,730,750,790
RN,2880,5120,5490,4500,3520,2660,2990,2140,1720,1450,1440,1440,1350,1220,1110,1000,950,970,990,1050,1170,1290,1350,1350,1300,1210,1120,1050,1010,920,970,1040,1020,1030
CRN,127000,71000,66000,81000,104000,137000,122000,170000,213000,252000,254000,253000,271000,299000,327000,366000,386000,377000,370000,346000,313000,283000,269000,270000,281000,302000,325000,348000,360000,398000,374000,351000,358000,353000
CPZ,172000,161000,170000,133000,143000,165000,147000,160000,172000,189000,186000,184000,198000,215000,233000,264000,274000,271000,262000,272000,254000,246000,239000,227000,232000,251000,262000,260000,254000,236000,229000,226000,236000,247000
RZ,250400,216520,392600,762500,916530,2072179,2536090,1836620,3366530,2700130,4053670,5961680,12572800,32482000,26144000,24235200,22619250,5971690,5650170,5235140,5693520,10396440,12007060,13983000,28768500,7729330,4371770,4066150,3968770,3833620,3930220,4607700,4950300,5046000
CRZ,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMO,1620,2690,2710,2180,1640,1330,1500,1380,1280,1160,1180,1190,1130,1060,990,880,830,830,840,860,940,1010,1060,1090,1060,980,940,920,930,840,850,870,840,880
RMT,8170,2300,3220,3810,3640,3740,4200,3820,3720,3360,3390,3620,3670,3860,4030,4000,4170,4410,4610,4180,4010,3990,3810,3850,3840,3550,3170,2880,2780,2680,2270,2029,1710,1550
RM,1350,1230,1470,1390,1130,980,1100,1010,950,860,870,890,860,830,790,720,690,700,710,710,760,810,830,850,830,770,720,700,700,640,620,610,560,560
COP,128000,73000,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,-44000,-88000,-103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
