,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_yy,,,,,,,,,,,91.92,,63.43,12.77,-31.37,,-23.22,-21.47,-6.49,,-11.98,-16.08,-24.43,,-13.40,-18.00,9.37,33.16,59.85,74.26,48.21,61.37,35.53,-11.45,-2.80,156.23,315.65,,,,-79.96,,,,-1.02,-18.04,42.62
CWKGrahamCurrent_sy,,,,,,,,,,,-10.03,,-3.99,-13.40,-10.33,,15.36,-3.95,8.99,,30.57,71.38,9.49,,13.17,-17.89,-4.85,18.44,-12.02,-5.78,-9.72,-32.54,-10.57,-3.02,6.59,30.97,7.70,,,,-0.19,,,,19.10,16.89,18.55
CWKGrahamCurrent_qq,,,,,,,,,,53.39,43.58,,,5.84,-12.62,,,8.26,4.05,,,3.21,-6.31,-5.66,-5.08,-2.27,24.97,14.86,13.94,6.54,6.29,25.07,-4.30,-30.40,16.68,229.69,55.24,,,,,27.41,-22.42,-10.29,11.62,5.50,35.00
CWKGrahamCurrent_sq,,,,,,,,,,6.98,6.61,,,-3.51,10.39,,,-19.66,25.25,,,5.45,-19.98,-1.85,36.65,-23.49,-7.27,22.17,1.51,-18.07,-11.15,-8.70,34.55,-11.15,-2.34,12.17,10.65,,,,,-0.96,-2.81,-0.42,24.25,-2.79,-1.44
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,70.49,8.38,,98.63,,,24.84,-0.63,-21.60,-30.71,-37.42,-22.17,-3.75,34.91,87.89,67.52,51.74,43.67,30.60,42.40,39.61,26.47,11.16,-10.81,-5.26,-3.40,-1.09,8.60,2.70,1.32,4.49,15.11,19.40,25.97,24.22,15.11,7.86,-1.93,-3.02,0.51,6.35,21.48,27.54,30.42,34.26,24.60
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,18.26,15.62,-6.17,-2.70,-5.87,-8.78,-17.07,-12.12,17.07,12.81,16.24,22.39,4.38,2.19,10.06,11.26,13.80,0.18,-0.30,-2.22,-8.69,6.43,1.66,0.12,0.26,0.64,0.30,3.26,10.44,4.38,5.82,1.83,2.35,-2.19,-3.78,0.69,6.08,3.49,9.90,5.71,8.48,6.54,1.99
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-41.35,-7.74,,-49.66,,,-19.89,0.64,27.59,44.36,59.78,28.49,3.89,-25.89,-46.76,-40.29,-34.11,-30.39,-23.45,-29.77,-28.38,-20.93,-10.05,12.10,5.59,3.51,1.14,-7.91,-2.65,-1.29,-4.31,-13.13,-16.26,-20.61,-19.48,-13.12,-7.27,1.92,3.08,-0.50,-5.95,-17.65,-21.57,-23.38,-25.54,-19.72
CPCurrent_sy,,-19.21,-21.10,,-17.05,,,6.82,-19.38,-10.93,-11.84,-7.60,21.43,12.66,8.84,-1.77,-5.62,-10.99,-24.33,-26.59,-24.86,-24.96,-10.96,1.87,32.02,50.99,61.96,54.27,4.13,-22.94,-37.93,-39.84,-36.24,-23.27,-18.07,-14.81,-5.87,-9.11,-4.50,-3.97,51.22,79.88,83.42,98.79,-2.79,15.55,-24.27
