,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,10463566000,13115457000,13115457000,13115457000,13115457000,13115457000,13115457000,13115457000,13115457000,13115457000,13115457000,13771229000,13771229000,15971229000,15971229000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,-100.00,,,,,696.03,1633.96,-43.75,-47.54,-53.74,-46.63,-58.06,-63.18,-38.48,-21.27,44.86,163.26,171.87,617.13,486.62,341.73,300.44,28.61,21.36,22.71,19.22,30.26,36.10,24.34,7.15,182.93,165.41
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,-62.67,2662.50,-6.27,-17.63,-18.69,-10.38,-12.58,-27.37,-6.20,-29.58,-23.25,21.34,20.04,29.58,39.49,25.30,216.64,6.00,5.03,13.59,1.69,0.02,6.20,10.36,11.11,4.51,-2.98,-4.90,193.40,-1.96
