,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_sq,,,,,3.94,-6.48,1.39,-17.75,12.06,,,,,,,,,-29.56,,,39.51,14.28,-16.73,1.16,-7.60,-18.71,16.82,14.95,-2.23,40.57,18.29,22.56,-18.02,6.83,-14.43,-9.41,14.49,44.71,-14.99,-4.90,-7.64,8.50
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,12.58,82.06,59.89,,,,-11.08,-9.90,-16.57,-15.95,-6.36,-12.74,15.70,41.93,29.09,48.89,18.93,18.69,44.78,41.06,54.64,44.80,28.49,34.20,22.32,20.89,16.14,0.60,6.45,8.39,10.33,18.67,11.03,3.69,11.09,-6.95,16.42,23.90,12.11,39.03,-9.76
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,0.62,1.85,-9.79,-3.83,1.96,-5.68,-9.12,7.15,-5.00,25.07,11.48,-2.54,9.57,-0.10,11.26,18.88,6.75,9.52,4.18,5.49,11.49,-0.17,2.96,1.34,-3.42,5.63,4.84,3.16,3.88,-1.16,-2.09,10.52,-12.99,23.66,4.19,,7.91,-19.74
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-11.17,-45.07,-37.46,,,,12.46,10.99,19.85,18.97,6.79,14.60,-13.56,-29.54,-22.53,-32.83,-15.91,-15.75,-30.93,-29.11,-35.34,-30.94,-22.17,-25.48,-18.24,-17.28,-13.90,-0.60,-6.06,-7.74,-9.37,-15.74,-9.94,-3.56,-9.98,7.47,-14.10,-19.29,-10.80,-28.07,10.82
CPCurrent_sy,,-33.21,91.74,-63.05,,,,-12.98,-19.04,39.59,75.20,-24.21,-3.42,-41.29,-53.78,28.49,-48.33,-26.26,-25.16,-5.92,-9.75,75.47,81.79,56.37,51.14,-23.81,-28.18,-34.01,-16.64,8.78,27.19,27.81,14.56,-16.94,-21.22,-14.02,9.67,61.03,26.60,14.95,-11.02,31.06
CPCurrent_qq,,,,,-0.62,-1.82,10.85,3.97,-1.92,6.02,10.04,-6.67,5.26,-20.04,-10.30,2.61,-8.73,0.10,-10.13,-15.88,-6.32,-8.70,-4.01,-5.20,-10.31,0.17,-2.88,-1.33,3.54,-5.33,-4.62,-3.06,-3.73,1.18,2.14,-9.52,14.93,-19.13,-4.03,-0.01,-7.32,24.60
CPCurrent_sq,,,,,92.30,-33.88,-3.77,-28.88,78.92,13.99,20.78,-69.23,127.99,-30.71,-4.92,-14.46,-8.32,-1.11,-3.50,7.53,-12.04,92.25,-0.02,-7.51,-14.99,-3.08,-5.76,-15.02,7.40,26.47,10.19,-14.61,-3.73,-8.30,4.50,-6.79,22.79,34.64,-17.84,-15.37,-4.95,98.30
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,29.98,79.96,89.04,,,,-41.92,-46.62,-52.92,-56.67,20.47,6.62,582.70,671.79,-100.00,-87.76,-176.39,-169.73,,1622.59,151.14,157.46,25.07,35.17,33.25,30.49,1.54,-11.57,5.27,23.70,67.99,76.95,49.21,23.71,6.12,-16.63,9.87,12.15,13.51,58.06,-7.52
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,2.82,-2.78,-4.64,-39.07,-5.51,-14.24,-12.24,69.41,-16.37,449.08,-0.79,-100.00,,-3526.90,9.44,151.86,7.03,1.74,1.75,12.88,15.67,0.29,-0.36,-12.16,0.75,19.39,17.09,19.28,6.12,0.67,-2.92,2.32,-16.63,32.67,-0.91,3.57,16.10,-22.38
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-23.11,-44.41,-47.11,,,,72.18,87.34,112.44,130.74,-17.00,-6.19,-85.35,-87.04,,716.41,,,,-94.19,,,-20.05,-26.02,-24.96,-23.36,-1.52,13.07,-5.01,-19.16,-40.47,-43.48,-32.98,-19.17,-5.77,19.94,-8.99,-10.83,-11.90,-36.74,8.13
CZCurrent_sy,,-77.03,-59.99,138.99,,,,-31.17,-37.67,-38.37,-74.27,-3.09,14.96,-37.78,106.86,,-33.12,,,,33.63,,,11.30,-38.43,-5.75,124.19,31.87,-24.40,-4.05,-32.08,-9.53,52.56,31.82,39.71,104.80,101.73,29.86,42.16,-8.22,-17.93,-15.46
CZCurrent_qq,,,,,-2.75,2.85,4.88,64.12,5.82,16.63,13.92,-40.96,19.59,-81.79,0.80,,,,,,-6.57,-1.71,-1.73,-11.40,-13.55,-0.30,0.37,13.84,-0.74,-16.24,-14.59,-16.17,-5.77,-0.67,3.01,-2.27,19.94,-24.63,0.92,-3.44,-13.87,28.83
