,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,4000000000,4000000000,4000000000,4000000000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000,4058307000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,388.17,,,-4.20,,100295.83,-5.52,0.42,-7.03,-5.57,5.15,5.27,6.00,9.86,16.68,11.61,13.33,4.87,-2.46,0.44,-0.20,0.23,0.30,0.72,2.44,5.41,4.58,-0.45,0.85,0.45
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,98612.50,-4.35,4.29,1.96,-7.10,1.66,-3.44,3.56,3.44,1.78,-2.78,7.33,9.87,-2.65,-1.28,-0.69,2.20,0.24,-1.91,-0.25,2.26,0.66,-0.23,2.63,1.46,-4.18,1.08,2.23
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
