,2012/Q4,2013/Q4,2014/Q4,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,
ShareAmountCurrent,15000000000,15000000000,15000000000,15000000000,15000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,
WKCurrent_yy,,19.88,19.60,,,20.36,,16.90,17.28,15.09,10.34,3.71,6.76,23.76,23.60,25.36
WKCurrent_sy,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,2.69,12.32,3.38,-1.96,3.02,10.22,-0.88,-7.86,6.05,27.78,-1.01,-6.55
WKCurrent_sq,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-16.58,-16.39,,,-16.91,,-14.46,-14.73,-13.11,-9.37,-3.58,-6.33,-19.20,-19.09,-20.22
CWKCurrent_sy,,2.17,21.16,,,-11.83,,-4.85,0.32,-3.26,14.67,7.77,0.89,-1.82,-5.09,-6.12
CWKCurrent_qq,,,,,-2.62,-10.96,-3.28,2.01,-2.93,-9.27,0.88,8.53,-5.70,-21.74,1.02,7.01
CWKCurrent_sq,,,,,-0.61,4.70,-13.52,5.73,4.79,0.97,2.51,-0.63,-1.91,-1.74,-0.91,-1.71
WKGrahamCurrent,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,20.53,17.38,,,24.01,,22.23,22.48,8.49,3.02,-8.52,-4.42,18.71,23.32,27.23
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,3.30,16.32,3.42,-1.64,3.51,3.03,-1.79,-12.66,8.15,27.97,2.02,-9.89
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,
