,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
WKGrahamCurrent_yy,66.81,-18.42,,,,-176.64,-368.75,-153.81,-376.68,-141.45,-122.66,-12.64,7.91,-4.14,-18.24,34.58,58.02,84.89,101.38,67.56,95.73,103.29,375.86,48.16,552.77,2286.26,443.16,272.65,708.82,429.32,104.89,121.85,19.48,30.59,63.71,114.10,99.42,54.89,27.63,-28.34,-33.63,-26.63,-8.79,-140.55,-99.36,-92.91,-54.50,-265.42,-7330.48,-865.29,-139.86,-40.05,-153.48
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,-74.96,-360.18,44.24,-111.00,12.20,-145.72,-4.71,-6.88,19.03,-24.30,14.38,-20.85,8.06,31.23,45.05,56.49,108.38,-1719.46,92.76,133.51,1111.94,-276.43,163.20,76.58,175.86,-43.92,196.06,15.56,6.78,-39.27,59.44,26.32,33.86,-20.58,48.51,-1.89,10.30,-55.41,37.54,8.47,37.12,-119.82,102.18,1095.84,779.65,-259.21,56.83,-26.57,54.19,-459.44,21.86
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,-40.05,22.58,,,,,,,,,,,,,,,,,,,,,-78.99,,,-95.81,-81.59,,-87.64,-81.11,-51.19,-54.93,-16.30,-23.43,-38.92,-53.29,-49.85,-35.44,-21.65,39.55,50.68,36.30,9.64,,15440.59,1310.14,119.80,,,,,,
CWKGrahamCurrent_sy,-72.66,161.19,,,,,,,,,,,,,,,,,,,,,61.07,,,-23.17,-18.90,,-23.20,20.45,-29.41,3.89,-11.66,-2.34,-1.79,8.40,32.79,-14.43,68.21,103.21,167.50,28.64,109.53,,-43.66,-2.91,-44.11,,,,,,
CWKGrahamCurrent_qq,,,299.41,,,,,,,,,,,,,,,,,,,,-91.75,,,-43.37,-63.75,78.31,-66.22,-13.47,-6.35,64.67,-37.28,-20.83,-25.29,25.92,-32.66,1.92,-9.34,124.28,-27.30,-7.81,-27.07,,,-91.63,-88.63,,,,,,
CWKGrahamCurrent_sq,,,14.42,,,,,,,,,,,,,,,,,,,,-14.02,,,6.62,-9.24,-19.28,-1.67,67.21,-46.81,18.80,-16.39,84.86,-46.51,31.11,2.43,19.13,5.14,58.39,34.83,-42.71,71.24,,,-1.27,-1.42,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,15.39,12.72,,,,41.91,35.19,30.17,22.39,18.04,8.90,0.58,-5.78,-9.16,-11.68,-11.70,-7.96,-5.25,1.20,4.51,7.53,12.53,19.95,25.77,26.38,23.59,15.44,9.41,6.93,3.41,2.41,1.27,-1.01,2.60,6.11,10.69,14.57,13.59,12.85,11.34,9.98,8.07,8.25,9.12,11.95,14.05,14.80,15.88,14.72,15.47,14.29,12.78,12.45
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,11.12,10.27,10.01,5.27,5.86,6.18,3.44,1.53,-2.33,-1.94,-3.10,-2.12,-5.04,-1.95,1.00,0.76,1.42,1.25,3.91,5.46,8.10,6.17,4.42,3.12,0.98,0.62,2.06,-0.28,,-0.50,-0.24,3.36,3.42,3.80,3.25,2.49,2.74,2.42,1.98,0.71,2.91,3.24,4.62,2.61,3.58,4.21,3.58,3.28,2.52,2.84,3.27
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,-13.33,-11.29,,,,-29.53,-26.03,-23.18,-18.30,-15.29,-8.18,-0.58,6.14,10.09,13.23,13.25,8.65,5.54,-1.19,-4.32,-7.00,-11.14,-16.63,-20.49,-20.87,-19.08,-13.38,-8.60,-6.49,-3.30,-2.36,-1.25,1.03,-2.53,-5.76,-9.66,-12.72,-11.97,-11.38,-10.19,-9.08,-7.47,-7.62,-8.36,-10.67,-12.32,-12.89,-13.70,-12.83,-13.40,-12.49,-11.33,-11.08
CPCurrent_sy,20.24,-17.93,,,,-18.79,-18.51,-19.83,-15.33,-7.29,-4.76,-4.46,-2.90,6.28,-5.16,28.57,43.11,45.41,37.71,-4.84,-26.31,-2.81,-31.60,-28.48,0.39,-7.08,8.85,-3.76,-26.46,-4.85,-18.19,6.91,53.69,-7.09,63.76,47.50,20.80,16.76,10.56,3.44,-20.25,-24.01,-23.40,-28.24,-7.91,-8.14,-14.36,-7.33,-18.17,-18.54,-7.77,-8.59,55.28
CPCurrent_qq,,,-10.01,-9.31,-9.10,-5.00,-5.54,-5.82,-3.33,-1.50,2.39,1.98,3.20,2.17,5.31,1.99,-0.99,-0.76,-1.40,-1.24,-3.76,-5.17,-7.49,-5.81,-4.23,-3.03,-0.97,-0.62,-2.02,0.28,-0.01,0.50,0.25,-3.25,-3.31,-3.66,-3.14,-2.43,-2.67,-2.36,-1.95,-0.70,-2.83,-3.14,-4.41,-2.54,-3.46,-4.04,-3.45,-3.17,-2.45,-2.77,-3.17
CPCurrent_sq,,,-4.66,-0.95,-6.82,-7.71,-4.34,-2.55,-1.59,1.05,-1.73,-2.24,0.02,10.61,-12.31,32.52,11.33,12.38,-16.95,-8.43,-13.78,48.22,-41.55,-4.26,21.03,37.19,-31.53,-15.34,-7.52,77.51,-41.13,10.63,32.94,7.31,3.76,-0.35,8.88,3.72,-1.75,-6.76,-16.06,-1.17,-0.96,-12.66,7.71,-1.42,-7.67,-5.48,-4.89,-1.86,4.53,-6.32,61.57
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,37.57,5.37,,,,-0.24,25.52,0.22,6.96,11.59,-6.62,8.61,-1.46,-37.54,-50.04,-50.59,-36.28,15.36,77.15,75.56,53.43,27.07,12.93,28.97,18.14,27.36,27.57,14.45,27.78,2.45,-7.72,0.72,-7.62,30.14,50.23,44.34,60.28,9.13,2.93,-0.38,-8.04,23.32,31.28,45.94,54.97,32.28,21.12,-2.91,-13.46,-15.37,-15.72,-4.89,1.12
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-9.29,8.10,-2.98,4.85,14.14,-13.69,3.55,9.39,-4.49,0.39,-6.05,-30.67,-23.59,-0.71,21.16,25.52,17.33,-1.61,5.88,3.95,4.27,12.37,-3.01,12.07,4.45,0.81,8.29,-10.15,-5.92,10.03,-0.68,26.58,8.60,5.71,10.29,-13.81,2.43,2.32,1.80,15.58,9.04,13.75,8.10,-1.34,-0.17,-8.81,-3.65,-3.52,-0.58,2.91,2.44
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,-27.31,-5.10,,,,0.24,-20.33,-0.22,-6.51,-10.39,7.09,-7.93,1.48,60.11,100.14,102.38,56.94,-13.32,-43.55,-43.04,-34.82,-21.30,-11.45,-22.46,-15.36,-21.49,-21.61,-12.63,-21.74,-2.39,8.36,-0.71,8.25,-23.16,-33.44,-30.72,-37.61,-8.36,-2.85,0.38,8.75,-18.91,-23.82,-31.48,-35.47,-24.40,-17.43,3.00,15.55,18.16,18.66,5.14,-1.11
CZCurrent_sy,-68.89,-23.24,,,,-47.84,-48.65,-47.49,-33.27,0.75,-8.59,8.48,58.60,71.34,76.81,65.29,17.70,7.35,-21.72,-25.95,-25.45,108.18,72.74,110.56,71.48,-59.58,-55.17,-62.15,-41.01,89.57,162.79,51.30,25.70,-32.20,-38.81,15.64,13.74,31.42,33.81,-9.71,-17.81,-23.77,-39.88,-22.72,-19.62,-26.47,-11.60,1.00,22.12,12.90,12.43,-12.03,13.50
CZCurrent_qq,,,10.24,-7.50,3.07,-4.63,-12.39,15.86,-3.43,-8.58,4.70,-0.39,6.44,44.24,30.88,0.72,-17.46,-20.33,-14.77,1.63,-5.55,-3.80,-4.10,-11.01,3.10,-10.77,-4.26,-0.81,-7.65,11.30,6.29,-9.11,0.68,-21.00,-7.92,-5.40,-9.33,16.03,-2.38,-2.27,-1.77,-13.48,-8.29,-12.09,-7.49,1.36,0.17,9.66,3.78,3.65,0.59,-2.83,-2.38
