,2011/Q4,2012/Q4,2013/Q4,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,4770,4770,4770,4770,4770,4770,4770,4770,4770,4770,4770,4770,4770,4770,4770,4770,4770,4770,4770,4770
ShareAmountCurrent,15570000000,15570000000,15570000000,15570000000,22970000000,22970000000,22970000000,22970000000,22970000000,22970000000,22970000000,22970000000,22970000000,22970000000,22970000000,22970000000,22970000000,22970000000,22970000000,22970000000
WKCurrent,7280,7610,7900,8210,8300,8850,9040,8670,9500,9730,9870,9160,9230,9530,9380,8580,8500,7940,7760,7610
CWKCurrent,660,630,600,580,570,540,530,550,500,490,480,520,520,500,510,560,560,600,610,630
WKGrahamCurrent,910,1040,1110,1330,2960,3800,3860,2660,2960,2930,2580,1870,1980,2190,2620,1720,1220,1160,800,720
CWKGrahamCurrent,5270,4570,4300,3590,1610,1250,1240,1790,1610,1630,1850,2550,2410,2180,1820,2780,3900,4110,5990,6660
PCurrent,26900,24430,26700,30320,23380,33760,36990,43390,52760,53680,53280,49000,38630,33530,29940,28160,28500,32750,39180,47230
CPCurrent,180,200,180,160,200,140,130,110,90,90,90,100,120,140,160,170,170,150,120,100
ZCurrent,1990,360,310,910,800,1090,1250,1190,1740,1390,1340,1190,410,450,170,-150,-300,-1160,-1200,-930
CZCurrent,2390,13280,15510,5230,5960,4380,3830,4000,2730,3430,3570,4010,11700,10610,28200,,,,,
ZOCurrent,1670,610,690,1390,1130,1420,1540,1440,2150,1880,1830,1680,700,780,470,160,-30,-580,-590,-360
CZOCurrent,2860,7870,6920,3420,4200,3360,3090,3300,2220,2530,2610,2840,6800,6140,10260,30230,,,,
EVCurrent,5780,6960,3200,2430,590,-460,-1860,5410,4760,-4500,1450,4550,6650,2430,4230,4670,1310,1310,5620,5960
EVPCurrent,210,280,120,80,30,-10,-50,120,90,-80,30,90,170,70,140,170,50,40,140,130
EVEBITCurrent,3470,11480,4640,1740,520,-320,-1210,3750,2220,-2390,790,2710,9480,3130,9100,29580,-43710,-2260,-9550,-16410
EVEBITDACurrent,2700,5370,2330,1180,370,-240,-920,2800,1790,-1850,610,2000,5040,1720,3780,5760,2110,18670,70160,18800
DTAR,680,660,750,740,710,730,710,690,720,670,610,650,630,680,590,650,700,770,730,760
CG,2120,1950,3030,2830,2450,2760,2410,2210,2540,2029,1560,1830,1680,2110,1460,1850,2360,3340,2680,3060
LDER,350,310,260,240,160,170,160,260,420,410,380,420,420,430,440,290,280,340,340,390
PZAT,1760,2040,2130,2230,2230,2140,2300,1830,1050,1040,1230,1150,1150,1140,1160,1950,2130,1880,2029,1810
PELDR,1620,1540,1550,1620,2009,2280,2310,1920,2150,2720,1970,1830,1870,2090,2200,1710,1610,1830,1710,1760
TSF,430,440,310,320,340,310,340,390,400,470,540,500,530,460,590,450,380,310,370,340
ZKO,940,930,960,950,870,870,850,880,890,870,860,900,890,900,840,900,940,960,960,970
OSF,1080,1080,1110,1130,1360,1520,1480,1270,1290,1250,1160,1140,1130,1180,1170,1130,1110,1130,1080,1080
NetDebt,215130000000,179868000000,252305000000,228285000000,293224000000,367503000000,289662000000,372652000000,454261000000,110169000000,173242000000,258502000000,264059000000,255740000000,135697000000,238994000000,270521000000,422526000000,398322000000,461459000000
NetDebtEBITDA,6450,8920,11810,7110,8039,8510,6260,8400,7420,1970,3150,4940,8720,7900,5270,12840,18980,261950,216480,63330
DebtFin,15698000000,34085000000,-24481000000,-36472000000,-95976000000,-120124000000,-152332000000,14742000000,-206000000,-212972000000,-76292000000,-5008000000,43121000000,-53744000000,-12380000000,-2341000000,-79492000000,-79447000000,19535000000,27428000000
DebtFinEBITDA,470,1690,-1150,-1140,-2630,-2780,-3290,330,0,-3820,-1390,-100,1420,-1660,-480,-130,-5580,-49250,10620,3760
SP1,1140,1160,1160,1190,1550,1750,1740,1440,1450,1440,1360,1260,1280,1310,1400,1260,1180,1180,1120,1110
SP2,1540,1520,1470,1480,1800,2050,2020,1810,2070,2020,1870,1800,1810,1860,2009,1620,1500,1580,1500,1550
CAR,120,260,350,400,400,370,450,170,220,950,670,430,350,560,670,410,470,340,190,160
