,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400
ShareAmountCurrent,10221280000,10221280000,10221280000,10221280000,11421280000,11421280000,11421280000,11421280000,11421280000,11421280000,11421280000,11421280000,11421280000,11421280000,11421280000,11421280000,11421280000,11421280000,11998780000,11998780000,11998780000,11998780000,11998780000,11998780000
WKCurrent,12580,14630,16940,17490,18210,19750,19630,19130,19790,21430,21800,21030,21610,22210,22380,22140,22190,24530,22990,22350,13580,10890,10980,10380
CWKCurrent,590,510,440,420,410,370,380,390,370,350,340,350,340,330,330,330,330,300,320,330,550,680,670,710
WKGrahamCurrent,-11940,-12640,-12330,-11940,-7930,-8510,-12550,-12610,-18120,-18600,-17590,-18230,-17950,-18300,-18950,-19200,-21460,-30200,-23900,-29700,-46090,-51000,-50700,-53210
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,39960,43260,45070,43990,41050,42940,49840,57450,64250,72830,73040,70780,67850,65870,65019,63910,63150,62350,62950,66440,69060,72260,72850,75980
CPCurrent,190,170,160,170,180,170,150,130,120,100,100,100,110,110,110,120,120,120,120,110,110,100,100,100
ZCurrent,790,2600,2220,2380,1950,2380,2500,2190,2680,2600,3040,2650,2070,1330,1020,1100,940,690,740,60,1560,3840,3180,1920
CZCurrent,9420,2840,3340,3110,3800,3110,2960,3390,2760,2850,2440,2790,3580,5590,7230,6730,7910,10780,9950,124140,4750,1930,2330,3860
ZOCurrent,2190,4640,4160,4010,3210,3810,4010,3890,4610,4630,5030,4610,3850,3030,2920,2950,2780,3020,2940,2400,3390,2410,1900,1560
CZOCurrent,3370,1600,1780,1850,2300,1940,1850,1900,1610,1600,1470,1610,1920,2440,2530,2510,2660,2450,2510,3080,2190,3070,3900,4750
EVCurrent,16960,17660,18870,18820,15480,15250,19090,19020,24140,22230,22030,22360,28260,26690,26370,27510,30210,34470,30110,35000,42790,40950,41010,41160
EVPCurrent,420,410,420,430,380,360,380,330,380,310,300,320,420,410,410,430,480,550,480,530,620,570,560,540
EVEBITCurrent,7730,3810,4530,4700,4810,4010,4760,4890,5240,4810,4380,4850,7350,8810,9030,9320,10870,11410,10230,14570,12640,17010,21630,26440
EVEBITDACurrent,3420,2480,2810,2810,2730,2430,2980,3050,3450,3100,2820,2980,4170,4490,4460,4570,5050,5450,4890,5540,5590,5250,5300,5650
DTAR,590,600,550,550,520,500,590,600,610,620,610,610,620,610,630,620,640,670,670,690,650,660,650,640
CG,1650,1720,1450,1370,1210,1120,1600,1680,1760,1800,1760,1750,1820,1720,1880,1810,1950,2240,2180,2380,5190,6910,6600,7180
LDER,700,960,840,840,700,350,520,610,670,1060,1020,1050,1050,1010,810,810,880,970,1030,1040,2780,2810,2500,2740
PZAT,2730,1870,2090,1980,1990,4050,3090,2660,2500,1550,1560,1570,1520,1590,2009,2029,1820,1810,1590,1800,1780,2220,2500,2450
PELDR,810,980,990,1010,1100,880,870,910,820,1050,1060,1040,1060,1040,930,920,910,860,950,850,610,470,430,420
TSF,610,690,700,730,730,610,560,580,580,710,700,720,700,710,610,620,620,590,620,590,470,360,350,340
ZKO,2360,2009,2009,2000,1560,1630,1660,1650,2080,1930,1850,1980,1840,1920,1820,1920,1980,2220,1910,2270,2890,3100,3330,3500
OSF,1120,1010,1070,1100,1010,1060,950,930,1030,990,970,1000,950,1000,930,970,960,960,900,940,460,380,410,390
NetDebt,197659846000,222335680000,215682000000,218456267000,200956000000,203285275000,291968000000,290955975000,360290646000,365825274000,359371303000,352063512000,356200357000,334877487000,360852695000,341275027000,364215395000,492310317000,474877101000,520967198000,739049132000,792107380000,805636072000,840880979000
NetDebtEBITDA,3900,3050,3140,3190,3100,2830,3990,4090,4500,4460,4030,4100,4600,4930,5340,4970,5330,6810,6430,6880,8050,8470,8680,9620
DebtFin,97664039000,104882556000,117276000000,116693743000,92267000000,89601259000,133498000000,132735322000,191235730000,169382402000,167068256000,170838009000,238227819000,220369713000,216671501000,229720208000,260479049000,309152980000,272546456000,331193676000,424588078000,402538652000,403284491000,405134175000
DebtFinEBITDA,1930,1440,1710,1700,1420,1250,1820,1870,2390,2070,1870,1990,3080,3250,3210,3340,3820,4280,3690,4370,4620,4300,4350,4630
SP1,470,500,540,550,650,650,570,560,490,510,530,510,520,520,510,510,480,440,470,410,160,120,120,110
SP2,810,980,990,1010,1100,880,870,910,820,1050,1060,1040,1060,1040,930,920,910,860,950,850,610,470,430,420
CAR,120,300,320,250,470,280,270,320,150,410,420,410,110,170,160,140,170,140,150,100,80,120,40,40
QR,720,1090,1160,1260,1490,870,870,940,760,1230,1260,1240,1270,1240,950,930,910,790,960,770,740,530,470,450
CR,740,1130,1190,1290,1530,900,890,950,770,1250,1280,1260,1290,1260,970,950,920,800,990,780,750,540,480,460
PP,120,310,340,270,490,280,280,320,150,410,430,410,490,560,440,460,480,380,400,330,270,210,120,100
RCLR,560,750,820,990,1010,590,600,610,600,820,830,830,780,680,510,470,430,400,560,450,470,330,360,350
KP,-90,30,40,60,120,-40,-40,-20,-90,70,70,60,80,70,-10,-20,-30,-80,0,-80,-80,-180,-210,-210
PKKO,-100,40,50,80,150,-50,-60,-20,-90,70,80,70,90,70,-10,-20,-40,-120,0,-120,-140,-340,-380,-390
RN,5990,5210,5330,5000,4910,4870,5090,5280,5440,5670,5590,5450,5240,5330,5400,5530,5810,5500,5440,5330,4990,4980,4920,4890
CRN,61000,70000,68000,73000,74000,75000,72000,69000,67000,64000,65000,67000,70000,68000,68000,66000,63000,66000,67000,68000,73000,73000,74000,75000
CPZ,109000,93000,83000,81000,79000,93000,99000,105000,111000,99000,93000,88000,85000,88000,100000,112000,124000,148000,145000,149000,157000,169000,191000,202000
RZ,149860,75440,122170,119100,118520,116900,137200,158080,171370,192090,184940,175900,178210,182470,170210,172600,173090,165980,126520,133280,136060,140440,189390,166330
CRZ,2000,5000,3000,3000,3000,3000,3000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3000,3000,3000,3000,2000,2000
RMO,4550,3460,3680,3640,3440,3350,3480,3480,3740,3880,3800,3720,3360,3260,3140,3000,2950,2750,2780,2830,2830,2940,3100,3310
RMT,1510,1480,1420,1390,1450,1480,1640,1810,1850,1940,1860,1720,1630,1570,1530,1490,1430,1310,1340,1330,1150,1050,920,860
RM,1130,1040,1010,1000,1010,1030,1120,1190,1240,1290,1240,1170,1090,1060,1030,990,960,890,900,900,810,770,710,680
COP,63000,75000,71000,76000,77000,78000,75000,71000,69000,66000,67000,69000,72000,70000,70000,68000,65000,68000,70000,71000,76000,76000,76000,77000
CSP,-46000,-18000,-12000,-5000,-2000,-15000,-24000,-34000,-42000,-33000,-26000,-19000,-13000,-18000,-30000,-44000,-59000,-80000,-75000,-78000,-81000,-93000,-115000,-125000
