,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-73.74,-13.48,13.78,,,,2034.36,,,-33.34,-93.87,,,-92.58,-80.98,-82.70,-18.07,41.46,95.84,111.09,94.94,42.72,9.40,-7.24,28.24
CZCurrent_sy,,-7.20,-10.96,8.66,,,,24.04,,,50.11,-27.32,,,-58.92,12.68,28.64,65.22,88.61,11.18,-17.01,-47.87,-42.36,-40.41,-20.41,62.99
CZCurrent_qq,,,,,18.93,16.41,292.74,292.55,,,,-63.91,19.23,-77.27,-24.16,-7.45,8.42,7.67,30.94,28.13,16.87,-0.57,-4.14,-1.78,-0.91,37.46
CZCurrent_sq,,,,,13.35,-6.59,4.52,12.09,,,,-45.73,-7.74,-7.10,-11.69,48.87,5.33,19.31,0.81,-12.24,-21.38,-25.06,11.46,-9.27,5.01,53.47
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,303.86,19.23,-7.61,,,,-96.54,-107.99,-117.02,-14.43,2065.06,1003.90,2222.26,1578.70,415.79,488.23,24.55,-26.67,-50.19,-54.34,-50.98,-34.14,-5.96,15.18,-10.69
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-15.68,-11.96,-66.92,-85.89,-294.48,-87.47,266.33,257.01,-18.80,340.16,31.57,9.69,-7.40,-6.80,-22.54,-25.49,-15.13,0.07,4.07,6.39,3.96,-22.40
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-75.24,-16.13,8.24,,,,2787.01,,,16.90,-95.38,,,-94.04,-80.61,-83.00,-19.71,36.37,100.75,119.02,103.98,51.84,6.34,-13.18,11.96
CZOCurrent_sy,,5.01,-0.06,3.45,,,,-15.94,,,57.35,-8.70,,,-42.84,3.42,13.00,37.68,46.43,11.79,-2.09,-42.77,-45.27,-33.90,-30.08,6.02
CZOCurrent_qq,,,,,18.60,13.58,202.29,608.98,,,,-72.00,23.16,-77.28,-23.99,-8.84,7.99,7.30,29.10,34.21,17.82,-0.07,-3.91,-6.01,-3.80,28.86
CZOCurrent_sq,,,,,8.52,-11.98,-9.36,-2.91,,,,-43.66,-4.98,13.01,-5.51,1.93,3.82,37.69,0.49,-22.18,-9.06,-19.52,-3.91,-6.01,-3.80,22.02
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-17.86,56.81,1.66,,,,1.12,-3.65,-3.58,-6.58,-9.40,-6.04,44.16,17.55,1.85,-13.98,-9.71,6.84,13.69,30.66,-4.79,-3.94,1.87,-15.55,-5.27
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-0.76,1.63,1.77,-1.48,-5.43,1.69,-1.40,-4.45,-1.93,56.03,-19.60,-17.21,-17.18,63.77,-4.86,-11.91,-4.81,19.34,-4.01,-6.58,-21.09,33.87
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-88.13,14.80,12.47,,,,18.05,28.56,65.63,109.96,-8.02,24.70,-63.54,-81.79,-66.72,-82.08,-24.17,13.83,14.35,29.47,-5.19,-10.94,7.72,-17.34,-11.77
EVPCurrent_sy,,-32.40,-3.88,11.12,,,,13.15,14.41,28.14,16.74,3.70,4.23,1.29,-6.12,29.42,27.03,19.48,21.47,-6.33,2.88,1.23,4.00,2.85,-7.28,-5.57
EVPCurrent_qq,,,,,6.19,1.98,4.94,3.87,15.65,31.38,33.03,-54.49,56.79,-61.59,-33.54,-16.86,-15.55,62.51,-0.25,-16.47,-4.38,19.01,-6.30,1.03,-26.63,27.03
EVPCurrent_sq,,,,,2.74,-2.06,9.38,2.81,3.88,9.70,-0.35,-8.68,4.41,6.60,-7.63,25.89,2.48,0.27,-6.10,-2.92,12.55,-1.34,-3.53,-3.99,1.47,0.48
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-79.66,31.51,10.04,,,,2819.18,-1304.98,-666.73,9.20,-95.82,110.40,106.79,-93.00,-80.25,-85.38,-27.51,45.70,128.23,186.17,94.22,45.85,8.33,-26.68,6.06
EVEBITCurrent_sy,,-14.45,7.43,-3.16,,,,8.85,-8.75,-4.58,66.57,14.94,14.86,58.30,-2.92,-93.58,-95.12,-52.08,-37.13,2020.79,3238.32,76.36,5.62,-33.02,-25.99,24.80
EVEBITCurrent_qq,,,,,17.70,15.43,207.63,598.48,-148.58,45.71,159.28,-73.24,20.78,-64.55,-38.89,-24.53,-10.55,75.72,22.82,18.23,12.15,19.26,-7.76,-12.19,-24.09,72.50
EVEBITCurrent_sq,,,,,12.81,-15.07,-4.44,18.89,-5.43,-11.18,66.81,-17.96,-5.50,22.41,2.29,-94.58,-28.09,1100.86,34.21,83.00,13.19,-36.56,-19.62,16.05,25.07,6.97
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-79.30,23.94,4.80,,,,639.69,2917.81,-1755.80,60.86,-84.09,-95.65,102.36,-92.09,-79.31,-85.26,-27.61,39.81,106.37,153.46,74.16,36.24,8.45,-24.11,3.97
EVEBITDACurrent_sy,,12.90,-6.54,-9.79,,,,43.63,19.14,4.53,29.15,-7.74,-2.14,18.27,4.15,-12.76,-21.56,-17.43,-4.05,100.69,90.56,31.87,6.29,-34.35,-25.49,3.97
EVEBITDACurrent_qq,,,,,11.63,18.99,89.46,193.93,355.41,-165.29,118.41,-70.93,24.61,-64.54,-38.43,-23.94,-11.21,74.08,18.92,12.28,9.05,19.62,-6.98,-10.62,-23.69,63.88
EVEBITDACurrent_sq,,,,,15.68,-0.68,-1.92,27.46,-4.05,-12.86,21.18,-8.94,1.78,5.31,6.71,-23.73,-8.49,10.86,24.00,59.53,-13.11,-23.28,-0.05,-1.46,-1.39,7.05
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,108.58,2.97,7.64,,,,-92.15,-108.20,-115.90,-22.23,754.96,888.94,717.14,170.96,9.24,29.75,18.03,-17.42,-35.36,-36.28,-41.23,-24.14,2.61,13.48,7.63
ROE_sy,,-29.07,-15.34,9.25,,,,-32.25,-29.77,-9.07,-44.04,6.98,27.68,-15.39,68.38,-24.79,-32.89,-33.57,-25.45,-7.80,10.71,87.54,34.33,35.92,7.05,-48.12
ROE_qq,,,,,-29.09,23.91,-52.59,-81.16,-174.07,-140.37,331.85,107.12,-31.65,88.03,1.80,-16.49,-18.82,71.05,-28.78,-34.64,-19.98,57.76,-8.06,-11.60,-11.50,49.63
ROE_sq,,,,,-20.53,-9.07,-8.35,2.29,-17.62,17.73,-43.59,95.55,-1.68,-21.99,12.26,-12.66,-12.26,-22.78,25.97,8.02,5.35,30.82,-9.77,9.31,-17.03,-36.60
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,15.70,-27.64,2.47,,,,-95.26,-107.86,-114.82,45.54,1337.88,1357.82,913.45,249.93,46.47,52.24,13.69,-13.74,-35.61,-39.68,-35.20,-26.29,3.52,5.36,-14.10
ROA_sy,,-1.42,-14.17,-4.61,,,,-28.73,-29.23,-19.53,-47.14,-1.73,25.83,-7.29,55.30,-97.99,-94.73,-82.40,-68.67,3575.00,1245.83,569.92,208.55,27.04,12.07,-34.71
ROA_qq,,,,,-32.78,4.65,-73.63,-74.42,-211.36,-97.28,358.97,152.73,-2.58,27.58,11.40,5.78,1.26,-4.72,-15.47,-21.04,-5.14,2.36,-3.86,10.89,-3.45,-16.55
ROA_sq,,,,,-10.11,-8.41,-2.88,-10.88,-10.73,4.14,-36.21,65.70,14.30,-23.27,6.87,-97.86,200.00,156.25,90.24,151.28,9.86,27.55,-12.38,3.46,-3.08,-25.69
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-41.62,-12.71,2.26,,,,-95.95,-110.61,-129.23,91.89,2093.94,1305.13,636.32,160.09,68.65,22.66,4.61,-21.84,-49.88,-54.81,-51.22,-38.91,-0.65,12.86,-16.73
OPM_sy,,-36.44,-39.14,-3.86,,,,28.72,26.73,30.84,-22.32,-21.53,4.96,-11.96,50.42,-81.69,-81.52,-58.04,-46.82,535.14,458.53,173.81,78.01,17.51,-1.98,-6.26
OPM_qq,,,,,-9.82,-11.56,-65.85,-85.14,-336.36,-143.59,324.21,69.95,29.83,8.40,8.73,10.20,-5.57,-7.55,-18.76,-29.33,-14.87,-0.19,1.73,14.93,-3.29,-26.36
OPM_sq,,,,,4.37,-1.59,13.69,10.22,2.75,1.61,-32.50,11.34,37.45,-14.77,15.33,-86.44,38.66,93.55,46.19,61.89,21.93,-5.12,-4.96,6.86,1.71,-9.26
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-44.97,-15.37,-2.70,,,,-94.60,-107.72,-123.90,237.12,1577.14,1848.89,810.00,108.76,71.72,20.46,2.46,-24.76,-48.71,-53.06,-48.91,-35.05,-3.29,5.39,-27.35
ROS_sy,,-29.70,-28.92,-13.09,,,,8.49,-2.50,9.43,-35.63,6.06,27.75,-2.17,81.09,-112.77,-108.09,-85.20,-76.45,800.50,1167.15,728.00,280.30,10.69,6.70,-35.14
ROS_qq,,,,,-10.03,-13.89,-73.71,-73.48,-228.57,-166.67,470.83,31.91,34.07,8.26,9.04,8.50,-5.95,-7.91,-19.93,-26.04,-13.93,0.22,1.79,10.13,-6.20,-30.92
ROS_sq,,,,,0.44,-7.21,17.19,-0.68,-9.73,4.15,-31.06,63.66,8.73,-20.25,27.61,-111.54,31.16,245.99,103.00,243.35,4.88,13.27,-6.76,-0.06,1.10,-31.15
RS,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-41.62,-12.71,2.26,,,,-96.07,-110.75,-129.38,89.69,2134.38,1272.15,627.23,159.81,70.77,24.51,5.86,-21.20,-49.88,-54.81,-51.22,-38.91,-0.65,12.86,-16.73
