,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PCurrent_qq,,,,,,,5.98,-25.65,6.90,12.26,8.05,9.68,-2.21,7.16,11.88,9.37,8.55,-2.03,11.19,6.32,9.98,2.27,-0.72,2.34,5.42,6.87,5.51,8.39,-1.09,-0.09,2.09,-5.04,3.24,-0.48,-1.47,5.05,5.42,0.75
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-13.42,-1.88,8.96,10.24,,,9.10,,5.75,3.73,-29.69,-23.13,-19.47,-22.23,-22.01,-29.74,-23.15,-22.68,-20.45,-21.49,-24.79,-15.77,-12.50,-8.72,-12.64,-17.80,-22.39,-17.29,-11.52,-8.55,4.38,0.01,0.39,4.02,-5.97,-7.92,-9.03
CPCurrent_sy,,-13.42,-1.88,-43.63,12.69,,,20.63,,41.96,-21.30,-27.68,-37.74,-32.55,-4.62,32.78,38.01,14.93,-21.96,-39.63,-40.54,-29.21,-6.92,13.09,18.46,11.65,5.02,-1.14,-0.86,6.78,5.90,3.89,3.13,3.31,0.34,-11.04,-14.93,-15.16
CPCurrent_qq,,,,,,,-5.65,34.50,-6.46,-10.92,-7.45,-8.82,2.26,-6.68,-10.61,-8.57,-7.88,2.07,-10.07,-5.94,-9.07,-2.22,0.72,-2.29,-5.14,-6.42,-5.22,-7.74,1.09,0.10,-2.04,5.31,-3.14,0.48,1.49,-4.81,-5.14,-0.74
CPCurrent_sq,,,,,,,51.99,-8.18,6.71,-4.66,-15.75,-15.62,-8.14,3.28,19.15,17.46,-4.52,-14.00,-19.10,-9.13,-5.97,2.39,6.38,10.40,-1.50,-3.49,0.06,3.93,-1.22,3.95,-0.76,1.96,-1.95,4.13,-3.61,-9.60,-6.24,3.86
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-24.35,533.33,149.18,-42.17,,,13.60,,-46.84,-11.56,-5.88,217.83,75.58,162.31,117.90,186.46,156.39,-27.91,40.65,37.34,24.30,122.73,36.40,,-11.74,-18.18,30.74,27.09,20.72,17.58,-29.55,-0.63,35.46,26.68,26.09,18.78,-12.26
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,,,-8.16,-13.85,-71.40,134.88,52.81,-8.32,-3.42,29.76,128.29,-23.84,26.97,16.13,-35.81,48.60,23.98,5.11,15.01,-9.00,-9.10,-7.22,6.62,45.41,-11.64,-11.88,3.85,-12.87,24.63,20.13,-2.88,-13.28,17.39,-11.26
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,32.73,-84.29,-59.90,72.86,,,-11.89,,88.07,13.09,6.25,-68.52,-43.02,-61.88,-54.14,-65.10,-61.00,38.70,-28.88,-27.19,-19.57,-55.10,-26.69,,13.32,22.22,-23.51,-21.31,-17.17,-14.94,41.96,0.63,-26.18,-21.06,-20.69,-15.79,13.97
CZCurrent_sy,,32.73,-84.29,-79.29,-94.77,,,2348.36,,6433.23,69.75,112.62,-43.19,-67.46,-76.26,-55.97,-23.54,-43.43,29.34,-51.97,-47.01,-27.43,-83.79,-63.95,,-50.65,109.18,184.19,144.90,636.16,935.38,311.30,287.33,-16.89,-68.18,-60.64,-62.77,-44.68
CZCurrent_qq,,,,,,,8.86,16.13,249.46,-57.43,-34.54,9.11,3.52,-22.93,-56.21,31.26,-21.22,-13.88,55.76,-32.70,-19.35,-4.87,-13.05,9.90,10.00,7.81,-6.22,-31.22,13.17,13.48,-3.70,14.79,-19.77,-16.75,2.97,15.33,-14.82,12.67
CZCurrent_sq,,,,,,,3112.36,-24.31,60.24,67.70,-16.53,-5.20,-57.18,-3.94,-39.12,75.85,-25.64,-28.93,39.18,-34.70,-17.96,-2.67,-68.91,45.21,14.85,-4.82,31.78,97.28,-1.03,186.11,85.34,-21.63,-6.79,-38.61,-29.05,-3.04,-11.86,-8.77
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-17.50,280.09,105.92,-43.42,,,-25.42,,-10.24,55.52,113.11,56.31,73.31,177.48,99.82,186.61,132.88,-8.19,36.35,30.70,21.34,78.65,30.50,-1.18,-6.58,-14.48,24.36,20.71,10.21,7.22,-31.01,-10.22,18.00,14.92,23.08,19.71,-7.35
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,,,-30.02,-14.08,21.49,22.87,21.25,17.74,-10.89,36.23,94.12,-15.21,27.82,10.69,-23.47,25.92,22.53,2.76,12.67,-8.02,-7.21,-2.85,3.15,33.75,-9.93,-11.31,0.35,-13.93,17.20,16.58,-2.27,-7.82,13.99,-9.77
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,21.09,-73.66,-51.45,76.70,,,34.05,,11.44,-35.71,-53.05,-36.02,-42.31,-63.95,-49.95,-65.10,-57.05,8.93,-26.66,-23.48,-17.60,-44.03,-23.38,1.18,7.05,16.92,-19.58,-17.16,-9.27,-6.72,44.95,11.40,-15.25,-13.00,-18.77,-16.47,7.93
CZOCurrent_sy,,21.09,-86.73,-49.95,-93.82,,,1976.37,,1790.73,-42.90,-4.89,-46.33,-12.92,-27.99,-11.62,-19.23,-45.98,6.84,-57.10,-56.70,-29.46,-41.67,-38.13,-12.52,-7.15,16.60,132.23,110.03,196.34,149.82,190.61,89.05,-1.07,-19.98,-56.88,-43.43,-32.92
CZOCurrent_qq,,,,,,,42.89,16.34,-17.67,-18.58,-17.56,-15.04,12.19,-26.58,-48.48,17.95,-21.78,-9.65,30.68,-20.59,-18.38,-2.70,-11.25,8.72,7.77,2.94,-3.06,-25.23,11.03,12.74,-0.33,16.19,-14.67,-14.23,2.32,8.48,-12.26,10.82
