,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060
ShareAmountCurrent,9877161000,9877161000,9877161000,9877161000,9877161000,11861977000,11861977000,11861977000,11861977000,11861977000,21861977000,21861977000,21861977000,24861977000,24861977000,28861977000,28861977000,28861977000,30561977000,30561977000,30561977000,30561977000,30561977000,31861977000,31861977000,31861977000,31861977000,31861977000,31861977000,31861977000,31861977000,31861977000,31861977000,63723954000,63723954000,63723954000,63723954000,63723954000,63723954000,63723954000,63723954000,63723954000,77205008000,77205008000,77205008000
WKCurrent,660,660,720,1310,1370,0,1600,1660,1730,0,1960,2230,2160,0,2670,2430,2660,0,3540,3720,3780,3920,5650,5410,6370,7470,4900,4910,4610,4370,3010,2090,1960,1650,1740,1710,1780,1750,1660,1590,1560,1540,1670,1650,1680
CWKCurrent,1610,1610,1470,810,780,,660,640,610,,540,470,490,,400,440,400,,300,280,280,270,190,200,170,140,220,220,230,240,350,510,540,640,610,620,600,610,640,670,680,690,630,640,630
WKGrahamCurrent,110,190,350,640,650,0,920,990,1060,0,1520,1530,1360,0,1730,1570,1460,0,1080,1170,1090,1060,3390,1110,-3210,-2180,1880,1880,1420,1890,750,-440,-630,290,510,460,200,150,70,40,-30,-60,-50,-80,-120
CWKGrahamCurrent,10040,5690,3010,1650,1620,,1160,1070,1000,,700,690,780,,610,680,730,,980,910,970,1000,310,960,,,560,570,740,560,1420,,,3620,2080,2330,5280,7280,14840,24700,,,,,
PCurrent,1970,1900,2029,3030,3070,2530,2620,2850,2980,3100,1760,2070,2370,2370,2490,2280,2430,2770,2950,3160,3360,3410,3450,3310,3260,3090,3160,3200,3260,3280,3110,2630,2110,890,710,860,1060,1170,1290,1270,1250,1190,1000,960,930
CPCurrent,540,560,520,350,350,420,400,370,360,340,600,510,450,450,430,460,440,380,360,340,320,310,310,320,320,340,340,330,320,320,340,400,500,1190,1500,1230,1000,910,820,830,850,890,1050,1100,1150
ZCurrent,10,0,60,170,160,150,120,180,200,210,140,160,210,240,250,270,100,400,450,520,680,520,500,390,350,160,60,30,-270,-320,-1330,-1880,-1730,-880,-390,-120,-50,-40,-170,-210,-210,-210,-30,-20,-10
CZCurrent,85120,,16379,6060,6700,7020,8850,6000,5320,5010,7840,6510,5080,4350,4300,3860,10250,2680,2360,2040,1560,2029,2110,2700,3050,6460,18710,34570,,,,,,,,,,,,,,,,,
ZOCurrent,90,60,140,250,230,190,150,210,220,230,150,160,200,230,210,270,300,380,420,420,450,450,450,360,370,260,110,120,-270,-360,-960,-1060,-890,-450,-150,-160,-110,-100,-120,-120,-130,-120,-110,-100,-110
CZOCurrent,12150,16590,7630,4260,4650,5590,6870,4950,4810,4560,7220,6500,5260,4680,5170,3890,3490,2760,2540,2500,2380,2360,2360,2940,2830,4070,9440,8920,,,,,,,,,,,,,,,,,
EVCurrent,1020,1040,1030,1160,1190,1060,740,910,1050,1060,150,460,640,1060,290,440,540,1060,590,600,680,810,-1430,640,4310,2470,240,100,330,-190,160,880,1020,320,810,890,1030,1090,1010,1050,1070,1070,1050,1060,1080
EVPCurrent,520,550,510,380,390,420,280,320,350,340,80,220,270,450,120,190,220,380,200,190,200,240,-420,190,1320,800,80,30,100,-60,50,340,480,360,1140,1040,970,930,780,830,860,910,1040,1100,1160
EVEBITCurrent,11660,16250,7430,4650,5230,5590,4810,4250,4750,4560,1000,2800,3200,4680,1430,1620,1760,2760,1410,1420,1530,1810,-3190,1770,11500,9490,2160,860,-1200,530,-170,-830,-1140,-720,-5360,-5710,-9630,-11040,-8240,-8650,-8039,-9270,-9300,-10180,-9870
EVEBITDACurrent,4130,4770,3590,3640,3840,3910,3070,2850,3330,3270,730,2150,2410,3650,1130,1360,1500,2370,1160,1140,1200,1430,-2510,1320,8880,6280,960,390,-2940,960,-200,-970,-1350,-840,-9280,-9560,-23860,-33540,-18560,-19900,-17060,-23380,-19910,-24260,-21850
DTAR,580,540,450,350,350,,320,290,300,,160,190,280,,220,180,200,,330,310,300,300,220,240,560,500,220,220,250,220,320,490,510,370,180,170,200,200,230,230,240,240,220,240,240
CG,1400,1190,820,530,550,,470,400,430,,190,230,390,,280,220,250,,480,450,430,440,320,350,1290,1060,390,390,450,450,810,970,1020,590,370,350,370,370,400,440,450,440,300,320,340
LDER,170,110,40,70,40,,40,40,40,,20,30,120,,80,80,60,,250,280,270,250,160,190,750,640,180,180,230,230,270,160,170,100,170,180,180,180,110,120,120,140,120,120,120
PZAT,4470,5960,11260,6970,10390,,9080,9110,8220,,11020,6610,1590,,1920,2029,3930,,780,650,720,830,790,730,550,560,1100,1070,940,1130,1420,2140,2000,1920,1460,1260,1490,1460,2550,2330,2260,1960,1770,1700,1750
PELDR,1400,1550,2029,2800,2000,,2440,2570,2700,,4550,3260,3030,,3070,3050,2340,,1820,1880,1790,1720,2260,1290,1160,1210,1200,1180,1140,1030,850,970,900,1360,900,840,860,840,830,810,790,790,1040,1020,990
TSF,490,510,570,700,680,,710,740,730,,860,840,800,,850,880,840,,850,890,890,870,810,800,760,770,670,670,670,590,500,590,580,690,580,580,630,630,620,600,600,620,830,810,800
ZKO,900,810,630,520,530,,450,400,410,,190,250,380,,300,260,320,,610,590,600,620,350,630,1650,1380,500,510,590,510,770,1280,1460,770,560,570,760,820,900,940,1040,1100,1100,1170,1250
OSF,1070,1130,1220,1020,1020,,1050,990,1060,,860,800,1040,,850,730,700,,890,860,840,850,680,680,1090,1020,510,510,550,430,520,1070,1120,950,420,410,550,580,680,680,730,760,1020,1060,1120
NetDebt,8659000000,7505000000,5568000000,5815000000,6864000000,,3358000000,4114000000,6271000000,,-12944000000,-4396000000,5889000000,,-6664000000,-5790000000,-2603000000,,21038000000,20734000000,19994000000,28027000000,-40079000000,27469000000,231053000000,188566000000,6428000000,6532000000,15605000000,864000000,24751000000,46749000000,51957000000,15384000000,16491000000,20018000000,31606000000,35493000000,39143000000,40923000000,43489000000,41188000000,36711000000,39278000000,43135000000
NetDebtEBITDA,3560,3490,1960,1850,2240,,1170,1090,1680,,-2970,-950,1010,,-1030,-620,-250,,1360,1290,1150,1600,-2290,1800,14940,15040,800,780,-4410,-130,-960,-1610,-2170,-620,-2980,-3350,-11460,-17150,-11310,-12170,-10920,-14060,-9020,-11630,-11330
DebtFin,-421000000,-217000000,-274000000,956000000,1301000000,,-3778000000,-1789000000,-140000000,,-19970000000,-13211000000,-9097000000,,-19039000000,-17836000000,-15143000000,,-14385000000,-14088000000,-11544000000,-7492000000,-76219000000,-13520000000,103529000000,44922000000,-26061000000,-30529000000,-23370000000,-39975000000,-28532000000,-5607000000,-1323000000,-46882000000,-16126000000,-10527000000,-1775000000,1847000000,-3327000000,-629000000,380000000,928000000,-767000000,50000000,1379000000
DebtFinEBITDA,-170,-100,-100,300,420,,-1320,-470,-40,,-4580,-2850,-1560,,-2940,-1900,-1470,,-930,-880,-670,-430,-4360,-880,6690,3580,-3250,-3660,6610,6170,1110,190,60,1900,2910,1760,640,-890,960,190,-100,-320,190,-10,-360
SP1,1190,1390,1950,1970,1910,,2350,2470,2590,,4470,3170,2710,,2830,2820,2210,,1460,1470,1410,1370,1940,1080,660,740,1020,1000,930,840,670,840,770,1230,760,710,720,710,750,720,700,690,930,910,890
SP2,1400,1550,2029,2100,2000,,2440,2570,2700,,4550,3260,3030,,3070,3050,2340,,1820,1880,1790,1720,2260,1280,1160,1210,1200,1180,1140,1030,850,970,900,1360,900,840,850,840,830,800,780,790,1030,1020,990
