,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
DebtFinEBITDA,-30,-330,-20,-1420,,-940,-1280,-890,,-3630,-5160,-7920,,-9610,-8039,-8210,,-39970,6700,2560,,330,6550,-3170,-4050,29730,-1450,-6850,2330,-780,-1490,-770,-640,330,740,-810,-1550,830,1180,1050,520,-7250,-5740,-1280,-1960,60,-360,850
SP1,1660,2500,1550,1560,,10680,11650,11920,,6720,6820,6060,,5410,4820,5040,,4160,3760,2480,,2170,2210,2230,2370,2350,2400,2230,2250,2290,2150,1760,1540,1210,1250,1200,1230,1350,1300,1270,1240,1040,1040,1030,1010,1220,1180,1130
SP2,1670,2520,1860,1870,,10790,12110,12030,,6830,6920,6150,,5620,5010,5280,,4470,4059,2900,,2490,2520,2510,2640,2600,2610,2430,2430,2460,2360,1900,1670,1600,1680,1600,1450,1570,1520,1520,1470,1240,1220,1200,1170,1830,1790,1740
CAR,30,180,10,10,,230,570,390,,730,1550,1840,,580,1520,1340,,790,1020,920,,170,310,500,650,470,120,250,270,190,440,290,290,320,310,60,30,90,10,10,10,20,40,10,20,40,80,30
QR,990,850,570,850,,2550,3600,3350,,2100,2440,2440,,2100,2860,2290,,1500,1750,1810,,1070,1190,1540,1550,1690,1070,1230,1020,1440,1240,1040,1020,1240,1180,1170,970,1170,1020,1130,1020,1090,920,890,790,1520,1230,1180
CR,1550,1380,1420,1430,,2760,4440,4310,,2620,3680,3760,,2670,4000,3330,,2050,2960,3200,,1600,2270,2380,2190,2190,1990,1550,1400,1730,2050,1770,1560,1660,1700,1580,1360,1430,1640,1560,1500,1310,1350,1270,1200,1730,1860,1820
PP,30,180,10,10,,1190,2460,2260,,730,1550,1840,,580,1520,1340,,790,1020,920,,170,310,500,650,470,120,250,270,190,440,290,290,320,310,60,30,90,10,10,10,20,40,10,20,40,80,30
RCLR,1010,660,550,800,,1360,1140,1090,,1370,890,590,,1510,1340,950,,700,730,890,,900,870,1030,900,1210,950,980,750,1240,800,750,730,910,870,1110,940,1070,1010,1120,1000,1070,880,880,770,1480,1160,1150
KP,230,230,220,220,,600,720,720,,560,650,640,,550,630,600,,450,540,500,,300,410,420,400,400,370,280,240,320,370,290,230,240,250,230,170,200,220,210,190,140,140,120,100,290,300,290
PKKO,120,120,110,120,,660,670,590,,530,530,510,,590,460,430,,330,330,300,,310,300,270,270,250,240,190,140,140,140,120,130,170,180,160,120,150,150,170,210,170,150,130,100,330,290,280
RN,7240,6870,9430,6240,6110,4680,4460,4440,4760,4630,4520,4850,4570,4420,5180,4740,5350,6980,6670,6940,6500,4900,4780,4560,5060,5740,5300,5140,5610,5280,5570,6120,5940,5900,5670,5060,4840,4370,4050,3670,3150,3220,3200,3270,3270,3230,3180,3140
CRN,50000,53000,39000,58000,60000,78000,82000,82000,77000,79000,81000,75000,80000,83000,70000,77000,68000,52000,55000,53000,56000,75000,76000,80000,72000,64000,69000,71000,65000,69000,66000,60000,61000,62000,64000,72000,75000,83000,90000,99000,116000,113000,114000,112000,112000,113000,115000,116000
CPZ,50000,81000,66000,90000,91000,77000,70000,67000,62000,63000,69000,72000,77000,75000,58000,59000,53000,59000,71000,70000,75000,86000,85000,87000,78000,63000,67000,71000,71000,73000,71000,68000,67000,78000,79000,80000,79000,84000,87000,96000,110000,107000,112000,116000,124000,112000,107000,102000
RZ,9640,6340,5570,4840,4580,8480,8870,7910,8350,6790,5260,4550,4310,4180,5710,5870,6730,6780,5410,5090,4750,4200,4240,4690,5270,6330,6380,8119,9770,10210,10900,9300,7930,6110,6820,7790,8560,8790,7900,6990,5450,6120,6400,6370,6360,6830,6490,5880
CRZ,38000,58000,66000,75000,80000,43000,41000,46000,44000,54000,69000,80000,85000,87000,64000,62000,54000,54000,67000,72000,77000,87000,86000,78000,69000,58000,57000,45000,37000,36000,33000,39000,46000,60000,54000,47000,43000,42000,46000,52000,67000,60000,57000,57000,57000,53000,56000,62000
RMO,4690,3260,3730,2840,2880,2340,1810,1520,1630,1660,1600,1580,1490,1510,1920,1920,2170,2260,1990,2060,1930,1920,2080,2170,2330,2550,2490,2710,3110,3130,3220,3260,3080,2680,2750,2800,2970,2910,2820,2570,2190,2300,2300,2330,2310,2350,2280,2200
RMT,8880,17860,10210,8460,9030,15080,17830,22330,23970,20000,16120,13110,12360,11470,12650,12130,13690,13900,11580,9140,8560,7050,6500,6590,7020,6900,6910,8460,11180,11730,11580,9870,7150,5020,4630,4520,4710,4950,4630,4110,3290,3240,3190,3200,3220,3640,3880,4000
RM,3070,2760,2730,2130,2180,2029,1640,1420,1530,1530,1450,1410,1330,1330,1660,1660,1870,1940,1700,1680,1570,1510,1580,1630,1750,1860,1830,2050,2430,2470,2520,2450,2150,1750,1730,1730,1820,1830,1750,1580,1310,1340,1340,1350,1340,1430,1440,1420
COP,88000,111000,105000,133000,140000,121000,123000,128000,121000,133000,150000,155000,165000,170000,134000,139000,122000,106000,122000,125000,133000,162000,162000,158000,141000,122000,126000,116000,102000,105000,99000,99000,107000,122000,118000,119000,118000,125000,136000,151000,183000,173000,171000,169000,169000,166000,171000,178000
CSP,38000,30000,39000,43000,49000,44000,53000,61000,59000,70000,81000,83000,88000,95000,76000,80000,69000,47000,51000,55000,58000,76000,77000,71000,63000,59000,59000,45000,31000,32000,28000,31000,40000,44000,39000,39000,39000,41000,49000,55000,73000,66000,59000,53000,45000,54000,64000,76000
