,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent_yy,,,93.34,,,57.93,-109.41,-7316.67,-5.33,129.73,80.31,84.15,54.62,-159.96,40.74,35.10,-102.64,-92.21,-198.19,-173.06,61.72
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,77.61,103.25,-2262.12,-167.27,-11.46,-12.04,68.44,175.45,-173.81,9.80,9.67,0.29,27.06,1.21,-182.04,5.43,-13.16,9.53,60.46
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_qq,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,,-71.60,,,-56.73,-36.17,-35.27,-42.48,18.48,24.33,7.38,-51.00,-48.12,-39.19,-45.71,-110.84,-91.22,-5.59,6.10,1030.58
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,-37.75,21.88,22.82,-53.56,-8.18,23.60,9.14,-4.35,-3.65,6.75,-50.20,1.29,12.94,-4.70,-109.94,182.01,1114.69,7.10,-12.78
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,,-82.67,,,21.47,83.66,77.79,28.42,36.81,40.48,40.07,-34.30,-33.01,-15.20,-38.54,-113.19,-88.66,15.12,47.78,1298.93
EVPCurrent_sy,,,11.35,,,-41.10,-41.86,-36.71,-10.25,51.60,28.32,120.77,-12.13,-6.95,25.95,-7.31,62.35,6.90,18.93,-1.69,6.31
EVPCurrent_qq,,,-35.16,29.26,52.50,-4.97,-1.96,25.13,10.16,1.24,0.66,24.77,-48.33,3.22,27.43,-9.58,-111.09,188.78,1193.56,16.08,-10.06
EVPCurrent_sq,,,-8.15,-12.27,-13.87,-15.14,-9.32,-4.50,22.14,43.33,-23.25,64.30,-51.39,51.78,3.89,20.92,-14.85,-0.06,15.58,-0.05,-7.92
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,,-326.37,,,-2.87,69.53,-100.90,45.41,498.45,-531.32,-577.09,-8.00,-186.55,-2.70,16.38,105.35,95.43,68.35,61.12,-2530.87
EVEBITCurrent_sy,,,-24.86,,,88.69,285.86,86.53,27.46,8.98,-27.68,-22.69,28.80,-65.83,-11.98,-28.14,-92.93,36.41,-39.46,40.98,-225.98
EVEBITCurrent_qq,,,-178.06,3850.59,-105.68,82.63,17.63,-10.33,-245.81,226.79,-230.51,-18.33,44.84,-1.60,-54.87,3.66,103.53,-186.71,-973.04,-18.32,-120.80
EVEBITCurrent_sq,,,-31.15,12.16,36.05,79.60,40.80,-45.78,-7.03,53.55,-6.56,-42.04,54.88,-59.26,140.69,-52.68,-84.75,685.52,6.82,10.19,-113.63
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,,-1656.31,,,-66.83,92.78,-119.38,-104.37,334.99,-540.21,-589.75,-9.35,-190.19,-4.19,15.90,105.28,95.49,69.17,61.83,-2553.98
EVEBITDACurrent_sy,,,-9.78,,,80.60,77.45,53.94,49.25,12.04,-8.78,3.90,11.38,-65.76,-5.33,-37.29,-93.30,121.66,-41.71,37.71,-235.09
EVEBITDACurrent_qq,,,-1048.16,140.99,1446.80,-102.29,50.32,-10.07,-248.78,223.21,-235.35,-18.59,44.70,-1.61,-56.36,4.27,103.47,-186.76,-970.15,-18.52,-123.00
EVEBITDACurrent_sq,,,8.73,-29.29,44.19,62.91,6.83,-38.66,39.80,22.29,-13.02,-30.13,49.86,-62.41,140.53,-53.71,-83.99,1143.51,-36.74,9.34,-115.71
ROE,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,,68.21,,,85.56,-237.56,-328.47,32.58,72.25,104.28,81.58,101.77,-73.38,743.07,209.97,836.54,192.90,-299.65,-412.15,-1659.14
ROE_sy,,,9.02,,,205.11,-23.71,-33.21,-37.33,-85.21,-51.03,-85.08,-85.61,58.62,7.63,127.38,259.49,116.15,63.00,249.21,-53.87
ROE_qq,,,78.95,47.49,-252.96,62.98,-391.99,33.35,44.46,84.76,175.84,-387.02,105.34,-1590.38,468.77,-62.56,-54.49,47.84,-892.50,41.47,-127.34
ROE_sq,,,297.33,-5.70,3.91,-21.63,-0.66,-17.45,-2.49,-81.51,229.06,-74.85,-5.95,103.80,123.29,-46.87,48.69,22.54,68.39,13.82,-80.36
ROA,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,,56.17,,,79.87,-262.47,-359.64,18.05,75.17,103.95,82.32,101.83,-84.40,739.14,213.08,828.57,193.20,-305.25,-413.72,-1568.35
ROA_sy,,,22.11,,,202.54,-11.62,16.58,,-48.83,-48.93,-85.63,-78.61,-12.13,-51.80,55.32,206.67,20.15,49.07,101.37,-140.76
ROA_qq,,,72.90,49.88,-206.96,51.73,-388.13,36.45,45.27,85.38,177.75,-384.21,105.67,-1571.43,453.81,-61.70,-53.43,47.69,-879.17,41.46,-117.98
ROA_sq,,,275.63,-24.19,,6.24,9.73,,-14.22,-45.63,9.51,-71.86,27.66,123.33,-39.93,-9.32,152.05,-12.50,-25.47,22.50,-151.02
OPM,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,,95.94,,,-18.08,-502.68,-19922.99,-135.24,134.34,77.75,79.31,39.17,-177.40,17.42,26.50,-146.32,-148.26,-263.67,-280.11,50.67
OPM_sy,,,4.20,,,206.39,63.44,93.37,-39.50,-39.25,-44.18,-59.66,5.89,99.95,-47.61,-32.45,-62.06,-64.22,-13.65,-30.27,-95.86
OPM_qq,,,76.68,103.45,-2784.48,-447.03,-19.02,-13.42,68.14,179.85,-177.13,-5.45,6.33,-1.60,17.71,6.14,-213.90,-2.40,-20.54,1.89,59.27
OPM_sq,,,233.24,-29.73,35.76,-3.62,77.76,-16.87,-57.52,-3.23,63.35,-39.92,11.50,82.74,-57.20,-22.53,-37.38,72.34,3.29,-37.45,-96.28
ROS,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,,86.92,,,68.87,-437.18,-677.93,-16.39,69.31,105.00,78.10,102.41,-107.62,1547.73,239.36,1087.96,229.22,-254.98,-425.88,-1242.11
ROS_sy,,,12.40,,,-40.56,-60.90,-41.79,-44.43,-82.28,7.59,-96.48,-58.07,195.88,-19.68,1418.52,130.02,4.53,-10.26,57.20,-99.28
ROS_qq,,,72.80,44.02,-219.59,36.03,-369.36,18.94,52.19,83.13,176.43,-455.26,105.26,-1555.01,706.56,-69.95,-55.20,58.26,-827.49,36.82,-57.01
ROS_sq,,,3.34,-30.85,-21.24,5.60,-32.02,2.96,-24.80,-66.32,312.63,-96.63,794.44,137.68,12.02,-36.24,35.49,8.01,-3.83,11.70,-99.38
RS,,,,,,,,,,,,,,,,,,,,,
RS_yy,,,74.78,,,-2.57,27.56,32.69,46.56,69.40,12.05,-12.49,-27.84,-53.14,-22.46,-8.82,-214.96,-213.38,-147.54,-163.16,56.10
RS_sy,,,461.32,,,-29.28,105.43,119.10,-18.33,9.12,11.46,-71.38,101.80,102.33,-36.82,108.74,-59.40,-70.03,-15.23,-23.31,-82.12
RS_qq,,,19.82,10.90,6.29,-53.20,43.37,17.21,25.60,12.28,-62.78,-5.89,15.45,-5.08,-30.17,5.90,-144.72,-4.55,-2.82,-0.04,59.18
RS_sq,,,14.29,-43.18,40.77,-22.64,231.99,-39.40,-47.53,3.37,239.09,-84.44,269.96,3.64,5.88,-48.58,-28.04,-23.49,199.46,-53.48,-83.23
GPM,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,,87.12,,,72.81,-436.16,-701.70,-16.43,65.39,104.79,77.55,101.36,-105.54,1621.42,237.21,2063.86,229.89,-254.75,-424.03,-1226.43
GPM_sy,,,-3.35,,,-10.24,-52.68,-38.38,-29.70,-111.38,-11.80,-130.89,-87.59,424.13,-5.67,298.22,396.00,17.34,-14.87,,-74.68
GPM_qq,,,73.59,45.88,-225.15,41.49,-420.75,19.07,52.78,82.61,172.12,-479.06,102.86,-2725.13,704.02,-69.79,-54.83,57.58,-819.61,36.74,-57.02
GPM_sq,,,4.14,-13.63,-19.09,23.35,-45.10,12.47,-7.70,-119.96,525.62,-139.39,137.09,421.20,23.87,-17.22,-7.19,23.31,-10.14,-2.77,-76.50
RBS,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,21.32,,,143.02,,,,,,,,,,,,,,,
RBS_sy,,,8.74,,,-5.28,,,,,,,,,,,,,,,
RBS_qq,,,3.44,13.37,5.61,96.22,,,,,,,,,,,,,,,
RBS_sq,,,-22.84,-3.57,5.38,20.80,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,,86.37,,,23.62,-306.46,-11758.33,-65.58,127.77,82.39,83.27,53.92,-168.84,58.12,40.60,-93.19,-79.01,-383.62,-266.91,36.56
ROPA_sy,,,-23.96,,,627.59,17.61,-23.15,-13.64,-12.80,-41.48,-49.19,-29.95,-15.04,5.63,25.00,-116.06,-33.90,-8.00,1.03,-77.42
ROPA_qq,,,76.74,103.10,-2666.67,-312.66,-23.76,11.06,63.55,169.22,-178.47,15.52,-0.43,-3.40,52.26,-19.83,-226.62,4.19,-28.97,9.09,43.53
ROPA_sq,,,611.49,29.08,-20.15,-0.78,15.01,-15.66,-10.26,0.18,-22.83,-26.76,23.72,21.50,-4.05,-13.33,-115.90,600.00,33.55,-4.83,-127.92
ZNPO,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,,-91.66,,,314.26,3020.78,1633.26,-424.74,-121.84,-98.28,-174.15,101.89,22.19,-4823.62,119.84,-1504.23,49.09,134.45,250.61,2513.01
