,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
CWKGrahamCurrent_yy,34.46,55.25,,,,-28.25,-28.10,-42.56,-44.14,-34.80,-26.89,-5.86,-3.73,-18.97,-12.26,-4.22,,13.35,296.07,371.70,,606.76,215.63,,,26.95,134.49,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,123.77,-81.84,,,,59.01,7.54,1511.02,216.69,104.88,166.86,56.49,-22.40,6.85,-26.19,-44.71,,-64.09,-32.18,-25.75,,6.20,47.32,,,-26.50,-56.81,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,-17.63,-7.25,-0.87,-5.26,-17.46,-25.91,-3.59,10.59,-7.45,-4.60,-1.41,-6.92,0.22,4.15,,,250.19,24.04,,,56.39,,,,188.89,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,11.38,-86.78,1034.15,-4.82,-24.67,98.10,122.95,-38.42,-1.88,16.17,10.55,-15.21,-32.22,-12.98,,,28.01,-4.73,,,77.57,,,,4.33,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,0.83,-10.75,,,,-0.92,-2.88,-5.93,-2.46,-2.03,-6.27,-5.72,-10.71,-11.17,-2.46,2.49,9.00,10.87,4.91,1.56,2.50,9.73,11.35,9.59,-2.64,-20.95,-27.44,-34.67,-38.92,-47.41,-61.31,-64.77,-57.88,-42.50,-16.19,2.44,-6.23,-9.46,-10.39,-8.99,0.75,-7.92,-7.31,-10.33,-28.40,-38.05,-58.64
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,1.94,0.93,-2.43,-1.31,-0.08,-2.25,1.18,-0.87,-4.40,-1.68,-4.17,-1.38,4.98,3.31,1.91,0.31,-0.66,0.02,2.85,7.38,0.80,-1.57,-8.62,-12.82,-7.47,-11.37,-14.57,-24.94,-31.93,-19.28,2.13,2.47,-0.79,-1.33,-6.52,-1.06,-1.81,0.22,3.48,-9.58,-1.16,-3.04,-17.37,-21.77,-34.00
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
