,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
CPCurrent_sq,,,,,73.94,-9.44,-52.02,-6.68,87.03,-49.16,-4.48,-4.25,78.02,-45.87,12.30,32.25,65.02,-9.49,5.30,1.34,1.70,-0.39,-2.15,12.72,17.59,-12.74,1.65,0.80,16.51,-17.01,-4.04,-2.14
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,1571.57,-63.91,,491.93,,,6.80,27.89,9.41,-27.10,-33.20,-144.69,-180.47,-222.12,-344.20,-120.84,-20.63,-4.27,-2.58,-11.15,-4.41,3.67,67.42,80.87,71.49,66.92,39.25,-35.42,-6.65,-0.89,3.20
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,10.99,14.77,20.59,-30.47,32.91,-1.82,-19.65,-36.30,-188.93,-76.79,-21.93,-27.38,19.57,3.43,-5.39,-25.32,12.85,9.29,2.76,57.62,48.84,-35.22,-12.83,22.18,-14.06,-6.48,-6.75,25.34
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,177.07,,-83.11,,,-6.38,-21.80,-8.61,37.18,49.71,,,,,,,,,,,,,,,,,,,,
CZCurrent_sy,,,18.82,,-50.72,,,-51.75,-57.54,-67.82,-23.78,23.27,,,,,,,,,,,,,,,,,,,,
CZCurrent_qq,,,,,-9.92,-12.85,-17.11,43.87,-24.76,1.86,24.43,57.00,,,,,,,,,,,,,,,,,,,,
CZCurrent_sq,,,,,60.87,-20.34,-52.64,-20.51,41.58,-39.62,12.18,28.55,,,,,,,,,,,,,,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,9903.94,-33.71,,246.61,,,28.34,43.05,6.77,-25.10,-27.18,-82.61,-107.17,-122.17,-129.57,-160.19,-69.07,-1.32,21.97,-120.83,-13.91,75.67,96.73,152.72,158.75,230.88,1189.50,-67.07,-68.41,-106.58,-162.12
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,11.58,23.30,20.69,-22.70,24.36,-7.97,-15.34,-24.85,-70.30,-137.94,-161.78,-0.27,39.57,-6.58,-56.87,22.78,-71.03,45.02,66.50,89.61,2854.70,-38.73,-25.37,-13.51,-16.73,-41.23,-115.54,-716.67
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,50.87,,-71.15,,,-22.07,-30.10,-6.37,33.61,37.34,475.09,,,,,,,,,,,,,,,,203.67,216.55,,
CZOCurrent_sy,,,18.92,,-51.34,,,-53.09,-77.06,-67.57,-26.34,16.11,270.77,,,,,,,,,,,,,,,,736.87,282.00,,
CZOCurrent_qq,,,,,-10.37,-18.91,-17.18,29.44,-19.60,8.63,18.18,33.06,236.67,,,,,,,,,,,,,63.21,33.97,15.66,20.08,70.13,,
CZOCurrent_sq,,,,,62.15,-21.53,-52.62,-22.18,-20.72,10.94,7.63,22.67,153.14,,,,,,,,,,,,,63.21,33.97,15.66,230.92,-25.50,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,124.64,57.04,,-13.74,,,,-63.32,251.04,780.03,903.04,571.76,261.30,202.34,57.19,-1.98,-3.63,-26.51,-7.67,-7.93,-14.44,4.25,-2.69,3.54,0.19,5.43,4.31,-6.87,-5.16,-15.83,-12.37
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
