Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1991-06-28,1000,1000,850.2,850.2,175285
1991-09-30,891.2,891.2,680,680,567426
1991-12-31,678.5,1001.9,678.5,919.1,1185420
1992-03-31,974.9,974.9,882.2,882.2,3732864
1992-06-30,878.3,878.3,635.3,723.5,14618489
1992-09-30,791.9,912.1,791.9,912.1,28356043
1992-12-31,938,1070.9,877.1,1040.6,32839022
1993-03-31,1037,1302.9,1037,1302.9,37319134
1993-06-30,1293.2,3783.7,1293.2,3504.1,101530773
1993-09-30,3677.5,7560.9,3677.5,6302.2,164254285
1993-12-31,6541.6,12818.1,6541.6,12439,170448695
1994-03-31,13044.8,20760,13044.8,14536,218228438
1994-06-30,13785,14014,7215.2,7792.5,132217373
1994-09-30,8019,12507,8019,9185.3,150300157
1994-12-30,9456.3,9911.6,6716.2,7473.1,150898024
1995-03-31,7674.4,7964.9,5904.7,6175.9,120423860
1995-06-30,6166.8,9396.9,6166.8,8701.3,213384755
1995-09-29,8755.3,9370.1,8300.5,8761.1,138296043
1995-12-29,8749,8749,7455.2,7585.9,114235095
1996-03-29,7725.2,12042.3,7725.2,11378.5,311635800
1996-06-28,11489.7,13861.9,11416.8,13708.7,256037108
1996-09-30,13781.4,14832.7,12336.8,14744,174399008
1996-12-31,14753.6,15078.7,12873.3,14342.8,162839891
1997-03-31,14423.8,18339.4,14421.6,16690.4,285659059
1997-06-30,16103,17016.3,15147.7,15163.8,226882241
1997-09-30,15087.9,18016.2,14913.5,17482.8,211157798
1997-12-31,17534.4,18112.1,13619.8,14668,219794270
1998-03-31,14886.2,18582.7,13228.8,16864,341387851
1998-06-30,17038.7,18035.1,14551,15728.6,288864523
1998-09-30,15904.4,17774.3,10883.7,12238.3,354754392
1998-12-31,11413,13220.2,10473.7,12795.6,358787336
1999-03-31,13218.1,14709.7,12591.1,14131.3,601059864
1999-06-30,14220.7,17046.4,14220.7,16825.1,422624414
1999-09-30,17323.1,17645.9,14259.4,14259.4,310213639
1999-12-31,14382.1,18370,14174.5,18083.6,410413906
2000-03-31,18981.7,22868.4,17694.4,21255.9,628622552
2000-06-30,21783.8,21783.8,18356.7,19642.7,264651734
2000-09-29,19536.6,20047.7,16776.3,16882.6,248982524
2000-12-29,16733.3,18252.8,14929.3,17847.6,350205441
2001-03-30,17567.9,17959.2,13848.8,14698.9,362524250
2001-06-29,14616.9,15791.6,13847.3,13945.4,290523163
2001-09-28,13915.7,13955.5,11464.8,11890.6,279033608
2001-12-31,11842.1,14725.7,11523.2,13922.2,478491838
2002-03-29,13876,16423.3,13842.3,15026.4,444067158
2002-06-28,14997.9,15845.6,14102.9,14192.9,359880812
2002-09-30,14077.2,14272.1,12436.8,12797.3,401161311
2002-12-31,12766,15069.8,12646.8,14366.7,346739731
2003-03-31,14343.6,15168,13420.8,13759.4,405119129
2003-06-30,13803.6,15989.9,13755.4,15987.5,472421487
2003-09-30,15885,22310.8,15750.8,19330.5,860153263
2003-12-31,19290.9,22158.1,18693.5,20820.1,555943213
2004-03-31,20849.7,24271.3,20848.9,23870.1,957678268
2004-06-30,23846.8,25289.6,22392.3,23949.3,695727236
2004-09-30,23910,25500,23050.9,25267.8,488455549
2004-12-31,25183,26691.7,24586.1,26636.2,776001404
2005-03-31,26669.9,28681.5,24966,27268.1,853843327
2005-06-30,27356.8,28550.5,25466.5,28332.1,643065839
2005-09-30,28308.7,34343.5,28159.4,33801.2,850296665
2005-12-30,33898.1,36082.2,31109.8,35600.8,1260326342
2006-03-31,35466.4,40317.1,35324.5,40220.3,1566294205
2006-06-30,40199.1,45894.6,34768.3,40644.6,1714416383
2006-09-29,40836.6,46194.7,40383.1,44052.5,1561693653
2006-12-29,44297.1,52523.8,43725.4,50411.8,2259280541
2007-03-30,50396.2,57759.4,48814.8,57524.6,3624978926
2007-06-29,57197.5,66578.7,56748,66077.7,5582377016
2007-09-28,65919.8,67772.9,53969.5,60368.9,4902090060
2007-12-31,60285.4,64358.7,53843.1,55648.5,5786694113
2008-03-31,55702.5,56066.8,42506.2,48011.3,6445701287
2008-06-30,47890.4,49165.8,41056.3,41146.3,3122293298
2008-09-30,41119.6,42546.4,35688.5,37367.3,4225174527
2008-12-31,37451.7,38236,24125.4,27228.6,4784626500
2009-03-31,27967.8,28960.5,20370.3,24036.1,5388898747
2009-06-30,24327.8,32362.7,23691.9,30419,7220785477
2009-09-30,30475.2,39185.4,29210,37580.3,6548728962
2009-12-31,37758.8,40912.9,36934.5,39986,4579605745
2010-03-31,40156.1,42731.4,37038.9,42446.5,6064650204
2010-06-30,42644.8,44302.5,38900.2,39392.5,5134600532
2010-09-30,39123.2,45236.72,39003.9,45236.72,5236959404
2010-12-31,45124.44,47911.57,45035.39,47489.91,5699689066
2011-03-31,47649.12,49073.05,46148.55,48729.83,5510152318
2011-06-30,48860.48,50501.79,47575.55,48414.36,6251110765
2011-09-30,48465.55,49093.63,35348.98,38268.75,7691709056
2011-12-30,37377.43,41943.65,36224.64,37595.44,8596151776
2012-03-30,37716.67,42438.54,37329.42,41267.16,10228150598
2012-06-29,41285.62,41678.83,36483.38,40810.88,5982340290
2012-09-28,40795.17,44217.32,38810.22,43739.81,5901522692
2012-12-31,43631.67,47941.82,42930.77,47460.59,7739768804
2013-03-29,47961.62,48222.72,44428.75,45147.57,7347602101
2013-06-28,45239.35,48572.75,42842.07,44747.79,6980898672
2013-09-30,44759.97,51149.71,44099.12,50301.85,5909949942
2013-12-31,50087.47,55384.83,49899.25,51284.25,6009718032
2014-03-31,51670.42,54075.89,48765.47,52373.47,6796516096
2014-06-30,52358.13,53436.07,50258.57,51934.94,2751415752
2014-09-30,51932.32,55687.59,49321.83,54878.58,2620388530
2014-12-31,54715.88,54907.49,50182.53,51416.08,2590824236
2015-03-31,51598.39,54564.54,49931.45,54091.32,2657789215
2015-06-30,53985.99,57460.44,51817.29,53328.98,2423830442
2015-09-30,53330.19,53694.88,48048.05,49824.59,3478162037
2015-12-31,50010.87,51909.32,43724.52,46467.38,3528367410
2016-03-31,45701.18,49017.35,41747.01,49017.35,3609071203
2016-06-30,48745.62,48847.22,42812.99,44748.53,2727250466
2016-09-30,44973.52,48776.53,43534.02,47084.94,2945045852
